web_name,gw,SiB,player_id
M.Salah,1,4.0,328
Haaland,1,2.0,351
Semenyo,1,2.0,78
Isak,1,0.0,401
Watkins,1,0.0,58
Raúl,1,0.0,252
N.Jackson,1,1.0,180
Wissa,1,2.0,110
Madueke,1,0.0,177
Garnacho,1,1.0,372
Palmer,1,0.0,182
Evanilson,1,,617
Mbeumo,1,1.0,99
Solanke,1,3.0,82
Bowen,1,0.0,514
Luis Díaz,1,2.0,327
Johnson,1,2.0,275
Strand Larsen,1,1.0,566
Vardy,1,2.0,306
Cunha,1,1.0,541
Souček,1,5.0,530
O.Dango,1,1.0,74
Kudus,1,2.0,525
Wood,1,1.0,447
Mateta,1,0.0,207
Mitoma,1,4.0,136
Havertz,1,5.0,4
Trossard,1,0.0,23
Delap,1,0.0,268
Calvert-Lewin,1,0.0,220
I.Sarr,1,0.0,585
Diogo J.,1,3.0,317
Saka,1,4.0,17
Barnes,1,0.0,392
Schade,1,1.0,106
Eze,1,4.0,199
Iwobi,1,1.0,247
Martinelli,1,1.0,9
Gordon,1,0.0,398
Muniz,1,2.0,251
Son,1,0.0,503
Kluivert,1,0.0,71
Rogers,1,1.0,54
Kulusevski,1,0.0,492
Georginio,1,,618
Gakpo,1,0.0,321
João Pedro,1,0.0,129
Welbeck,1,2.0,148
Szoboszlai,1,2.0,336
Joelinton,1,2.0,403
Savinho,1,0.0,571
Onuachu,1,0.0,470
B.Fernandes,1,3.0,366
Neto,1,1.0,73
Gibbs-White,1,1.0,433
Beto,1,0.0,218
Gvardiol,1,1.0,350
Adama,1,1.0,239
Nketiah,1,0.0,11
Muñoz,1,0.0,211
Merino,1,,633
Amad,1,0.0,364
Smith Rowe,1,0.0,19
Aït-Nouri,1,0.0,533
Elanga,1,0.0,432
Archer,1,1.0,27
Bernardo,1,2.0,342
Ndiaye,1,0.0,232
Darwin,1,0.0,316
A.Doucoure,1,1.0,217
Enzo,1,2.0,168
Foden,1,0.0,348
Zirkzee,1,1.0,389
Maddison,1,1.0,494
Duran,1,2.0,38
Hudson-Odoi,1,1.0,434
Minteh,1,0.0,135
J.Murphy,1,0.0,402
Milenković,1,0.0,573
Rashford,1,0.0,385
Ødegaard,1,0.0,13
Rice,1,1.0,16
L.Paquetá,1,1.0,527
Nørgaard,1,0.0,101
Bruno G.,1,0.0,394
Mac Allister,1,0.0,329
M.Fernandes,1,,623
Buonanotte,1,0.0,117
Højlund,1,0.0,375
Tavernier,1,2.0,83
Damsgaard,1,0.0,89
Lacroix,1,,650
Harrison,1,3.0,224
Jones,1,0.0,324
Gabriel,1,1.0,3
Nkunku,1,1.0,181
Virgil,1,0.0,339
J.Ayew,1,1.0,192
Armstrong,1,4.0,603
De Bruyne,1,0.0,345
Adingra,1,2.0,113
Marmoush,1,,755
J.Gomes,1,0.0,553
McGinn,1,2.0,48
Burn,1,0.0,395
Szmodics,1,0.0,611
Justin,1,1.0,295
G.Jesus,1,0.0,2
Tielemans,1,0.0,57
Bailey,1,1.0,28
Ndidi,1,2.0,300
De Ligt,1,0.0,593
Doku,1,1.0,346
Kamaldeen,1,0.0,462
Konaté,1,0.0,326
Yates,1,2.0,449
Harwood-Bellis,1,0.0,461
Jota Silva,1,0.0,596
Ayari,1,0.0,600
Sancho,1,0.0,386
O'Shea,1,,630
Mavididi,1,0.0,298
N.Williams,1,1.0,437
Wilson,1,0.0,259
Tete,1,1.0,257
Tel,1,,768
Romero,1,1.0,498
Dibling,1,0.0,608
Dalot,1,0.0,369
Hutchinson,1,2.0,274
Casemiro,1,1.0,368
Van den Berg,1,0.0,338
Richarlison,1,1.0,497
Christie,1,0.0,63
Anderson,1,0.0,423
Colwill,1,0.0,162
Cucurella,1,0.0,163
Collins,1,1.0,88
Tarkowski,1,1.0,236
Antonio,1,1.0,512
M.Asensio,1,,762
Brooks,1,0.0,62
Aribo,1,1.0,452
Enes Ünal,1,0.0,65
O'Riley,1,,629
João Félix,1,,621
Tonali,1,0.0,417
Lerma,1,0.0,206
Mavropanos,1,0.0,528
Andreas,1,0.0,240
Nwaneri,1,0.0,12
Enciso,1,0.0,121
Gündogan,1,,625
Daka,1,0.0,289
Willock,1,0.0,420
Lindstrøm,1,0.0,577
Lewis-Potter,1,0.0,98
Füllkrug,1,0.0,589
Summerville,1,0.0,587
Bentancur,1,2.0,480
Walker-Peters,1,1.0,476
Martinez,1,0.0,47
Schär,1,1.0,415
Alexander-Arnold,1,0.0,311
Andersen,1,0.0,191
Van Hecke,1,0.0,144
Wan-Bissaka,1,0.0,388
Ramsey,1,1.0,53
Ings,1,1.0,523
Munetsi,1,,770
P.M.Sarr,1,0.0,499
Guéhi,1,0.0,200
Maguire,1,0.0,377
Hinshelwood,1,0.0,126
Chalobah,1,0.0,159
Grealish,1,0.0,349
Sessegnon,1,0.0,579
McNeil,1,0.0,230
J.Timber,1,0.0,6
Huijsen,1,0.0,580
Kilman,1,0.0,524
Nelson,1,0.0,10
Jaden,1,1.0,569
Tosin,1,0.0,187
Murillo,1,0.0,436
Robertson,1,0.0,335
C.Soler,1,,654
Onana,1,1.0,233
Mitchell,1,1.0,210
Sinisterra,1,1.0,80
Kerkez,1,0.0,70
