web_name,gw,SoT
Haaland,1,2
M.Salah,1,3
Palmer,1,1
Isak,1,0
Cunha,1,1
Semenyo,1,2
Mbeumo,1,1
Wissa,1,1
Watkins,1,0
Wood,1,1
N.Jackson,1,1
Strand Larsen,1,1
Bowen,1,0
Raúl,1,0
Madueke,1,0
Delap,1,0
Evanilson,1,
Garnacho,1,0
Kluivert,1,0
B.Fernandes,1,3
Luis Díaz,1,0
Mateta,1,0
Iwobi,1,0
Son,1,0
Eze,1,3
Mitoma,1,3
Solanke,1,3
I.Sarr,1,0
Vardy,1,2
Havertz,1,1
Savinho,1,0
Szoboszlai,1,0
Kudus,1,0
Trossard,1,0
Saka,1,3
João Pedro,1,0
Welbeck,1,1
Johnson,1,1
Schade,1,0
O.Dango,1,0
Gakpo,1,0
Rogers,1,1
Martinelli,1,0
Muniz,1,1
Elanga,1,1
Gordon,1,0
Enzo,1,1
Beto,1,0
Enciso,1,0
Gibbs-White,1,0
Hudson-Odoi,1,2
Calvert-Lewin,1,0
Maddison,1,0
Kulusevski,1,0
Foden,1,0
Barnes,1,0
Marmoush,1,
Hutchinson,1,1
Neto,1,0
Tavernier,1,1
J.Murphy,1,0
Ndiaye,1,0
Duran,1,1
Rashford,1,0
Lewis-Potter,1,0
Onuachu,1,0
Ødegaard,1,1
Souček,1,0
M.Fernandes,1,
P.M.Sarr,1,0
Minteh,1,0
De Bruyne,1,0
Diogo J.,1,1
Mac Allister,1,0
Amad,1,0
Joelinton,1,1
Muñoz,1,0
Szmodics,1,0
Jones,1,0
Nketiah,1,0
Georginio,1,
Christie,1,0
Tielemans,1,0
Kovačić,1,1
Darwin,1,0
Gvardiol,1,0
Nørgaard,1,0
Zirkzee,1,1
Nkunku,1,0
Adama,1,0
Baleba,1,0
Merino,1,
Bernardo,1,1
Lindstrøm,1,0
Brooks,1,0
Buonanotte,1,0
Schär,1,0
M.Asensio,1,
Tonali,1,0
Smith Rowe,1,0
Archer,1,1
Højlund,1,0
Rice,1,0
Bruno G.,1,0
Dibling,1,0
De Ligt,1,0
A.Doucoure,1,0
Cucurella,1,0
Doku,1,1
Wilson,1,0
McNeil,1,0
Andreas,1,0
Yates,1,2
Nwaneri,1,0
Ndidi,1,1
J.Ayew,1,0
Pedro Porro,1,1
Romero,1,0
Armstrong,1,1
Kamaldeen,1,0
Sarabia,1,1
Aït-Nouri,1,0
Malen,1,
Alexander-Arnold,1,0
Casemiro,1,0
Damsgaard,1,0
Tel,1,
J.Gomes,1,0
Richarlison,1,0
Virgil,1,0
Jota Silva,1,0
Ayari,1,0
Guedes,1,0
Sessegnon,1,0
C.Soler,1,
Milenković,1,0
Emerson,1,1
Enes Ünal,1,0
Lerma,1,0
G.Jesus,1,0
Aribo,1,0
Harwood-Bellis,1,0
Sancho,1,0
Thomas,1,0
Mavididi,1,0
Guéhi,1,0
Anderson,1,0
Dominguez,1,0
Adingra,1,1
Alcaraz,1,1
Estupiñan,1,0
Mangala,1,
O'Riley,1,
El Khannouss,1,
N.Semedo,1,0
Calafiori,1,0
Pinnock,1,1
Hinshelwood,1,0
Collins,1,1
Sinisterra,1,1
Walker-Peters,1,0
N.Williams,1,0
Chalobah,1,0
Martinez,1,0
Broadhead,1,0
Justin,1,0
Harrison,1,1
Onana,1,1
Nelson,1,0
Bailey,1,0
Munetsi,1,
