web_name,gw,SoT,player_id
Haaland,1,2.0,351
M.Salah,1,3.0,328
Palmer,1,1.0,182
Isak,1,0.0,401
Cunha,1,1.0,541
Semenyo,1,2.0,78
Mbeumo,1,1.0,99
Wissa,1,1.0,110
Watkins,1,0.0,58
Wood,1,1.0,447
N.Jackson,1,1.0,180
Strand Larsen,1,1.0,566
Bowen,1,0.0,514
Raúl,1,0.0,252
Madueke,1,0.0,177
Delap,1,0.0,268
Evanilson,1,,617
Garnacho,1,0.0,372
Kluivert,1,0.0,71
B.Fernandes,1,3.0,366
Luis Díaz,1,0.0,327
Mateta,1,0.0,207
Iwobi,1,0.0,247
Son,1,0.0,503
Eze,1,3.0,199
Mitoma,1,3.0,136
Solanke,1,3.0,82
I.Sarr,1,0.0,585
Vardy,1,2.0,306
Havertz,1,1.0,4
Savinho,1,0.0,571
Szoboszlai,1,0.0,336
Kudus,1,0.0,525
Trossard,1,0.0,23
Saka,1,3.0,17
João Pedro,1,0.0,129
Welbeck,1,1.0,148
Johnson,1,1.0,275
Schade,1,0.0,106
O.Dango,1,0.0,74
Gakpo,1,0.0,321
Rogers,1,1.0,54
Martinelli,1,0.0,9
Muniz,1,1.0,251
Elanga,1,1.0,432
Gordon,1,0.0,398
Enzo,1,1.0,168
Beto,1,0.0,218
Enciso,1,0.0,121
Gibbs-White,1,0.0,433
Hudson-Odoi,1,2.0,434
Calvert-Lewin,1,0.0,220
Maddison,1,0.0,494
Kulusevski,1,0.0,492
Foden,1,0.0,348
Barnes,1,0.0,392
Marmoush,1,,755
Hutchinson,1,1.0,274
Neto,1,0.0,73
Tavernier,1,1.0,83
J.Murphy,1,0.0,402
Ndiaye,1,0.0,232
Duran,1,1.0,38
Rashford,1,0.0,385
Lewis-Potter,1,0.0,98
Onuachu,1,0.0,470
Ødegaard,1,1.0,13
Souček,1,0.0,530
M.Fernandes,1,,623
P.M.Sarr,1,0.0,499
Minteh,1,0.0,135
De Bruyne,1,0.0,345
Diogo J.,1,1.0,317
Mac Allister,1,0.0,329
Amad,1,0.0,364
Joelinton,1,1.0,403
Muñoz,1,0.0,211
Szmodics,1,0.0,611
Jones,1,0.0,324
Nketiah,1,0.0,11
Georginio,1,,618
Christie,1,0.0,63
Tielemans,1,0.0,57
Kovačić,1,1.0,354
Darwin,1,0.0,316
Gvardiol,1,0.0,350
Nørgaard,1,0.0,101
Zirkzee,1,1.0,389
Nkunku,1,0.0,181
Adama,1,0.0,239
Baleba,1,0.0,115
Merino,1,,633
Bernardo,1,1.0,342
Lindstrøm,1,0.0,577
Brooks,1,0.0,62
Buonanotte,1,0.0,117
Schär,1,0.0,415
M.Asensio,1,,762
Tonali,1,0.0,417
Smith Rowe,1,0.0,19
Archer,1,1.0,27
Højlund,1,0.0,375
Rice,1,0.0,16
Bruno G.,1,0.0,394
Dibling,1,0.0,608
De Ligt,1,0.0,593
A.Doucoure,1,0.0,217
Cucurella,1,0.0,163
Doku,1,1.0,346
Wilson,1,0.0,259
McNeil,1,0.0,230
Andreas,1,0.0,240
Yates,1,2.0,449
Nwaneri,1,0.0,12
Ndidi,1,1.0,300
J.Ayew,1,0.0,192
Pedro Porro,1,1.0,495
Romero,1,0.0,498
Armstrong,1,1.0,603
Kamaldeen,1,0.0,462
Sarabia,1,1.0,565
Aït-Nouri,1,0.0,533
Malen,1,,725
Alexander-Arnold,1,0.0,311
Casemiro,1,0.0,368
Damsgaard,1,0.0,89
Tel,1,,768
J.Gomes,1,0.0,553
Richarlison,1,0.0,497
Virgil,1,0.0,339
Jota Silva,1,0.0,596
Ayari,1,0.0,600
Guedes,1,0.0,548
Sessegnon,1,0.0,579
C.Soler,1,,654
Milenković,1,0.0,573
Emerson,1,1.0,520
Enes Ünal,1,0.0,65
Lerma,1,0.0,206
G.Jesus,1,0.0,2
Aribo,1,0.0,452
Harwood-Bellis,1,0.0,461
Sancho,1,0.0,386
Thomas,1,0.0,20
Mavididi,1,0.0,298
Guéhi,1,0.0,200
Anderson,1,0.0,423
Dominguez,1,0.0,431
Adingra,1,1.0,113
Alcaraz,1,1.0,450
Estupiñan,1,0.0,122
Mangala,1,,651
O'Riley,1,,629
El Khannouss,1,,635
N.Semedo,1,0.0,559
Calafiori,1,0.0,578
Pinnock,1,1.0,104
Hinshelwood,1,0.0,126
Collins,1,1.0,88
Sinisterra,1,1.0,80
Walker-Peters,1,0.0,476
N.Williams,1,0.0,437
Chalobah,1,0.0,159
Martinez,1,0.0,47
Broadhead,1,0.0,262
Justin,1,0.0,295
Harrison,1,1.0,224
Onana,1,1.0,233
Nelson,1,0.0,10
Bailey,1,0.0,28
Munetsi,1,,770
Maatsen,1,0.0,45
Wharton,1,2.0,216
McGinn,1,0.0,48
Gana,1,0.0,222
Gündogan,1,,625
Mario Jr.,1,0.0,557
Füllkrug,1,0.0,589
Lacroix,1,,650
João Félix,1,,621
Sosa,1,,620
Gabriel,1,0.0,3
Scott,1,0.0,77
Van Hecke,1,0.0,144
Dalot,1,0.0,369
Maguire,1,0.0,377
Van den Berg,1,0.0,338
Barkley,1,0.0,29
Gravenberch,1,0.0,323
Andersen,1,1.0,191
L.Paquetá,1,1.0,527
Mavropanos,1,0.0,528
Bellegarde,1,0.0,535
Kerkez,1,0.0,70
A.Fatawu,1,0.0,570
Ings,1,1.0,523
Jaden,1,0.0,569
C.Richards,1,0.0,194
Carvalho,1,0.0,314
Bentancur,1,1.0,480
Murillo,1,0.0,436
Rúben,1,0.0,361
Wan-Bissaka,1,0.0,388
Sugawara,1,0.0,474
Grealish,1,0.0,349
Ramsey,1,0.0,53
Bissouma,1,0.0,482
Awoniyi,1,1.0,424
Burn,1,0.0,395
Bassey,1,0.0,241
Taylor,1,0.0,281
Kamada,1,0.0,205
Summerville,1,0.0,587
J.Timber,1,0.0,6
Cash,1,0.0,32
Tarkowski,1,0.0,236
