web_name,gw,cc
B.Fernandes,1,0
M.Salah,1,2
Palmer,1,2
Enzo,1,0
Mbeumo,1,3
Kulusevski,1,0
Tielemans,1,3
Damsgaard,1,0
Andreas,1,6
Ødegaard,1,2
Rice,1,1
Luis Díaz,1,3
Davis,1,0
Pedro Porro,1,4
Eze,1,0
Iwobi,1,0
Szoboszlai,1,3
De Bruyne,1,1
Son,1,2
Gordon,1,1
Cunha,1,1
Alexander-Arnold,1,3
Saka,1,5
Bowen,1,1
Cook,1,1
Gibbs-White,1,3
Bruno G.,1,0
Rogers,1,2
Kluivert,1,0
Semenyo,1,0
Hudson-Odoi,1,3
Bernardo,1,3
Mac Allister,1,0
Foden,1,0
Elanga,1,2
Savinho,1,3
Maddison,1,3
Christie,1,0
Neto,1,2
Robinson,1,0
Amad,1,1
Robertson,1,1
Muñoz,1,1
Trossard,1,0
Isak,1,1
Adama,1,0
Mitchell,1,2
J.Murphy,1,0
I.Sarr,1,0
Tavernier,1,3
Sancho,1,0
L.Paquetá,1,1
Aït-Nouri,1,0
Digne,1,1
Gündogan,1,
Mitoma,1,0
Martinelli,1,3
Anderson,1,0
Gakpo,1,1
Hall,1,1
McNeil,1,1
Harrison,1,1
O.Dango,1,0
El Khannouss,1,
Kerkez,1,1
Garnacho,1,2
M.Fernandes,1,
João Pedro,1,1
Manning,1,0
Wan-Bissaka,1,0
Hughes,1,1
Madueke,1,0
N.Jackson,1,2
Kovačić,1,0
Kudus,1,2
Mateta,1,0
Caicedo,1,1
Rashford,1,1
Haaland,1,0
Dalot,1,0
Ayari,1,0
McGinn,1,0
Gravenberch,1,0
Doku,1,1
Bellegarde,1,0
Estupiñan,1,0
A.Doucoure,1,0
Wharton,1,0
Gvardiol,1,0
Buonanotte,1,1
Lukić,1,1
Minteh,1,3
Wissa,1,1
Grealish,1,0
Joelinton,1,0
J.Clarke,1,
Watkins,1,0
Hutchinson,1,0
Walker-Peters,1,0
Lewis-Potter,1,0
