id,first_name,second_name,web_name,team,full_name
1,Folarin,Balogun,Balogun,1,Folarin Balogun
2,Cédric,Alves Soares,Cédric,1,Cédric Alves Soares
3,Mohamed,Elneny,M.Elneny,1,Mohamed Elneny
4,Fábio,Ferreira Vieira,Fábio Vieira,1,Fábio Ferreira Vieira
5,Gabriel,dos Santos Magalhães,Gabriel,1,Gabriel dos Santos Magalhães
6,Kai,Havertz,Havertz,1,Kai Havertz
8,Gabriel,Fernando de Jesus,G.Jesus,1,Gabriel Fernando de Jesus
9,Jorge Luiz,Frello Filho,Jorginho,1,Jorge Luiz Frello Filho
10,Jakub,Kiwior,Kiwior,1,Jakub Kiwior
11,Marcus,Oliveira Alencar,Marquinhos,1,Marcus Oliveira Alencar
12,Gabriel,Martinelli Silva,Martinelli,1,Gabriel Martinelli Silva
13,Eddie,Nketiah,Nketiah,1,Eddie Nketiah
14,Martin,Ødegaard,Ødegaard,1,Martin Ødegaard
15,Thomas,Partey,Thomas,1,Thomas Partey
16,Nicolas,Pépé,Pepe,1,Nicolas Pépé
17,Aaron,Ramsdale,Ramsdale,1,Aaron Ramsdale
18,Rúnar Alex,Rúnarsson,Rúnarsson,1,Rúnar Alex Rúnarsson
19,Bukayo,Saka,Saka,1,Bukayo Saka
20,William,Saliba,Saliba,1,William Saliba
22,Emile,Smith Rowe,Smith Rowe,1,Emile Smith Rowe
24,Kieran,Tierney,Tierney,1,Kieran Tierney
25,Takehiro,Tomiyasu,Tomiyasu,1,Takehiro Tomiyasu
26,Leandro,Trossard,Trossard,1,Leandro Trossard
29,Benjamin,White,White,1,Benjamin White
30,Granit,Xhaka,Xhaka,1,Granit Xhaka
31,Oleksandr,Zinchenko,Zinchenko,1,Oleksandr Zinchenko
113,David,Raya Martin,Raya,1,David Raya Martin
540,Declan,Rice,Rice,1,Declan Rice
578,Reiss,Nelson,Nelson,1,Reiss Nelson
585,Jurriën,Timber,J.Timber,1,Jurriën Timber
646,Karl,Hein,Hein,1,Karl Hein
735,Charles,Sagoe,Sagoe,1,Charles Sagoe
736,Reuell,Walters,Walters,1,Reuell Walters
737,Bradley,Ibrahim,Ibrahim,1,Bradley Ibrahim
764,Myles,Lewis-Skelly,Lewis-Skelly,1,Myles Lewis-Skelly
772,Ethan,Nwaneri,Nwaneri,1,Ethan Nwaneri
815,Mauro,Bandeira,Bandeira,1,Mauro Bandeira
817,James,Sweet,Sweet,1,James Sweet
32,Alexandre,Moreno Lopera,Alex Moreno,2,Alexandre Moreno Lopera
34,Leon,Bailey,Bailey,2,Leon Bailey
35,Emiliano,Buendía Stati,Buendia,2,Emiliano Buendía Stati
36,Matty,Cash,Cash,2,Matty Cash
37,Calum,Chambers,Chambers,2,Calum Chambers
38,Philippe,Coutinho Correia,Coutinho,2,Philippe Coutinho Correia
39,Keinan,Davis,Davis,2,Keinan Davis
40,Leander,Dendoncker,Dendoncker,2,Leander Dendoncker
41,Diego Carlos,Santos Silva,Diego Carlos,2,Diego Carlos Santos Silva
42,Lucas,Digne,Digne,2,Lucas Digne
43,Douglas Luiz,Soares de Paulo,Douglas Luiz,2,Douglas Luiz Soares de Paulo
44,Jhon,Durán,Duran,2,Jhon Durán
45,Kortney,Hause,Hause,2,Kortney Hause
46,Tim,Iroegbunam,Iroegbunam,2,Tim Iroegbunam
47,Boubacar,Kamara,Kamara,2,Boubacar Kamara
48,Ezri,Konsa Ngoyo,Konsa,2,Ezri Konsa Ngoyo
49,Emiliano,Martínez Romero,Martinez,2,Emiliano Martínez Romero
50,John,McGinn,McGinn,2,John McGinn
51,Tyrone,Mings,Mings,2,Tyrone Mings
53,Robin,Olsen,Olsen,2,Robin Olsen
54,Jaden,Philogene-Bidace,Philogene,2,Jaden Philogene-Bidace
55,Jacob,Ramsey,J.Ramsey,2,Jacob Ramsey
56,Morgan,Sanson,Sanson,2,Morgan Sanson
57,Viljami,Sinisalo,Sinisalo,2,Viljami Sinisalo
58,Youri,Tielemans,Tielemans,2,Youri Tielemans
59,Bertrand,Traoré,Bertrand Traoré,2,Bertrand Traoré
60,Ollie,Watkins,Watkins,2,Ollie Watkins
61,Wesley,Moraes Ferreira da Silva,Wesley,2,Wesley Moraes Ferreira da Silva
584,Pau,Torres,Pau,2,Pau Torres
599,Moussa,Diaby,Diaby,2,Moussa Diaby
618,Omari,Kellyman,Kellyman,2,Omari Kellyman
670,Filip,Marschall,Marschall,2,Filip Marschall
672,Nicolò,Zaniolo,Zaniolo,2,Nicolò Zaniolo
686,Oliwier,Zych,Zych,2,Oliwier Zych
699,Clément,Lenglet,Lenglet,2,Clément Lenglet
765,Sam,Proctor,Proctor,2,Sam Proctor
767,Tommi,O'Reilly,O'Reilly,2,Tommi O'Reilly
778,James,Wright,Wright,2,James Wright
793,Kaine,Kesler-Hayden,Kesler-Hayden,2,Kaine Kesler-Hayden
803,Morgan,Rogers,Rogers,2,Morgan Rogers
818,Joe,Gauci,Gauci,2,Joe Gauci
854,Finley,Munroe,Munroe,2,Finley Munroe
865,Kadan,Young,Young,2,Kadan Young
866,Lander,Emery,Emery,2,Lander Emery
62,Jaidon,Anthony,Anthony,3,Jaidon Anthony
63,Philip,Billing,Billing,3,Philip Billing
64,David,Brooks,Brooks,3,David Brooks
65,Ryan,Christie,Christie,3,Ryan Christie
66,Lewis,Cook,L.Cook,3,Lewis Cook
67,Siriki,Dembélé,Siriki,3,Siriki Dembélé
68,Ryan,Fredericks,Fredericks,3,Ryan Fredericks
69,James,Hill,Hill,3,James Hill
70,Lloyd,Kelly,Kelly,3,Lloyd Kelly
71,Gavin,Kilkenny,Kilkenny,3,Gavin Kilkenny
72,Justin,Kluivert,Kluivert,3,Justin Kluivert
73,Jamal,Lowe,Lowe,3,Jamal Lowe
74,Emiliano,Marcondes,Marcondes,3,Emiliano Marcondes
75,Chris,Mepham,Mepham,3,Chris Mepham
76,Kieffer,Moore,Moore,3,Kieffer Moore
77,Norberto,Murara Neto,Neto,3,Norberto Murara Neto
78,Dango,Ouattara,O.Dango,3,Dango Ouattara
79,Ben,Pearson,Pearson,3,Ben Pearson
80,Darren,Randolph,Randolph,3,Darren Randolph
81,Joe,Rothwell,Rothwell,3,Joe Rothwell
82,Antoine,Semenyo,Semenyo,3,Antoine Semenyo
