team,wins,draws,losses,goals_for,goals_against,goal_difference,points,points_per_match,xGA,xGD,xGD/90,npxG,progressive_carries,progressive_passes,goals/90,xG/90,xAG/90,xG_plus_xAG/90,npxG/90,npxG_plus_xAG/90,shots,shots_on_target,shots_on_target_percentage,shots/90,shots_on_target/90,goals/shots,goals/shots_on_target,npxG/shot,goals_minus_xG,shot_creating_actions,shot_creating_actions/90,passes_led_to_shot,passes_dead_led_to_shot,takeons_led_to_shot,shots_led_to_shot,fouls_drawn_led_to_shot,defensive_actions_led_to_shot,goal_creating_actions,goal_creating_actions/90,passes_led_to_goal,passes_dead_led_to_goal,takeons_led_to_goal,shots_led_to_goal,fouls_drawn_led_to_goal,defensive_actions_led_to_goal,players_tackled,tackles_won,tackles_in_defensive_3rd,tackles_in_mid_3rd,tackles_in_attacking_3rd,dribblers_tackled,dribblers_tackles_attempted,dribblers_tackles_percentage,dribblers_tackles_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_plus_interceptions,clearances,errors,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_midfield_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live,takeons_attempted,takeons_successful,takeons_successful_percentage,tackled_during_takeon,tackled_during_takeon_percentage,carries,total_distance_carried,progressive_carry_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
Manchester City,28,7,3,96,34,+62,91,2.39,35.6,+44.9,+1.18,72.9,1127,2060,2.47,2.12,1.58,3.70,1.92,3.50,647,209,32.3,17.03,5.50,0.12,0.36,0.11,+9.9,1185,31.18,926,82,58,66,33,20,152,4.00,104,16,8,11,13,0,610,348,257,246,107,271,543,49.9,272,412,106,306,292,902,515,18,26493,1974,6714,11407,8560,1480,26483,671,283,42.2,304,45.3,16297,81171,41510,575,327,525,375,18917,2088
Arsenal,28,5,5,91,29,+62,89,2.34,27.9,+48.2,+1.27,68.5,821,2106,2.26,2.00,1.46,3.46,1.80,3.26,511,182,35.6,13.45,4.79,0.13,0.37,0.12,+8.7,912,24.00,670,77,47,73,31,14,129,3.39,92,8,8,10,8,3,547,311,269,210,68,260,550,47.3,290,389,113,276,236,783,597,13,23059,2807,8171,9636,5459,1010,23055,757,345,45.6,315,41.6,14451,78629,41239,490,217,477,416,15824,1438
Liverpool,24,10,4,86,41,+45,82,2.16,45.7,+42.0,+1.11,80.4,924,2110,2.11,2.31,1.68,3.98,2.12,3.79,539,175,32.5,14.18,4.61,0.09,0.29,0.10,-3.9,952,25.05,700,70,64,57,34,27,83,2.18,62,3,5,6,3,4,693,410,301,281,111,325,688,47.2,363,504,153,351,357,1050,817,16,20700,2486,6820,8469,5686,1033,20697,872,382,43.8,414,47.5,11015,66369,34635,513,240,637,386,11771,1296
Aston Villa,20,8,10,76,61,+15,68,1.79,59.9,+3.4,+0.09,60.3,775,1451,1.89,1.67,1.28,2.95,1.59,2.87,470,159,33.8,12.37,4.18,0.11,0.32,0.12,-4.2,804,21.16,557,102,34,55,42,14,81,2.13,57,7,3,8,6,0,677,399,349,250,78,317,697,45.5,380,474,142,332,378,1055,903,18,21227,2878,7944,8253,5210,982,21224,577,243,42.1,269,46.6,10970,56621,29411,363,156,556,271,12416,1276
Tottenham,20,6,12,74,61,+13,66,1.74,63.4,+4.8,+0.13,66.7,957,2107,1.82,1.79,1.51,3.31,1.75,3.27,555,198,35.7,14.61,5.21,0.08,0.23,0.10,-6.8,1010,26.58,749,87,54,71,38,11,89,2.34,59,5,9,9,6,1,644,366,292,252,100,307,658,46.7,351,437,140,297,288,932,603,21,29112,3197,9449,13090,6766,1081,29106,715,297,41.5,322,45.0,19020,92960,48884,584,269,579,342,21577,1767
Chelsea,18,9,11,77,63,+14,63,1.66,58.1,+16.4,+0.43,65.1,873,1615,2.00,1.96,1.35,3.31,1.71,3.06,430,137,31.9,11.32,3.61,0.09,0.27,0.09,-0.6,757,19.92,549,74,49,45,31,9,74,1.95,55,6,8,2,3,0,607,342,282,247,78,284,584,48.6,300,477,169,308,280,887,837,22,22181,2907,8021,9196,5155,819,22178,699,300,42.9,329,47.1,12244,66914,35421,460,240,517,296,13779,1162
Newcastle Utd,18,6,14,85,62,+23,60,1.58,61.4,+14.6,+0.38,69.0,737,1557,2.18,2.00,1.35,3.35,1.82,3.17,537,194,36.1,14.13,5.11,0.12,0.34,0.12,+1.5,980,25.79,720,62,76,46,50,26,133,3.50,89,7,11,10,12,4,663,376,325,235,103,323,630,51.3,307,448,166,282,298,961,785,24,27725,3035,9367,12068,6558,1039,27713,869,398,45.8,365,42.0,16624,84615,44082,543,291,604,370,19899,1600
Manchester Utd,18,6,14,57,58,-1,60,1.58,68.9,-12.5,-0.33,51.0,758,1479,1.50,1.49,1.06,2.54,1.34,2.40,452,162,35.8,11.89,4.26,0.12,0.32,0.10,+7.4,794,20.89,554,74,48,50,45,23,103,2.71,85,4,6,2,6,0,788,464,373,301,114,337,609,55.3,272,456,122,334,323,1111,927,6,21367,2349,7237,9279,5077,797,21363,737,341,46.3,320,43.4,10943,55546,26838,383,170,606,426,12811,1161
West Ham,14,10,14,60,74,-14,52,1.37,71.1,-18.8,-0.49,48.4,556,1207,1.53,1.38,0.92,2.29,1.27,2.19,504,152,30.2,13.26,4.00,0.08,0.25,0.11,-14.0,854,22.47,592,82,31,76,41,32,60,1.58,33,5,0,13,5,4,743,442,371,261,111,347,701,49.5,354,479,177,302,358,1101,882,12,20053,2568,6792,8180,5283,809,20050,564,250,44.3,267,47.3,9770,52160,25904,389,127,560,320,11254,1119
Crystal Palace,13,10,15,57,58,-1,49,1.29,52.0,-3.4,-0.09,45.4,506,1176,1.47,1.28,1.02,2.30,1.20,2.21,499,175,35.1,13.13,4.61,0.10,0.30,0.10,+3.2,877,23.08,652,79,40,67,24,15,95,2.50,73,6,4,8,3,1,679,384,339,260,80,346,678,51.0,332,437,117,320,371,1050,744,14,24318,2792,8619,10359,5568,849,24316,550,271,49.3,232,42.2,13883,72675,36777,508,151,520,325,16183,1452
