player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,touches,touches_in_def_pen,touches_in_def_3rd,touches_in_mid_3rd,touches_in_att_3rd,touches_in_att_pen,live_touches,attempted_takeons,successful_takeons,successful_takeon_percent,times_tackled_during_takeon,tackled_during_takeon_percentage,carries,total_carry_distance,progressive_carry_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessions,passes_received,progressive_passes_received,gw
268.0,10,4,True,Liam Delap,19,eng ENG,FW,22-091,61,15,0,0,10,5,1,15,2,1,50.0,1,50.0,4,11,9,0,0,0,2,0,11,2,36
272.0,10,4,True,George Hirst,27,sct SCO,FW,26-084,29,6,1,1,3,2,1,6,0,0,,0,,0,0,0,0,0,0,0,0,4,0,36
121.0,10,4,True,Julio Enciso,9,py PAR,"LW,AM",21-107,90,44,1,5,23,18,3,44,9,4,44.4,2,22.2,22,221,144,5,2,2,5,1,29,8,36
274.0,10,4,True,Omari Hutchinson,20,eng ENG,RW,21-192,90,46,0,5,21,20,4,46,6,1,16.7,4,66.7,27,319,181,8,1,2,2,0,34,7,36
265.0,10,4,True,Conor Chaplin,10,eng ENG,AM,28-083,56,21,0,6,7,8,1,21,1,0,0.0,1,100.0,5,20,4,0,0,0,0,0,14,0,36
631.0,10,4,True,Jack Clarke,47,eng ENG,LW,24-168,34,15,1,4,6,5,0,15,0,0,,0,,6,106,49,2,1,0,1,0,10,1,36
281.0,10,4,True,Jack Taylor,14,ie IRL,DM,26-321,61,28,4,13,8,7,0,28,2,0,0.0,1,50.0,7,33,18,0,0,0,0,0,18,1,36
619.0,10,4,True,Jens Cajuste,12,se SWE,DM,25-273,29,12,0,4,6,2,0,12,0,0,,0,,5,38,18,0,0,0,0,1,8,0,36
278.0,10,4,True,Sam Morsy,5,eg EGY,DM,33-242,90,59,6,22,32,7,0,59,3,1,33.3,1,33.3,16,124,73,2,0,0,0,1,39,0,36
270.0,10,4,True,Jacob Greaves,24,eng ENG,LB,24-240,90,61,6,32,20,9,2,61,2,2,100.0,0,0.0,9,47,34,1,0,0,2,0,25,1,36
263.0,10,4,True,Cameron Burgess,15,au AUS,CB,29-201,90,63,27,47,15,1,1,63,0,0,,0,,14,54,12,0,0,0,0,0,34,0,36
630.0,10,4,True,Dara O'Shea,26,ie IRL,CB,26-067,90,51,16,39,10,2,0,51,0,0,,0,,21,138,86,0,0,0,0,0,34,0,36
282.0,10,4,True,Axel Tuanzebe,40,cd COD,RB,27-177,84,54,5,25,20,9,0,54,0,0,,0,,8,32,21,0,0,0,0,0,32,1,36
275.0,10,4,True,Ben Johnson,18,eng ENG,RB,25-106,6,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,2,0,36
764.0,10,4,True,Alex Palmer,31,eng ENG,GK,28-273,90,41,37,40,1,0,0,41,0,0,,0,,18,97,70,0,0,0,1,0,22,0,36
