player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,goals,assists,penalty_kicks_made,penalty_kicks_attempted,shots,shots_on_target,yellow_cards,red_cards,touches,tackles,interceptions,blocks,xG,npxG,xAG,shot_creating_actions,goal_creating_actions,total_completed_passes,total_attempted_passes,total_pass_completion_percentage,progressive_passes,carries,progressive_carries,attempted_takeons,successful_takeons,gw
512,19,8,True,Michail Antonio,9,jm JAM,FW,34-226,66,0,0,0,0,1,1,0,0,28,1,0,0,0.0,0.0,0.0,1,0,12,16,75.0,1,19,3,2,0,11
523,19,8,True,Danny Ings,18,eng ENG,FW,32-109,24,0,0,0,0,2,2,0,0,13,0,0,0,0.3,0.3,0.0,1,0,7,10,70.0,0,9,2,1,1,11
587,19,8,True,Crysencio Summerville,7,nl NED,LM,23-010,82,0,0,0,0,1,1,0,0,39,2,0,1,0.3,0.3,0.1,2,0,18,27,66.7,3,19,2,5,1,11
526,19,8,True,Luis Guilherme,17,br BRA,LM,18-274,8,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,1,3,33.3,0,3,0,2,0,11
527,19,8,True,Lucas Paquetá,10,br BRA,CM,27-074,90,0,0,0,0,1,0,0,0,82,0,0,5,0.0,0.0,0.6,4,0,50,64,78.1,9,44,2,2,1,11
530,19,8,True,Tomáš Souček,28,cz CZE,"CM,DM",29-256,90,0,0,0,0,0,0,0,0,56,2,0,0,0.0,0.0,0.0,0,0,45,51,88.2,4,34,0,0,0,11
514,19,8,True,Jarrod Bowen,20,eng ENG,RM,27-325,90,0,0,0,0,3,1,0,0,49,2,2,1,0.1,0.1,0.0,4,0,18,27,66.7,5,29,4,10,4,11
588,19,8,True,Guido Rodríguez,24,ar ARG,DM,30-211,66,0,0,0,0,1,1,0,0,48,0,0,4,0.0,0.0,0.0,0,0,33,40,82.5,2,25,0,0,0,11
654,19,8,True,Carlos Soler,4,es ESP,CM,27-312,24,0,0,0,0,1,0,0,0,13,0,1,0,0.0,0.0,0.0,3,0,11,11,100.0,2,6,1,0,0,11
520,19,8,True,Emerson Palmieri,33,it ITA,LB,30-098,90,0,0,0,0,1,0,0,0,70,5,0,2,0.0,0.0,0.0,2,0,43,57,75.4,1,24,1,0,0,11
524,19,8,True,Max Kilman,26,eng ENG,CB,27-170,90,0,0,0,0,0,0,0,0,61,0,0,1,0.0,0.0,0.0,0,0,34,49,69.4,3,31,1,0,0,11
591,19,8,True,Jean-Clair Todibo,25,fr FRA,CB,24-315,90,0,0,0,0,0,0,0,0,62,1,0,4,0.0,0.0,0.0,1,0,42,48,87.5,2,37,0,1,0,11
388,19,8,True,Aaron Wan-Bissaka,29,eng ENG,RB,26-349,66,0,0,0,0,0,0,0,0,53,0,1,1,0.0,0.0,0.0,0,0,32,43,74.4,0,23,0,0,0,11
516,19,8,True,Vladimír Coufal,5,cz CZE,RB,32-079,24,0,0,0,0,0,0,1,0,19,0,0,0,0.0,0.0,0.0,0,0,10,17,58.8,1,10,1,1,0,11
521,19,8,True,Łukasz Fabiański,1,pl POL,GK,39-205,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,1,0,18,29,62.1,0,18,0,0,0,11
220,8,19,False,Dominic Calvert-Lewin,9,eng ENG,FW,27-238,74,0,0,0,0,4,1,0,0,29,2,1,0,0.2,0.2,0.0,4,0,11,18,61.1,2,13,2,0,0,11
218,8,19,False,Beto,14,gw GNB,FW,26-283,16,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,4,0,2,1,11
232,8,19,False,Iliman Ndiaye,10,sn SEN,LW,24-248,90,0,0,0,0,2,1,0,0,59,4,2,1,0.1,0.1,0.0,1,0,30,38,78.9,2,36,4,11,7,11
577,8,19,False,Jesper Lindstrøm,29,dk DEN,RW,24-254,90,0,0,0,0,3,1,0,0,62,1,1,3,0.4,0.4,0.1,7,0,28,46,60.9,1,22,3,3,0,11
217,8,19,False,Abdoulaye Doucouré,16,ml MLI,AM,31-313,85,0,0,0,0,1,0,0,0,39,0,0,1,0.2,0.2,0.1,6,0,32,35,91.4,4,20,1,1,1,11
224,8,19,False,Jack Harrison,11,eng ENG,AM,27-355,5,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,0,0,0,11
651,8,19,False,Orel Mangala,8,be BEL,DM,26-236,90,0,0,0,0,1,0,0,0,44,2,0,0,0.0,0.0,0.3,1,0,36,40,90.0,3,22,0,0,0,11
222,8,19,False,Idrissa Gana Gueye,27,sn SEN,DM,35-044,90,0,0,0,0,2,0,1,0,79,2,0,1,0.1,0.1,0.3,5,0,53,67,79.1,4,39,1,1,0,11
231,8,19,False,Vitaliy Mykolenko,19,ua UKR,LB,25-164,90,0,0,0,0,2,0,0,0,74,1,0,0,0.0,0.0,0.0,3,0,48,68,70.6,4,21,1,0,0,11
219,8,19,False,Jarrad Branthwaite,32,eng ENG,CB,22-135,90,0,0,0,0,0,0,0,0,53,3,1,2,0.0,0.0,0.0,1,0,32,42,76.2,1,18,0,1,0,11
236,8,19,False,James Tarkowski,6,eng ENG,CB,31-356,90,0,0,0,0,1,1,0,0,64,2,2,2,0.1,0.1,0.0,0,0,44,53,83.0,1,25,1,1,1,11
238,8,19,False,Ashley Young,18,eng ENG,RB,39-123,90,0,0,0,0,2,0,1,0,77,3,1,1,0.1,0.1,0.1,3,0,43,66,65.2,3,33,1,0,0,11
235,8,19,False,Jordan Pickford,1,eng ENG,GK,30-247,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,26,39,66.7,0,17,0,0,0,11
207,7,9,True,Jean-Philippe Mateta,14,fr FRA,FW,27-134,90,0,0,0,0,6,1,0,0,24,0,0,0,0.8,0.8,0.0,1,0,9,12,75.0,1,13,1,1,0,11
585,7,9,True,Ismaila Sarr,7,sn SEN,AM,26-258,87,0,0,0,0,0,0,0,0,38,0,1,0,0.0,0.0,0.5,3,0,21,32,65.6,2,26,2,2,1,11
646,7,9,True,Asher Agbinone,64,eng ENG,AM,19-042,3,0,0,0,0,0,0,0,0,4,2,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,3,0,1,0,11
205,7,9,True,Daichi Kamada,18,jp JPN,"AM,CM",28-096,75,0,0,0,0,0,0,0,1,42,0,2,1,0.0,0.0,0.1,2,0,27,32,84.4,3,21,0,0,0,11
200,7,9,True,Marc Guéhi,6,eng ENG,"CB,CM",24-119,90,0,0,0,0,2,1,0,0,47,3,1,1,0.1,0.1,0.0,1,0,30,34,88.2,6,24,0,0,0,11
645,7,9,True,Justin Devenny,55,nir NIR,CM,21-029,73,0,0,0,0,1,0,0,0,33,3,0,0,0.1,0.1,0.2,4,0,20,26,76.9,2,12,2,1,0,11
214,7,9,True,Jeffrey Schlupp,15,gh GHA,CM,31-322,17,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.0,1,0,6,6,100.0,0,1,0,0,0,11
210,7,9,True,Tyrick Mitchell,3,eng ENG,WB,25-069,90,0,0,0,0,0,0,0,0,50,3,0,2,0.0,0.0,0.1,4,0,32,39,82.1,0,25,2,1,1,11
211,7,9,True,Daniel Muñoz,12,co COL,"WB,AM",28-167,87,0,0,0,0,2,2,0,0,56,3,4,2,0.5,0.5,0.1,3,0,24,37,64.9,0,24,3,4,2,11
666,7,9,True,Caleb Kporha,58,eng ENG,WB,18-117,3,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,2,1,0,0,11
196,7,9,True,Nathaniel Clyne,17,eng ENG,"CB,WB",33-218,61,0,0,0,0,0,0,0,0,32,0,2,2,0.0,0.0,0.0,0,0,21,25,84.0,1,14,1,0,0,11
193,7,9,True,Cheick Doucouré,28,ml MLI,CM,24-306,29,0,0,0,0,1,0,0,0,18,0,1,0,0.0,0.0,0.0,0,0,12,13,92.3,1,10,0,1,0,11
650,7,9,True,Maxence Lacroix,5,fr FRA,CB,24-217,90,0,0,0,0,1,0,1,0,59,2,2,4,0.0,0.0,0.0,0,0,34,41,82.9,4,24,0,1,1,11
159,7,9,True,Trevoh Chalobah,27,eng ENG,CB,25-127,90,0,0,0,0,0,0,0,0,60,3,6,0,0.0,0.0,0.0,1,0,33,46,71.7,1,28,1,1,1,11
201,7,9,True,Dean Henderson,1,eng ENG,GK,27-242,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,20,36,55.6,0,21,0,0,0,11
252,9,7,False,Raúl Jiménez,7,mx MEX,FW,33-188,74,0,1,0,0,2,0,0,0,40,1,1,0,0.1,0.1,0.2,4,1,19,28,67.9,5,28,1,3,2,11
251,9,7,False,Rodrigo Muniz,9,br BRA,FW,23-189,16,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,3,0,0,0,11
10,9,7,False,Reiss Nelson,19,eng ENG,LW,24-335,81,0,0,0,0,4,2,0,0,57,0,0,0,0.3,0.3,0.1,5,0,40,45,88.9,8,43,7,5,2,11
259,9,7,False,Harry Wilson,8,wls WAL,"RW,LW",27-232,9,1,0,0,0,1,1,0,0,10,1,0,1,0.4,0.4,0.0,0,0,4,6,66.7,0,6,1,0,0,11
247,9,7,False,Alex Iwobi,17,ng NGA,RW,28-190,88,0,1,0,0,2,1,1,0,68,3,0,1,0.1,0.1,1.1,6,1,42,57,73.7,10,46,5,2,2,11
239,9,7,False,Adama Traoré,11,es ESP,LW,28-289,2,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,2,0,0,0,11
19,9,7,False,Emile Smith Rowe,32,eng ENG,AM,24-104,88,1,0,0,0,2,1,0,0,60,1,1,2,0.2,0.2,0.1,6,2,42,48,87.5,10,37,7,4,3,11
254,9,7,False,Harrison Reed,6,eng ENG,AM,29-287,2,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,1,4,0,0,0,11
622,9,7,False,Sander Berge,16,no NOR,DM,26-269,90,0,0,0,0,0,0,0,0,65,1,2,1,0.0,0.0,0.0,1,0,53,60,88.3,3,34,0,0,0,11
240,9,7,False,Andreas Pereira,18,br BRA,DM,28-313,82,0,0,0,0,2,2,0,0,58,1,1,0,0.5,0.5,0.2,9,0,39,53,73.6,6,34,1,0,0,11
243,9,7,False,Tom Cairney,10,sct SCO,DM,33-294,8,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,0,0,19,20,95.0,0,15,0,0,0,11
255,9,7,False,Antonee Robinson,33,us USA,LB,27-093,90,0,0,0,0,2,0,0,0,93,1,4,2,0.1,0.1,0.1,3,0,64,83,77.1,4,58,1,1,0,11
241,9,7,False,Calvin Bassey,3,ng NGA,CB,24-314,90,0,0,0,0,0,0,0,0,72,1,0,0,0.0,0.0,0.0,0,0,55,65,84.6,2,53,0,0,0,11
191,9,7,False,Joachim Andersen,5,dk DEN,CB,28-162,90,0,0,0,0,1,0,0,0,100,1,1,1,0.0,0.0,0.0,0,0,78,89,87.6,6,56,0,1,1,11
257,9,7,False,Kenny Tete,2,nl NED,RB,29-031,90,0,0,0,0,1,0,0,0,83,4,1,3,0.0,0.0,0.0,0,0,57,69,82.6,2,46,4,1,0,11
248,9,7,False,Bernd Leno,1,de GER,GK,32-250,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,36,39,92.3,0,29,0,0,0,11
566,20,17,True,Jørgen Strand Larsen,9,no NOR,FW,24-277,72,0,0,0,0,1,1,0,0,15,0,2,1,0.0,0.0,0.0,0,0,6,9,66.7,0,6,1,0,0,11
548,20,17,True,Gonçalo Guedes,29,pt POR,FW,27-346,18,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0,0,2,0,0,0,11
533,20,17,True,Rayan Aït-Nouri,3,dz ALG,LW,23-156,89,0,0,0,0,1,0,0,0,40,4,0,2,0.1,0.1,0.0,1,0,21,29,72.4,1,24,2,6,4,11
543,20,17,True,Matt Doherty,2,ie IRL,LW,32-298,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,11
565,20,17,True,Pablo Sarabia,21,es ESP,RW,32-182,45,1,0,0,0,1,1,0,0,18,1,0,0,1.0,1.0,0.0,1,1,6,11,54.5,2,11,0,3,1,11
535,20,17,True,Jean-Ricner Bellegarde,27,fr FRA,RW,26-135,45,0,0,0,0,1,0,1,0,18,0,0,1,0.0,0.0,0.0,1,0,4,6,66.7,0,11,0,6,1,11
784,20,17,True,Matheus Cunha,10,br BRA,AM,25-166,89,1,1,0,0,2,1,0,0,31,1,1,2,0.1,0.1,1.0,2,1,16,18,88.9,5,15,4,5,2,11
563,20,17,True,Rodrigo Gomes,19,pt POR,AM,21-125,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,2,0,0,0,11
553,20,17,True,João Gomes,8,br BRA,DM,23-271,90,0,0,0,0,1,1,0,0,41,0,2,3,0.0,0.0,0.0,0,0,19,30,63.3,2,18,1,1,1,11
557,20,17,True,Mario Lemina,5,ga GAB,DM,31-069,90,0,1,0,0,1,0,0,0,30,2,1,0,0.0,0.0,0.0,4,1,17,23,73.9,2,12,1,1,1,11
567,20,17,True,Toti Gomes,24,pt POR,LB,25-298,90,0,0,0,0,0,0,0,0,56,3,0,0,0.0,0.0,0.0,1,0,36,45,80.0,2,28,0,1,1,11
