player_id,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,player_name,games,games_starts,minutes,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,gk_pens_save_pct,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
59,1.0,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Max Aarons,3,1,86,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0,,0.00,0.00,,,,0,,0.0,0.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0.0,0.0,0,8,0,0,51,12,2,0,0,2,10,0,0,0,0,0,1,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,0,0,1,0,40,0,0,2,0,0,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
697,1.9,2,1.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Joshua Acheampong,4,2,170,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,8,0,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,2,0,0.0,1.06,0.00,0.00,,8.9,0,0.11,-0.2,-0.2,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55.0,0.0,0.0,0,6,0,0,121,3,2,0,0,0,1,0,0,0,0,0,2,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0,137,7,48,81,8,3,137,2,1,50.0,0,0.0,106,709,409,2,0,2,0,111,0,0,1,0,0,0,0,7,1,6,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,21.8,41,1.88,35,0,0,1,1,4,4,0.18,3,0,0,0,0,1,Tyler Adams,28,21,"1,965",0,3,3,0,0,0,7,0,1.6,1.6,1.0,2.6,14,76,10,0.00,0.14,0.14,0.00,0.14,0.07,0.05,0.12,0.07,0.12,9,2,22.2,0.41,0.09,0.00,0.00,16.9,0,0.18,-1.6,-1.6,902,1069,84.4,14322,3525,437,489,89.4,393,443,88.7,38,65,58.5,0.8,+2.0,18,67,4,1,1025,38,34,2,1,3,4,0,0,0,0,6,14,83,50,26,49,8,39,72,54.2,33,33,10,23,32,115,42,0,1337,62,349,779,224,18,1337,18,4,22.2,10,55.6,663,3337,1447,22,1,28,12,757,0,45,21,0,0,1,0,114,31,18,63.3,70,57.5,85,15,7,26,1,1.46,41,30,+11,+0.50,+0.44,35.5,28.9,+6.6,+0.30,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,15.7,15,0.96,8,0,0,6,0,1,1,0.06,0,0,0,1,0,0,Tosin Adarabioyo,22,15,"1,409",1,1,2,1,0,0,4,0,0.9,0.9,0.2,1.2,5,42,1,0.06,0.06,0.13,0.06,0.13,0.06,0.01,0.07,0.06,0.07,13,2,15.4,0.83,0.13,0.08,0.50,12.5,0,0.07,+0.1,+0.1,1079,1184,91.1,19805,7144,406,425,95.5,603,636,94.8,66,109,60.6,0.2,+0.8,1,62,1,0,1142,39,23,2,3,0,4,0,0,0,0,3,3,17,13,11,6,0,8,12,66.7,4,9,7,2,11,28,80,0,1330,175,630,674,27,14,1330,6,4,66.7,1,16.7,777,3207,1809,2,0,4,0,1000,0,8,9,1,0,0,0,41,42,28,60.0,64,41.2,84,13,7,20,16,1.86,28,14,+14,+0.89,+0.58,30.8,19.3,+11.5,+0.74,+0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,12.2,47,3.86,33,0,6,8,0,0,7,0.57,5,0,1,1,0,0,Simon Adingra,29,12,"1,097",2,2,4,2,0,0,0,0,2.5,2.5,2.5,4.9,50,18,136,0.16,0.16,0.33,0.16,0.33,0.20,0.20,0.40,0.20,0.40,33,8,24.2,2.71,0.66,0.06,0.25,17.0,0,0.07,-0.5,-0.5,290,382,75.9,4148,820,187,217,86.2,81,109,74.3,16,29,55.2,2.8,-0.5,16,5,17,6,372,9,0,2,0,41,8,1,0,0,0,1,12,23,14,10,8,5,10,26,38.5,16,12,0,12,8,31,6,2,548,10,66,174,315,76,548,50,21,42.0,27,54.0,366,2514,1300,21,27,39,12,388,0,13,4,4,0,0,0,47,7,4,63.6,38,32.1,66,1,17,18,6,1.59,18,23,-5,-0.41,-0.88,18.2,19.0,-0.9,-0.07,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,15.7,17,1.09,15,2,0,0,0,0,3,0.19,2,1,0,0,0,0,Emmanuel Agbadou,16,16,"1,410",1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,6,31,2,0.06,0.00,0.06,0.06,0.06,0.05,0.02,0.07,0.05,0.07,7,2,28.6,0.45,0.13,0.14,0.50,27.6,1,0.12,+0.2,+0.2,855,1001,85.4,17344,6203,276,299,92.3,466,501,93.0,107,181,59.1,0.3,-0.2,4,40,1,0,955,43,28,1,11,2,0,0,0,0,0,3,5,30,19,21,9,0,13,20,65.0,7,19,13,6,12,42,90,0,1172,190,649,504,28,7,1172,13,10,76.9,2,15.4,758,3670,1752,4,0,6,4,796,0,7,4,1,0,0,0,83,26,20,56.5,88,41.2,88,15,0,,0,1.44,20,22,-2,-0.13,+0.45,19.1,22.8,-3.6,-0.23,+0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,0.1,1,15.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Asher Agbinone,2,0,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79,1,0,0.0,15.00,0.00,0.00,,26.3,0,0.02,0.0,0.0,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,,0.0,0.0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,8,0,0,2,6,0,8,2,0,0.0,1,50.0,5,53,23,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,33.3,62,1.86,49,5,3,1,3,1,4,0.12,3,0,0,0,0,1,Ola Aina,35,35,"2,995",2,1,3,2,0,0,5,0,0.6,0.6,1.4,2.1,67,107,67,0.06,0.03,0.09,0.06,0.09,0.02,0.04,0.06,0.02,0.06,11,2,18.2,0.33,0.06,0.18,1.00,26.1,0,0.06,+1.4,+1.4,994,1352,73.5,15371,6297,530,598,88.6,374,502,74.5,57,166,34.3,2.2,-0.4,16,85,23,11,1071,279,15,0,4,59,264,0,0,0,0,2,46,55,42,39,15,1,36,64,56.3,28,34,12,22,33,88,115,4,1708,156,613,717,409,22,1708,72,33,45.8,27,37.5,749,4798,2787,46,10,44,22,823,0,23,35,2,0,1,0,190,13,19,40.6,86,87.6,86,28,0,,0,1.77,55,39,+16,+0.48,+1.33,41.2,39.4,+1.9,+0.06,+1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,34.5,91,2.63,56,15,8,7,4,1,12,0.35,10,1,0,0,0,1,Rayan Aït-Nouri,37,37,"3,109",4,7,11,4,0,0,7,1,2.7,2.7,5.5,8.2,89,108,176,0.12,0.20,0.32,0.12,0.32,0.08,0.16,0.24,0.08,0.24,36,10,27.8,1.04,0.29,0.11,0.40,14.9,0,0.08,+1.3,+1.3,1449,1721,84.2,19837,5926,897,959,93.5,435,499,87.2,48,118,40.7,4.0,+1.5,46,77,30,10,1397,320,44,3,4,94,246,30,24,1,0,4,42,89,57,52,28,9,43,70,61.4,27,42,6,36,26,115,75,2,2148,96,577,916,685,96,2148,137,63,46.0,56,40.9,1129,6166,3205,62,28,52,47,1321,1,30,46,6,0,0,0,145,22,30,42.3,84,90.9,84,18,0,,0,1.05,46,67,-21,-0.61,-2.34,38.7,52.6,-13.9,-0.40,-0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,16.0,18,1.13,15,0,1,2,0,0,2,0.13,2,0,0,0,0,0,Kristoffer Ajer,24,17,"1,438",0,0,0,0,0,0,5,0,1.0,1.0,1.2,2.2,27,56,44,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,9,3,33.3,0.56,0.19,0.00,0.00,9.5,0,0.11,-1.0,-1.0,504,644,78.3,7868,2831,260,299,87.0,199,248,80.2,27,54,50.0,0.5,-1.2,8,44,7,4,570,73,2,0,3,14,71,0,0,0,0,1,18,26,18,14,11,1,14,27,51.9,13,17,4,13,12,38,50,0,795,53,265,368,168,38,795,16,7,43.8,8,50.0,387,2098,1180,11,2,15,12,491,0,13,6,2,0,0,0,42,27,23,54.0,60,42.0,79,5,7,14,2,1.33,20,25,-5,-0.31,-0.95,20.8,21.5,-0.7,-0.04,-0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,22.4,37,1.65,37,0,0,0,0,0,3,0.13,3,0,0,0,0,0,Manuel Akanji,26,23,"2,014",0,0,0,0,0,0,3,0,1.6,1.6,0.4,1.9,46,158,7,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,15,2,13.3,0.67,0.09,0.00,0.00,14.7,0,0.10,-1.6,-1.6,1632,1744,93.6,27046,7578,776,812,95.6,757,795,95.2,84,113,74.3,1.3,-0.4,9,177,11,2,1707,36,18,4,10,11,10,0,0,0,0,1,6,19,12,12,4,3,11,17,64.7,6,11,8,3,9,28,64,3,1881,119,559,920,405,19,1881,2,2,100.0,0,0.0,1254,6953,4234,64,0,5,5,1483,0,17,9,0,0,0,0,103,30,33,47.6,77,58.9,86,20,3,12,2,2.04,46,28,+18,+0.80,+0.16,43.7,29.1,+14.6,+0.65,+0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,7.5,8,1.06,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Nathan Aké,10,8,678,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,12,50,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,3,0,0.0,0.40,0.00,0.00,,10.0,0,0.07,-0.2,-0.2,509,542,93.9,8321,2950,248,253,98.0,237,244,97.1,20,34,58.8,0.2,0.0,1,42,1,0,514,26,13,0,0,1,7,0,0,0,0,2,3,9,7,7,2,0,4,6,66.7,2,7,2,5,3,12,22,1,596,51,205,331,61,5,596,1,1,100.0,0,0.0,403,2244,1501,12,1,4,3,449,0,2,0,0,0,0,0,24,13,10,56.5,68,19.8,79,2,2,24,9,1.40,11,11,0,0.00,-0.92,12.6,13.5,-0.9,-0.12,-0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,16.0,20,1.25,10,0,4,5,1,0,0,0.00,0,0,0,0,0,0,Cameron Archer,35,13,"1,441",2,0,2,2,0,1,0,0,5.7,4.9,0.5,5.4,22,14,66,0.12,0.00,0.12,0.12,0.12,0.36,0.03,0.39,0.31,0.34,28,10,35.7,1.75,0.62,0.07,0.20,12.8,0,0.18,-3.7,-2.9,205,251,81.7,2612,367,131,151,86.8,54,59,91.5,5,9,55.6,0.7,-0.5,5,7,7,0,231,19,0,2,0,3,0,0,0,0,0,1,8,13,8,8,3,2,2,9,22.2,7,5,1,4,2,15,11,0,398,16,69,179,154,52,397,37,15,40.5,20,54.1,226,1182,564,10,14,40,26,274,0,16,13,8,0,0,0,35,9,30,23.1,41,42.1,71,0,22,24,2,0.26,10,34,-24,-1.50,+0.14,15.7,36.6,-20.9,-1.31,+0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,8.5,33,3.89,24,2,3,3,1,0,6,0.71,5,0,0,1,0,0,Carlos Alcaraz,15,7,764,2,3,5,2,0,0,4,0,1.7,1.7,1.6,3.4,19,42,21,0.24,0.35,0.59,0.24,0.59,0.20,0.19,0.40,0.20,0.40,26,11,42.3,3.06,1.30,0.08,0.18,20.3,1,0.07,+0.3,+0.3,224,278,80.6,3963,1007,96,112,85.7,95,107,88.8,24,37,64.9,0.7,+1.4,13,20,18,3,265,12,2,1,2,11,6,3,2,1,0,1,10,11,5,5,3,3,3,11,27.3,8,9,2,7,5,16,10,0,378,15,63,168,156,19,378,18,9,50.0,7,38.9,211,1331,707,21,2,14,13,247,0,13,12,1,0,0,0,37,14,8,63.6,51,22.3,84,2,8,22,0,1.47,12,9,+3,+0.35,+0.52,8.2,11.0,-2.9,-0.34,-0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,26.3,98,3.73,74,15,5,4,0,0,10,0.38,9,1,0,0,0,0,Trent Alexander-Arnold,33,28,"2,365",3,6,9,3,0,0,5,0,1.9,1.9,7.3,9.2,51,232,94,0.11,0.23,0.34,0.11,0.34,0.07,0.28,0.35,0.07,0.35,45,8,17.8,1.71,0.30,0.07,0.38,23.6,3,0.04,+1.1,+1.1,1448,1971,73.5,27901,11363,632,704,89.8,589,771,76.4,203,418,48.6,7.4,-1.3,52,207,65,20,1651,310,63,12,32,153,192,55,34,12,1,10,36,72,50,44,19,9,49,105,46.7,56,26,9,17,31,103,55,4,2253,88,593,1014,660,44,2253,37,17,45.9,17,45.9,1184,5358,2860,36,9,19,15,1436,0,11,9,1,0,0,0,132,3,13,18.8,72,69.2,79,12,5,29,1,2.27,67,25,+42,+1.60,+1.34,58.6,21.7,+36.9,+1.40,+0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
