goals,assists,pens_made,pens_att,shots,shots_on_target,cards_yellow,cards_red,touches,tackles,interceptions,blocks,xg,npxg,xg_assist,sca,gca,passes_completed,passes,passes_pct,progressive_passes,carries,progressive_carries,take_ons,take_ons_won,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocked_shots,blocked_passes,tackles_interceptions,clearances,errors,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,team_id,opponent_team_id,was_home,shots_against,shots_on_target_against,goals_conceded,sca_against,gca_against,xGC,npxGC,key_passes_against,passes_into_penalty_area_against,gw
0,0,0,0,8,2,4,0,466,19,13,10,0.9,0.9,0.6,15,0,271,354,76.6,16,202,14,15,12,5477,2243,101,121,83.5,122,139,87.8,43,70,61.4,0.5,5,21,7,3,10,7,11,1,6,20,30.0,14,3,7,32,23,2,61,189,188,94,20,466,80.0,2,13.3,1148,566,8,2,15,5,269,16,8,13,True,12,6,2,20,4,2.0,2.0,8,10,33
2,2,0,0,12,6,0,0,803,7,5,11,2.0,2.0,1.3,20,4,620,711,87.2,56,508,27,23,14,10556,2691,279,305,91.5,290,311,93.2,41,75,54.7,1.2,8,51,10,0,4,2,3,2,2,14,14.3,12,4,7,12,23,0,69,184,418,209,24,803,60.9,6,26.1,2631,1545,14,5,14,13,614,56,13,8,False,8,2,0,15,0,0.9,0.9,5,7,33
1,1,0,0,12,4,2,0,624,13,4,11,0.9,0.9,0.8,21,2,462,523,88.3,39,280,22,9,3,7362,2576,246,260,94.6,189,201,94.0,22,46,47.8,0.8,10,34,11,2,8,6,5,2,10,15,66.7,5,6,5,17,28,1,72,223,283,123,22,624,33.3,6,66.7,1743,988,10,4,13,9,461,39,19,17,True,15,4,1,27,1,0.6,0.6,11,6,33
1,0,0,0,15,4,1,0,579,15,6,8,0.6,0.6,0.4,27,1,408,488,83.6,27,359,19,18,5,7026,2176,196,213,92.0,162,179,90.5,38,70,54.3,0.5,11,36,6,0,9,7,7,1,6,9,66.7,3,5,3,21,15,0,53,149,263,176,23,579,27.8,10,55.6,1911,1072,21,3,11,3,405,27,17,19,False,12,4,1,21,2,0.9,0.9,10,11,33
0,0,0,0,5,0,5,1,360,10,7,13,0.4,0.4,0.2,10,0,151,249,60.6,12,128,7,8,2,2857,1473,63,87,72.4,55,72,76.4,24,73,32.9,1.1,2,9,8,2,4,6,2,2,4,11,36.4,7,5,8,17,34,0,65,172,111,79,15,360,25.0,4,50.0,758,459,7,1,14,8,149,12,7,3,True,15,4,0,29,0,0.7,0.7,13,12,33
0,0,0,0,15,4,4,0,737,12,6,9,0.7,0.7,0.6,29,0,528,623,84.8,71,456,32,15,7,8831,2426,239,270,88.5,229,250,91.6,41,67,61.2,0.7,13,42,12,4,10,6,2,4,4,6,66.7,2,3,6,18,33,0,54,145,329,266,29,737,46.7,4,26.7,3312,1804,33,3,13,6,524,70,3,7,False,5,0,0,10,0,0.4,0.4,2,8,33
4,4,0,0,16,8,3,0,586,20,9,6,2.2,2.2,1.7,28,8,367,462,79.4,33,353,9,24,10,7200,2511,145,163,89.0,170,194,87.6,48,82,58.5,1.4,14,34,10,3,13,9,8,3,15,21,71.4,6,3,3,29,28,0,76,221,233,139,33,586,41.7,12,50.0,1556,780,8,3,15,6,361,33,4,5,True,12,3,2,22,4,1.4,1.4,7,7,33
2,2,0,0,12,3,3,1,649,18,9,11,1.4,1.4,1.2,22,4,433,527,82.2,36,449,18,21,6,6830,2275,256,288,88.9,145,172,84.3,30,59,50.8,1.1,7,37,7,2,13,10,6,2,12,22,54.5,10,2,9,27,29,3,59,194,255,205,29,649,28.6,15,71.4,2298,1201,22,6,15,5,432,36,5,4,False,16,8,4,28,8,2.2,2.2,14,10,33
3,3,0,0,23,9,1,0,546,19,7,13,2.2,2.2,2.0,41,5,358,434,82.5,33,312,17,12,7,6169,2501,179,194,92.3,139,161,86.3,31,59,52.5,1.1,19,34,11,0,15,7,10,2,8,18,44.4,10,3,10,26,24,1,73,177,241,137,30,546,58.3,4,33.3,1608,729,4,7,13,8,355,32,2,15,True,10,3,1,16,1,1.0,1.0,7,10,33
1,1,0,0,10,3,3,0,563,12,3,6,1.0,1.0,0.8,16,1,387,467,82.9,43,315,28,19,10,6918,2173,158,173,91.3,191,214,89.3,34,55,61.8,0.9,7,28,10,4,5,4,5,3,4,11,36.4,7,4,2,15,24,2,68,165,249,155,33,563,52.6,8,42.1,1879,981,10,10,12,11,384,42,15,2,False,23,9,3,41,5,2.2,2.2,19,11,33
