,team,wins,draws,losses,goals_for,goals_against,goal_difference,points,points_per_match,xGA,xGD,xGD/90,npxG,progressive_carries,progressive_passes,goals/90,xG/90,xAG/90,xG_plus_xAG/90,npxG/90,npxG_plus_xAG/90,shots,shots_on_target,shots_on_target_percentage,shots/90,shots_on_target/90,goals/shots,goals/shots_on_target,npxG/shot,goals_minus_xG,shot_creating_actions,shot_creating_actions/90,passes_led_to_shot,passes_dead_led_to_shot,takeons_led_to_shot,shots_led_to_shot,fouls_drawn_led_to_shot,defensive_actions_led_to_shot,goal_creating_actions,goal_creating_actions/90,passes_led_to_goal,passes_dead_led_to_goal,takeons_led_to_goal,shots_led_to_goal,fouls_drawn_led_to_goal,defensive_actions_led_to_goal,players_tackled,tackles_won,tackles_in_defensive_3rd,tackles_in_mid_3rd,tackles_in_attacking_3rd,dribblers_tackled,dribblers_tackles_attempted,dribblers_tackles_percentage,dribblers_tackles_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_plus_interceptions,clearances,errors,touches,touches_in_defensive_penalty_area,touches_in_defensive_third,touches_in_midfield_third,touches_in_attacking_third,touches_in_attacking_penalty_area,live,takeons_attempted,takeons_successful,takeons_successful_percentage,tackled_during_takeon,tackled_during_takeon_percentage,carries,total_distance_carried,progressive_carry_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received
0,Liverpool,25,9,4,86,41,+45,84,2.21,38.6,+43.6,+1.15,75.2,825,1924,2.24,2.16,1.62,3.78,1.98,3.60,544,178,32.7,14.32,4.68,0.12,0.37,0.11,+7.1,969,25.50,726,82,52,64,34,11,119,3.13,86,11,6,11,4,1,598,348,220,249,129,260,515,50.5,255,328,106,222,225,823,680,33,24056,1844,6064,10362,7808,1282,24054,726,320,44.1,316,43.5,14234,75544,40246,540,286,483,382,16894,1801
1,Arsenal,20,14,4,69,34,+35,74,1.95,34.4,+25.5,+0.67,58.4,852,1826,1.76,1.58,1.19,2.77,1.54,2.73,478,159,33.3,12.58,4.18,0.11,0.33,0.11,-0.1,849,22.34,602,85,51,58,39,14,102,2.68,80,7,3,6,4,2,637,372,293,249,95,310,546,56.8,236,329,107,222,240,877,788,43,21699,2646,7301,9257,5362,951,21693,726,327,45.0,299,41.2,12334,68906,36242,448,212,508,386,14423,1331
2,Manchester City,21,8,9,72,44,+28,71,1.87,47.7,+20.4,+0.54,64.9,1146,1944,1.87,1.79,1.43,3.22,1.71,3.13,574,192,33.4,15.11,5.05,0.09,0.27,0.10,-7.0,1012,26.63,767,68,44,70,42,21,93,2.45,62,6,5,8,10,2,691,399,290,299,102,301,627,48.0,326,459,136,323,351,1042,1013,22,21618,2217,6444,9314,6128,1005,21611,672,294,43.8,300,44.6,11733,69030,36709,534,228,597,350,12855,1474
3,Chelsea,20,9,9,64,43,+21,69,1.82,47.3,+20.5,+0.54,63.8,861,1595,1.61,1.78,1.39,3.17,1.68,3.07,434,173,39.9,11.42,4.55,0.14,0.35,0.13,+6.0,780,20.53,569,74,40,51,35,11,113,2.97,78,11,5,9,9,1,633,380,289,223,121,314,596,52.7,282,480,199,281,285,918,1040,28,21491,3282,8328,8055,5310,987,21485,627,265,42.3,293,46.7,11412,61938,31661,380,213,549,300,13153,1339
4,Newcastle Utd,20,6,12,68,47,+21,66,1.74,45.5,+18.3,+0.48,59.5,759,1595,1.74,1.68,1.21,2.89,1.57,2.78,526,183,34.8,13.84,4.82,0.11,0.31,0.10,+5.3,933,24.55,685,70,56,53,55,14,113,2.97,78,7,10,6,10,2,705,431,287,297,121,350,703,49.8,353,439,122,317,315,1020,762,29,23677,2601,7503,10292,6153,1085,23670,797,338,42.4,382,47.9,13919,76882,41746,576,263,583,344,15637,1522
5,Aston Villa,19,9,10,58,51,+7,66,1.74,50.1,+5.9,+0.16,51.3,720,1344,1.47,1.48,1.10,2.57,1.35,2.45,590,203,34.4,15.53,5.34,0.10,0.28,0.11,-6.8,1061,27.92,811,60,58,70,39,23,109,2.87,75,5,9,9,7,4,588,371,243,244,101,273,536,50.9,263,356,103,253,272,860,695,45,25217,2410,7564,11375,6497,1115,25212,783,326,41.6,336,42.9,14501,78314,41394,493,317,466,297,17888,1576
6,Nott'ham Forest,19,8,11,58,46,+12,65,1.71,48.9,-3.4,-0.09,43.2,633,1125,1.50,1.20,0.87,2.07,1.14,2.00,512,175,34.2,13.47,4.61,0.09,0.26,0.11,-11.4,877,23.08,633,76,33,71,48,16,89,2.34,60,8,6,8,6,1,767,450,374,299,94,324,643,50.4,319,485,144,341,334,1101,1088,19,20389,2570,7689,8441,4456,797,20385,500,209,41.8,241,48.2,10275,51887,25304,354,126,491,339,11783,1140
7,Brighton,16,13,9,66,59,+7,61,1.61,54.6,+4.1,+0.11,53.3,816,1539,1.68,1.54,1.06,2.61,1.40,2.47,404,139,34.4,10.63,3.66,0.09,0.27,0.10,-2.8,713,18.76,530,65,44,31,31,12,68,1.79,46,4,6,4,5,3,732,433,366,269,97,338,656,51.5,318,392,138,254,345,1077,1088,25,19408,2462,6930,7927,4762,732,19406,636,283,44.5,305,48.0,9535,51039,25414,364,119,525,390,11309,1023
8,Bournemouth,15,11,12,58,46,+12,56,1.47,48.5,+15.5,+0.41,58.5,754,1489,1.50,1.68,1.15,2.84,1.54,2.69,516,167,32.4,13.58,4.39,0.10,0.30,0.09,+4.0,940,24.74,718,73,38,70,25,16,99,2.61,80,3,5,4,4,3,679,411,327,259,93,289,565,51.2,276,382,113,269,302,981,914,33,23926,2641,8095,9787,6287,954,23922,637,288,45.2,254,39.9,14026,73723,38440,544,213,515,281,16043,1544
9,Brentford,16,8,14,66,57,+9,56,1.47,55.4,+3.6,+0.09,54.4,598,1356,1.71,1.55,1.12,2.67,1.43,2.55,374,120,32.1,9.84,3.16,0.09,0.28,0.09,+0.6,658,17.32,458,72,51,30,33,14,58,1.53,46,2,6,2,2,0,589,340,294,214,81,281,604,46.5,323,436,185,251,303,892,1102,39,19091,3012,7764,7504,4032,605,19089,643,277,43.1,290,45.1,9384,53235,26144,330,150,538,347,11405,920
