gw,home_team_id,away_team_id,home_team_score,away_team_score,stats
1,12,4,,,[]
1,2,15,,,[]
1,6,10,,,[]
1,18,3,,,[]
1,17,19,,,[]
1,20,13,,,[]
1,7,8,,,[]
1,16,5,,,[]
1,14,1,,,[]
1,11,9,,,[]
2,19,7,,,[]
2,13,18,,,[]
2,4,20,,,[]
2,5,2,,,[]
2,3,17,,,[]
2,1,11,,,[]
2,8,16,,,[]
2,9,6,,,[]
2,10,14,,,[]
2,15,12,,,[]
3,7,10,,,[]
3,14,3,,,[]
3,18,4,,,[]
3,17,5,,,[]
3,20,9,,,[]
3,11,15,,,[]
3,6,13,,,[]
3,16,19,,,[]
3,12,1,,,[]
3,2,8,,,[]
4,1,16,,,[]
4,4,6,,,[]
4,8,17,,,[]
4,9,2,,,[]
4,10,11,,,[]
4,15,20,,,[]
4,19,18,,,[]
4,5,7,,,[]
4,3,12,,,[]
4,13,14,,,[]
5,12,9,,,[]
5,4,15,,,[]
5,6,18,,,[]
5,3,16,,,[]
5,19,8,,,[]
5,20,11,,,[]
5,14,7,,,[]
5,10,5,,,[]
5,17,2,,,[]
5,1,13,,,[]
6,5,14,,,[]
6,2,10,,,[]
6,7,6,,,[]
6,8,12,,,[]
6,11,4,,,[]
6,13,3,,,[]
6,16,17,,,[]
6,18,20,,,[]
6,15,1,,,[]
6,9,19,,,[]
7,1,19,,,[]
7,2,3,,,[]
7,4,10,,,[]
7,5,13,,,[]
7,7,12,,,[]
7,9,8,,,[]
7,11,18,,,[]
7,14,17,,,[]
7,15,16,,,[]
7,20,6,,,[]
8,6,15,,,[]
8,3,11,,,[]
8,8,4,,,[]
8,10,1,,,[]
8,12,14,,,[]
8,13,9,,,[]
8,16,7,,,[]
8,18,2,,,[]
8,17,20,,,[]
8,19,5,,,[]
9,1,8,,,[]
9,2,13,,,[]
9,4,16,,,[]
9,5,12,,,[]
9,7,17,,,[]
9,9,18,,,[]
9,11,19,,,[]
9,14,6,,,[]
9,15,10,,,[]
9,20,3,,,[]
10,6,11,,,[]
10,3,1,,,[]
10,8,5,,,[]
10,10,20,,,[]
10,12,2,,,[]
10,13,4,,,[]
10,16,14,,,[]
10,18,7,,,[]
10,17,9,,,[]
10,19,15,,,[]
11,2,4,,,[]
11,5,15,,,[]
11,7,20,,,[]
11,8,6,,,[]
11,9,10,,,[]
11,13,12,,,[]
11,16,11,,,[]
11,18,14,,,[]
11,17,1,,,[]
11,19,3,,,[]
12,1,18,,,[]
12,4,19,,,[]
12,6,5,,,[]
12,3,7,,,[]
12,10,17,,,[]
12,11,2,,,[]
12,12,16,,,[]
12,14,9,,,[]
12,15,13,,,[]
12,20,8,,,[]
13,2,20,,,[]
13,5,3,,,[]
13,7,1,,,[]
13,8,14,,,[]
13,9,15,,,[]
13,13,11,,,[]
13,16,6,,,[]
13,18,10,,,[]
13,17,4,,,[]
13,19,12,,,[]
14,1,5,,,[]
14,4,9,,,[]
14,6,2,,,[]
14,3,8,,,[]
14,10,13,,,[]
14,11,7,,,[]
14,12,17,,,[]
14,14,19,,,[]
14,15,18,,,[]
14,20,16,,,[]
15,2,1,,,[]
15,4,7,,,[]
15,6,19,,,[]
15,9,16,,,[]
15,10,8,,,[]
15,11,12,,,[]
15,13,17,,,[]
15,15,3,,,[]
15,18,5,,,[]
15,20,14,,,[]
16,1,20,,,[]
16,5,11,,,[]
16,3,10,,,[]
16,7,9,,,[]
16,8,13,,,[]
16,12,6,,,[]
16,14,4,,,[]
16,16,18,,,[]
16,17,15,,,[]
16,19,2,,,[]
17,2,14,,,[]
17,4,3,,,[]
17,6,17,,,[]
17,9,1,,,[]
17,10,16,,,[]
17,11,8,,,[]
17,13,19,,,[]
17,15,7,,,[]
17,18,12,,,[]
17,20,5,,,[]
18,1,6,,,[]
18,5,4,,,[]
18,3,9,,,[]
18,7,2,,,[]
18,8,18,,,[]
18,12,20,,,[]
18,14,15,,,[]
18,16,13,,,[]
18,17,11,,,[]
18,19,10,,,[]
19,1,2,,,[]
19,5,18,,,[]
19,3,15,,,[]
19,7,4,,,[]
19,8,10,,,[]
19,12,11,,,[]
19,14,20,,,[]
19,16,9,,,[]
19,17,13,,,[]
19,19,6,,,[]
20,2,16,,,[]
20,4,1,,,[]
20,6,3,,,[]
20,9,5,,,[]
20,10,12,,,[]
20,11,14,,,[]
20,13,7,,,[]
20,15,8,,,[]
20,18,17,,,[]
20,20,19,,,[]
21,1,12,,,[]
21,4,18,,,[]
21,5,17,,,[]
21,3,14,,,[]
21,8,2,,,[]
21,9,20,,,[]
21,10,7,,,[]
21,13,6,,,[]
21,15,11,,,[]
21,19,16,,,[]
22,2,9,,,[]
22,6,4,,,[]
22,7,5,,,[]
22,11,10,,,[]
22,12,3,,,[]
22,14,13,,,[]
22,16,1,,,[]
22,18,19,,,[]
22,17,8,,,[]
22,20,15,,,[]
23,1,14,,,[]
23,4,12,,,[]
23,5,16,,,[]
23,3,18,,,[]
23,8,7,,,[]
23,9,11,,,[]
23,10,6,,,[]
23,13,20,,,[]
23,15,2,,,[]
23,19,17,,,[]
24,2,5,,,[]
24,6,9,,,[]
24,7,19,,,[]
24,11,1,,,[]
24,12,15,,,[]
24,14,10,,,[]
24,16,8,,,[]
24,18,13,,,[]
24,17,3,,,[]
24,20,4,,,[]
25,1,17,,,[]
25,4,2,,,[]
25,6,8,,,[]
25,3,19,,,[]
25,10,9,,,[]
25,11,16,,,[]
25,12,13,,,[]
25,14,18,,,[]
25,15,5,,,[]
25,20,7,,,[]
26,2,6,,,[]
26,5,1,,,[]
26,7,11,,,[]
26,8,3,,,[]
26,9,4,,,[]
26,13,10,,,[]
26,16,20,,,[]
26,18,15,,,[]
26,17,12,,,[]
26,19,14,,,[]
27,2,11,,,[]
27,5,6,,,[]
27,7,3,,,[]
27,8,20,,,[]
27,9,14,,,[]
27,13,15,,,[]
27,16,12,,,[]
27,18,1,,,[]
27,17,10,,,[]
27,19,4,,,[]
28,1,7,,,[]
28,4,17,,,[]
28,6,16,,,[]
28,3,5,,,[]
28,10,18,,,[]
28,11,13,,,[]
28,12,19,,,[]
28,14,8,,,[]
28,15,9,,,[]
28,20,2,,,[]
29,2,7,,,[]
29,4,5,,,[]
29,6,1,,,[]
29,9,3,,,[]
29,10,19,,,[]
29,11,17,,,[]
29,13,16,,,[]
29,15,14,,,[]
29,18,8,,,[]
29,20,12,,,[]
30,1,9,,,[]
30,5,20,,,[]
30,3,4,,,[]
30,7,15,,,[]
30,8,11,,,[]
30,12,18,,,[]
30,14,2,,,[]
30,16,10,,,[]
30,17,6,,,[]
30,19,13,,,[]
31,2,19,,,[]
31,4,14,,,[]
31,6,12,,,[]
31,9,7,,,[]
31,10,3,,,[]
31,11,5,,,[]
31,13,8,,,[]
31,15,17,,,[]
31,18,16,,,[]
31,20,1,,,[]
32,1,4,,,[]
32,5,9,,,[]
32,3,6,,,[]
32,7,13,,,[]
32,8,15,,,[]
32,12,10,,,[]
32,14,11,,,[]
32,16,2,,,[]
32,17,18,,,[]
32,19,20,,,[]
33,2,17,,,[]
33,5,10,,,[]
33,7,14,,,[]
33,8,19,,,[]
33,9,12,,,[]
33,11,20,,,[]
33,13,1,,,[]
33,15,4,,,[]
33,16,3,,,[]
33,18,6,,,[]
34,1,15,,,[]
34,4,11,,,[]
34,6,7,,,[]
34,3,13,,,[]
34,10,2,,,[]
34,12,8,,,[]
34,14,5,,,[]
34,17,16,,,[]
34,19,9,,,[]
34,20,18,,,[]
35,1,10,,,[]
35,2,18,,,[]
35,4,8,,,[]
35,5,19,,,[]
35,7,16,,,[]
35,9,13,,,[]
35,11,3,,,[]
35,14,12,,,[]
35,15,6,,,[]
35,20,17,,,[]
36,6,20,,,[]
36,3,2,,,[]
36,8,9,,,[]
36,10,4,,,[]
36,12,7,,,[]
36,13,5,,,[]
36,16,15,,,[]
36,18,11,,,[]
36,17,14,,,[]
36,19,1,,,[]
37,1,3,,,[]
37,2,12,,,[]
37,4,13,,,[]
37,5,8,,,[]
37,7,18,,,[]
37,9,17,,,[]
37,11,6,,,[]
37,14,16,,,[]
37,15,19,,,[]
37,20,10,,,[]
38,6,14,,,[]
38,3,20,,,[]
38,8,1,,,[]
38,10,15,,,[]
38,12,5,,,[]
38,13,2,,,[]
38,16,4,,,[]
38,18,9,,,[]
38,17,7,,,[]
38,19,11,,,[]
