player_id,team_join_date
1,2024-07-04
2,2025-07-01
3,2020-10-28
4,2024-07-24
5,2020-09-01
6,2019-07-25
7,2024-07-29
8,2023-07-14
9,2023-01-23
10,2022-12-04
11,2021-07-30
12,2022-07-22
13,
14,
15,2024-07-24
16,2018-11-28
17,2021-08-20
18,2025-07-18
19,2019-07-15
20,2023-01-20
21,2023-07-15
22,2024-08-27
23,2022-06-21
24,2025-07-10
25,2022-09-17
26,2025-07-06
27,2017-07-12
28,2024-09-14
29,2021-07-19
30,2023-06-28
31,2022-07-04
662,2025-07-24
666,2025-07-26
32,2020-09-16
33,2025-07-15
34,2024-02-01
35,2021-12-13
36,2020-09-03
37,2022-01-13
38,2019-07-11
39,2024-06-28
40,2019-07-08
41,2023-07-12
42,2025-01-21
43,2023-01-11
44,2021-01-07
45,
46,2025-06-01
47,2024-02-01
48,2023-06-14
49,2021-08-04
50,2021-06-10
51,2024-07-01
52,2019-02-12
53,2025-01-14
54,2018-08-08
55,2024-07-01
56,
57,2024-06-23
58,2022-06-11
59,2024-07-22
60,
61,2022-09-01
62,2024-09-23
63,
64,2020-09-09
65,
677,2025-08-08
183,2025-06-25
184,2024-08-07
185,2024-07-19
186,2021-08-31
187,2025-07-05
188,2023-08-22
189,2021-08-20
190,2023-01-21
191,2024-06-14
192,2025-06-26
193,2025-07-01
194,2023-07-01
195,2024-07-16
196,2024-06-28
197,2025-01-01
198,2025-07-01
199,2024-08-23
200,2025-07-01
201,2022-08-04
202,2025-07-11
203,2023-01-30
204,2022-08-19
205,2022-07-12
206,2025-07-01
207,2024-08-28
208,2023-07-25
209,2024-08-30
210,2025-07-02
211,2023-08-22
212,2024-08-29
213,2025-02-03
214,2024-07-01
215,2025-06-01
216,2023-07-19
217,2023-01-25
218,2025-01-02
219,2023-07-01
470,2025-08-07
676,2025-08-06
680,2025-08-08
66,2022-08-07
67,2025-07-16
68,2019-08-01
69,2024-02-01
70,2024-07-01
71,2023-01-31
72,2022-08-08
73,2014-01-28
74,2025-06-16
75,2025-01-03
76,2022-08-22
77,2022-01-05
78,2024-08-13
79,2019-01-22
80,2025-01-07
81,2023-07-01
82,2023-01-27
83,2023-01-19
84,2022-08-01
85,2023-08-20
86,2018-07-01
87,2021-08-31
88,2016-07-08
89,2019-07-29
90,2023-08-10
91,2024-06-14
92,2023-07-13
93,2023-07-01
94,
95,2025-01-17
96,2024-11-29
97,2024-08-16
98,2024-07-01
99,2022-12-19
100,2025-02-02
685,2025-08-13
101,2025-06-03
102,2016-11-02
103,2021-10-26
104,
105,2024-01-26
106,2023-07-04
107,2022-07-12
108,2021-07-21
109,2016-08-31
110,2025-07-01
111,2019-07-02
112,2019-10-27
113,2024-08-22
114,2024-03-08
115,
116,2022-07-09
117,2023-07-20
118,2024-08-30
120,2023-07-01
121,2022-08-10
122,2025-07-03
123,2024-08-12
124,2025-07-15
125,2020-10-03
126,2019-07-10
127,2024-08-28
128,2021-07-20
129,2022-10-28
130,2025-07-01
131,2024-01-11
132,2020-08-01
133,2021-07-23
134,2024-01-08
135,2021-08-10
136,2024-07-01
137,
138,2018-07-01
139,2023-07-03
140,2021-02-02
141,2023-07-01
142,2021-07-16
143,2025-07-02
144,2025-06-17
145,2025-07-05
146,2009-07-01
147,2022-07-16
148,2024-08-27
149,2023-07-26
150,2020-01-31
151,2020-09-10
152,2020-07-29
153,2019-08-03
154,2025-01-31
155,
156,
157,2021-08-09
158,2024-08-19
159,2012-07-01
160,2024-07-01
161,2022-06-17
162,2024-08-14
163,2022-12-30
164,2024-08-26
165,2021-08-30
166,2023-01-30
167,2023-08-29
168,2023-01-01
169,2025-01-01
170,2023-07-01
171,2021-09-21
172,2025-06-01
173,2024-07-06
174,2024-07-12
175,
176,
177,2021-08-23
178,2020-10-18
179,2021-08-23
180,2025-02-03
181,2025-07-01
220,2023-08-05
221,2024-07-30
222,2024-08-27
223,2022-08-02
224,2022-08-05
225,2019-05-15
226,2018-02-16
227,2022-07-01
228,2023-01-28
229,2023-01-05
230,2022-08-31
231,2025-06-09
232,2024-07-01
233,2024-03-10
234,2024-08-08
235,2023-09-01
236,2024-08-11
237,2023-01-31
238,2025-07-14
239,2025-07-05
240,2023-07-01
241,2023-08-14
243,2024-04-15
244,2023-08-18
245,2023-01-15
246,2023-01-07
247,2025-06-02
248,
249,2025-07-02
250,2025-06-04
251,2023-07-01
672,2025-08-03
253,2023-08-31
254,2025-07-01
255,2021-07-13
256,2024-01-30
257,2024-08-30
258,2019-12-15
259,2025-07-11
260,2021-07-18
261,2022-07-27
262,2024-07-02
263,2020-10-14
264,2023-09-01
265,2024-07-30
266,2020-08-28
267,2024-08-01
268,2022-07-11
269,2025-01-18
270,2021-08-28
271,2024-07-01
272,2023-07-01
273,2024-02-01
274,2024-07-30
275,2023-01-31
276,2024-03-13
277,2022-07-01
278,2021-04-09
279,2023-08-05
280,2022-07-11
281,2022-07-08
282,2024-02-18
283,2022-01-31
284,2024-08-30
285,2021-08-31
286,2023-07-18
242,2025-08-06
287,2017-07-01
288,2025-07-15
289,2021-02-09
290,2020-06-20
291,2022-07-01
292,2022-01-01
293,2024-07-30
294,2009-02-02
295,2017-07-03
296,2022-01-04
297,
298,
299,2024-07-03
300,2022-07-28
301,2025-07-01
302,2022-09-01
303,2022-09-01
304,2024-06-22
305,2024-08-09
306,
307,
308,2025-02-07
309,
310,2025-07-09
311,2023-08-29
312,2023-08-11
313,
419,2025-08-12
667,2025-07-29
314,2022-08-02
315,2023-08-30
316,2020-08-20
317,2024-08-23
318,2023-07-28
319,2023-08-29
320,2022-08-10
321,2024-08-03
322,2020-09-10
323,
324,2023-09-01
325,2024-08-02
326,2023-08-12
327,2022-07-11
328,2024-07-26
329,2021-07-24
330,2024-08-22
331,2015-07-07
332,2023-01-31
333,2022-08-22
334,2022-08-05
335,2024-02-02
336,2020-08-30
337,2023-07-25
338,2021-08-20
664,2025-07-26
339,2020-07-27
340,2024-07-08
341,2023-07-29
342,2024-07-20
343,2018-04-12
344,2025-06-23
345,2025-07-01
346,2023-08-05
347,2025-07-08
348,2024-07-02
349,2024-08-30
350,2022-07-01
351,2022-09-01
352,2021-07-02
353,2021-08-31
354,2023-07-19
355,2021-01-09
356,2023-08-31
357,2024-08-22
358,2024-08-30
359,2024-03-28
360,2021-02-07
361,2022-07-04
362,2023-08-24
363,2018-07-31
364,2022-11-04
365,2025-07-01
493,2025-07-18
660,2025-07-22
665,2025-07-26
366,2018-07-19
367,2024-08-27
368,2025-06-07
369,2025-07-01
370,2025-06-01
371,2025-06-26
372,2017-07-21
373,2018-01-01
374,2021-07-01
375,2023-09-25
376,2015-06-20
377,2020-08-10
378,2024-02-27
379,2020-09-23
380,2022-06-19
381,2017-07-01
382,2025-06-20
383,2022-01-30
384,2023-01-01
385,2024-08-29
386,2023-06-14
387,2023-07-02
388,2018-04-06
389,2019-07-28
390,2023-09-01
391,2022-11-08
392,2023-08-18
393,2022-07-11
394,
395,2021-07-22
396,2023-11-11
397,2022-06-14
398,
661,2025-07-23
182,2025-07-29
399,2017-07-01
400,2022-07-01
401,2025-06-10
402,2025-06-09
403,2023-08-05
404,2022-09-01
405,2020-08-05
406,2025-01-20
407,2023-09-01
408,2020-09-29
409,2016-08-09
410,2022-07-16
411,2022-12-16
412,2025-01-21
413,2025-01-23
414,2016-12-05
415,2024-07-18
416,2017-07-01
417,2025-06-10
418,2023-08-24
420,2024-08-23
421,2019-07-04
422,2023-06-27
423,2025-02-03
424,2022-01-06
425,2024-01-25
426,2021-07-26
427,2025-06-10
428,2025-07-17
429,2022-07-04
430,2022-07-01
119,2025-07-21
431,2023-09-01
432,2023-07-20
433,
434,2021-07-02
435,2023-07-24
436,2024-08-13
437,2022-07-17
438,2024-08-13
439,2025-07-05
440,2018-06-08
441,2025-02-02
442,2019-08-05
443,2014-07-01
444,2024-07-19
445,2024-04-06
446,2022-09-07
447,2025-02-01
448,2022-07-05
449,2020-01-30
450,2025-06-01
451,2015-07-01
452,2021-01-07
453,2022-04-15
454,2022-09-01
455,2023-07-05
456,2021-07-23
457,2022-08-22
458,2022-10-15
459,2024-08-30
460,2023-07-01
461,
462,2024-07-12
463,2025-02-15
464,
465,2023-08-05
466,2024-07-17
467,2025-02-15
468,2024-04-12
681,2025-08-09
469,2022-06-23
471,2020-07-27
472,2024-07-01
473,2024-07-01
474,2018-07-26
475,2022-06-28
476,2022-01-31
477,2023-08-08
478,2022-01-07
479,2019-08-08
480,2014-08-04
481,2023-07-19
482,2023-01-31
483,
484,2022-07-01
485,2023-01-29
486,2025-07-11
487,2023-07-23
488,2022-01-30
489,2017-07-19
490,2019-07-24
491,2023-07-03
492,2025-07-01
494,2021-08-13
495,2016-07-11
496,2023-01-01
497,2023-02-01
