player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,total_completed_passes,total_attempted_passes,total_pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_completed_passes,short_attempted_passes,short_pass_completion_percentage,medium_completed_passes,medium_attempted_passes,medium_pass_completion_percentage,long_completed_passes,long_attempted_passes,long_pass_completion_percentage,assists,xAG,xA,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,gw
11.0,7,12,True,Eddie Nketiah,9,eng ENG,"FW,RW,RM",25-128,90,10,14,71.4,189,24,4,4,100.0,4,6,66.7,2,3,66.7,0,0.0,0.0,0,0,0,0,2,7
199.0,7,12,True,Eberechi Eze,10,eng ENG,"LW,LM",26-098,90,21,29,72.4,358,92,9,12,75.0,10,11,90.9,2,6,33.3,0,0.2,0.2,2,2,1,1,3,7
585.0,7,12,True,Ismaila Sarr,7,sn SEN,"RW,RM,RB",26-223,90,9,19,47.4,131,48,5,7,71.4,4,7,57.1,0,2,0.0,0,0.0,0.0,0,1,0,0,1,7
210.0,7,12,True,Tyrick Mitchell,3,eng ENG,LM,25-034,59,13,20,65.0,197,80,6,7,85.7,4,7,57.1,1,3,33.3,0,0.0,0.0,0,0,0,0,0,7
207.0,7,12,True,Jean-Philippe Mateta,14,fr FRA,FW,27-099,31,5,6,83.3,49,24,4,5,80.0,1,1,100.0,0,0,,0,0.3,0.1,3,0,1,0,1,7
206.0,7,12,True,Jefferson Lerma,8,co COL,"CM,DM",29-346,90,24,30,80.0,387,163,14,14,100.0,8,12,66.7,2,4,50.0,0,0.0,0.0,0,2,0,0,3,7
216.0,7,12,True,Adam Wharton,20,eng ENG,CM,20-125,59,17,22,77.3,319,75,7,8,87.5,8,9,88.9,2,4,50.0,0,0.0,0.0,0,2,1,0,2,7
203.0,7,12,True,Will Hughes,19,eng ENG,CM,29-171,31,10,16,62.5,179,101,3,6,50.0,7,9,77.8,0,0,,0,0.0,0.0,0,0,0,0,0,7
211.0,7,12,True,Daniel Muñoz,12,co COL,RM,28-132,16,0,2,0.0,0,0,0,1,0.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,7
196.0,7,12,True,Nathaniel Clyne,17,eng ENG,"RM,LM,LB",33-183,74,10,21,47.6,150,51,5,10,50.0,3,5,60.0,1,3,33.3,0,0.0,0.0,0,1,0,0,1,7
159.0,7,12,True,Trevoh Chalobah,27,eng ENG,CB,25-092,87,23,25,92.0,455,207,8,8,100.0,12,14,85.7,3,3,100.0,0,0.0,0.0,0,4,0,0,4,7
205.0,7,12,True,Daichi Kamada,18,jp JPN,CM,28-061,3,1,4,25.0,16,0,0,0,,1,2,50.0,0,1,0.0,0,0.0,0.0,0,0,0,0,0,7
200.0,7,12,True,Marc Guéhi,6,eng ENG,CB,24-084,90,38,49,77.6,798,458,9,13,69.2,23,23,100.0,6,12,50.0,0,0.0,0.0,0,2,0,0,5,7
650.0,7,12,True,Maxence Lacroix,5,fr FRA,CB,24-182,90,25,35,71.4,522,213,5,10,50.0,18,21,85.7,2,4,50.0,0,0.1,0.2,1,3,0,0,2,7
201.0,7,12,True,Dean Henderson,1,eng ENG,GK,27-207,90,15,33,45.5,270,144,7,7,100.0,4,4,100.0,3,21,14.3,0,0.0,0.0,0,0,0,0,0,7
317.0,12,7,False,Diogo Jota,20,pt POR,FW,27-306,90,16,26,61.5,166,17,11,15,73.3,4,5,80.0,0,1,0.0,0,0.0,0.1,0,0,0,0,0,7
321.0,12,7,False,Cody Gakpo,18,nl NED,LW,25-151,90,38,48,79.2,618,204,16,20,80.0,16,20,80.0,3,4,75.0,1,0.4,0.2,5,4,1,0,6,7
328.0,12,7,False,Mohamed Salah,11,eg EGY,RW,32-112,72,19,23,82.6,317,57,9,12,75.0,5,5,100.0,3,3,100.0,0,0.0,0.0,0,0,0,0,3,7
327.0,12,7,False,Luis Díaz,7,co COL,RW,27-266,18,7,10,70.0,145,29,4,6,66.7,2,2,100.0,1,1,100.0,0,0.0,0.0,1,1,0,0,1,7
324.0,12,7,False,Curtis Jones,17,eng ENG,"AM,DM",23-249,88,47,48,97.9,714,129,25,25,100.0,18,19,94.7,3,3,100.0,0,0.0,0.0,2,3,1,0,4,7
320.0,12,7,False,Wataru Endo,3,jp JPN,DM,31-239,2,5,6,83.3,60,18,2,2,100.0,2,3,66.7,0,0,,0,0.0,0.0,1,0,0,0,1,7
329.0,12,7,False,Alexis Mac Allister,10,ar ARG,DM,25-286,45,19,23,82.6,291,69,12,14,85.7,5,6,83.3,1,2,50.0,0,0.0,0.0,1,3,1,0,3,7
336.0,12,7,False,Dominik Szoboszlai,8,hu HUN,AM,23-346,45,25,32,78.1,337,57,16,19,84.2,6,7,85.7,1,2,50.0,0,0.0,0.1,1,2,1,0,3,7
323.0,12,7,False,Ryan Gravenberch,38,nl NED,DM,22-142,90,73,79,92.4,1146,273,40,42,95.2,30,33,90.9,2,3,66.7,0,0.2,0.4,2,6,1,0,7,7
337.0,12,7,False,Kostas Tsimikas,21,gr GRE,LB,28-146,78,77,88,87.5,1343,383,35,36,97.2,34,37,91.9,6,10,60.0,0,0.0,0.1,0,9,1,0,12,7
335.0,12,7,False,Andrew Robertson,26,sct SCO,LB,30-208,12,8,13,61.5,113,31,6,6,100.0,1,2,50.0,1,4,25.0,0,0.0,0.0,0,1,0,0,1,7
339.0,12,7,False,Virgil van Dijk,4,nl NED,CB,33-089,90,101,112,90.2,1995,863,32,32,100.0,56,59,94.9,12,14,85.7,0,0.2,0.1,1,8,1,0,6,7
326.0,12,7,False,Ibrahima Konaté,5,fr FRA,CB,25-133,90,58,60,96.7,1143,388,14,15,93.3,40,40,100.0,4,5,80.0,0,0.0,0.0,0,4,0,0,1,7
311.0,12,7,False,Trent Alexander-Arnold,66,eng ENG,RB,25-364,90,53,75,70.7,938,376,26,29,89.7,21,28,75.0,6,16,37.5,0,0.4,0.5,2,3,1,0,6,7
,12,7,False,Alisson,1,br BRA,GK,32-003,78,32,40,80.0,562,264,10,10,100.0,19,19,100.0,2,10,20.0,0,0.0,0.0,0,0,0,0,0,7
660.0,12,7,False,Vitezslav Jaros,56,cz CZE,GK,23-074,12,6,8,75.0,302,273,0,0,,1,1,100.0,5,7,71.4,0,0.0,0.0,0,2,0,0,0,7
106.0,4,20,True,Kevin Schade,7,de GER,FW,22-313,76,5,9,55.6,98,47,2,4,50.0,3,5,60.0,0,0,,0,0.0,0.0,0,1,0,0,1,7
314.0,4,20,True,Fabio Carvalho,14,pt POR,LW,22-036,14,5,8,62.5,64,17,5,6,83.3,0,1,0.0,0,0,,0,0.0,0.0,0,1,0,0,0,7
98.0,4,20,True,Keane Lewis-Potter,23,eng ENG,"LW,RW",23-226,90,22,31,71.0,463,65,11,11,100.0,5,8,62.5,5,6,83.3,0,0.4,0.4,2,1,1,0,3,7
99.0,4,20,True,Bryan Mbeumo,19,cm CMR,"RW,FW",25-059,90,28,35,80.0,529,185,10,11,90.9,16,19,84.2,2,5,40.0,0,0.4,0.3,3,3,0,0,6,7
89.0,4,20,True,Mikkel Damsgaard,24,dk DEN,"AM,RM",24-094,89,28,39,71.8,642,271,10,15,66.7,11,13,84.6,7,10,70.0,2,1.2,0.7,6,4,3,1,6,7
97.0,4,20,True,Yunus Emre Konak,26,tr TUR,RM,18-269,1,1,1,100.0,11,7,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,1,7
101.0,4,20,True,Christian Nørgaard,6,dk DEN,DM,30-209,76,25,33,75.8,397,117,14,14,100.0,11,15,73.3,0,3,0.0,0,0.0,0.0,0,2,0,0,1,7
111.0,4,20,True,Yehor Yarmoliuk,18,ua UKR,LM,20-218,14,8,10,80.0,148,58,3,5,60.0,4,4,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,2,7
94.0,4,20,True,Vitaly Janelt,27,de GER,"DM,CM",26-148,90,28,34,82.4,543,239,16,17,94.1,7,8,87.5,5,8,62.5,1,0.5,0.2,2,6,4,2,5,7
86.0,4,20,True,Kristoffer Ajer,20,no NOR,LB,26-171,89,21,29,72.4,347,182,13,14,92.9,7,13,53.8,1,1,100.0,0,0.0,0.0,0,0,0,0,2,7
105.0,4,20,True,Mads Roerslev,30,dk DEN,LB,25-103,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,7
104.0,4,20,True,Ethan Pinnock,5,jm JAM,CB,31-129,90,25,35,71.4,430,161,11,14,78.6,13,15,86.7,1,4,25.0,0,0.0,0.0,0,0,0,0,0,7
88.0,4,20,True,Nathan Collins,22,ie IRL,CB,23-158,90,46,60,76.7,847,320,16,22,72.7,27,31,87.1,3,7,42.9,0,0.0,0.2,0,3,1,1,2,7
338.0,4,20,True,Sepp van den Berg,4,nl NED,RB,22-290,90,32,40,80.0,472,150,21,24,87.5,9,14,64.3,2,2,100.0,0,0.0,0.0,1,3,0,0,6,7
91.0,4,20,True,Mark Flekken,1,nl NED,GK,31-114,90,34,46,73.9,1111,813,2,2,100.0,22,23,95.7,10,20,50.0,0,0.0,0.0,0,1,0,0,0,7
566.0,20,4,False,Jørgen Strand Larsen,9,no NOR,FW,24-242,90,7,13,53.8,81,13,5,8,62.5,2,4,50.0,0,0,,0,0.0,0.0,0,0,0,0,0,7
784.0,20,4,False,Matheus Cunha,10,br BRA,LM,25-131,90,28,44,63.6,439,143,16,18,88.9,9,11,81.8,2,11,18.2,0,0.2,0.3,1,3,5,0,8,7
553.0,20,4,False,João Gomes,8,br BRA,CM,23-236,76,34,44,77.3,435,82,23,26,88.5,8,12,66.7,1,2,50.0,0,0.0,0.0,1,6,0,0,4,7
535.0,20,4,False,Jean-Ricner Bellegarde,27,fr FRA,CM,26-100,14,3,6,50.0,47,0,2,2,100.0,1,3,33.3,0,0,,1,0.1,0.0,1,0,0,0,0,7
557.0,20,4,False,Mario Lemina,5,ga GAB,CM,31-034,90,28,36,77.8,412,77,17,21,81.0,9,13,69.2,1,1,100.0,0,0.0,0.0,1,4,0,0,4,7
655.0,20,4,False,Carlos Forbs,26,pt POR,RM,20-200,67,16,20,80.0,255,147,8,11,72.7,7,7,100.0,1,1,100.0,0,0.0,0.1,1,0,3,1,4,7
548.0,20,4,False,Gonçalo Guedes,29,pt POR,RM,27-311,23,8,10,80.0,114,31,4,4,100.0,4,5,80.0,0,1,0.0,0,0.1,0.1,2,0,1,1,1,7
642.0,20,4,False,André,7,br BRA,DM,23-081,56,35,38,92.1,662,101,14,14,100.0,18,19,94.7,3,5,60.0,0,0.0,0.0,2,3,0,0,2,7
550.0,20,4,False,Hwang Hee-chan,11,kr KOR,DM,28-253,34,7,9,77.8,96,10,3,4,75.0,3,3,100.0,0,0,,0,0.0,0.0,0,0,0,0,0,7
533.0,20,4,False,Rayan Aït-Nouri,3,dz ALG,LB,23-121,90,48,61,78.7,731,185,26,30,86.7,20,23,87.0,0,3,0.0,1,0.3,0.2,4,2,2,2,4,7
