player_id,team_id,opponent_team_id,was_home,player_name,player_number,nation,pos,age,minutes,total_completed_passes,total_attempted_passes,total_pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_completed_passes,short_attempted_passes,short_pass_completion_percentage,medium_completed_passes,medium_attempted_passes,medium_pass_completion_percentage,long_completed_passes,long_attempted_passes,long_pass_completion_percentage,assists,xAG,xA,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,gw
82,18,19,True,Dominic Solanke,19,eng ENG,FW,27-035,80,9,12,75.0,103,30,8,9,88.9,1,2,50.0,0,0,,0,0.1,0.0,1,1,1,0,2,8
497,18,19,True,Richarlison,9,br BRA,FW,27-162,10,2,4,50.0,39,18,0,0,,2,3,66.7,0,0,,0,0.0,0.0,0,2,0,0,2,8
503,18,19,True,Son Heung-min,7,kr KOR,LW,32-103,70,26,34,76.5,370,137,14,19,73.7,10,11,90.9,0,1,0.0,0,0.1,0.1,2,2,3,0,8,8
509,18,19,True,Timo Werner,16,de GER,LW,28-227,20,2,5,40.0,26,0,2,4,50.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,8
491,18,19,True,Brennan Johnson,22,wls WAL,RW,23-149,90,15,18,83.3,196,70,9,10,90.0,5,6,83.3,0,0,,0,0.0,0.0,2,0,1,0,2,8
494,18,19,True,James Maddison,10,eng ENG,LM,27-331,45,34,42,81.0,512,153,16,17,94.1,17,18,94.4,1,6,16.7,1,0.5,0.6,5,5,2,0,5,8
499,18,19,True,Pape Matar Sarr,29,sn SEN,LM,22-035,45,19,19,100.0,410,105,4,4,100.0,12,12,100.0,3,3,100.0,1,0.1,0.0,1,3,0,0,4,8
482,18,19,True,Yves Bissouma,8,ml MLI,CM,28-050,80,37,40,92.5,508,120,24,24,100.0,11,11,100.0,1,3,33.3,0,0.0,0.0,1,4,1,0,7,8
480,18,19,True,Rodrigo Bentancur,30,uy URU,CM,27-116,10,12,12,100.0,191,34,6,6,100.0,6,6,100.0,0,0,,0,0.0,0.0,0,3,0,0,2,8
492,18,19,True,Dejan Kulusevski,21,se SWE,RM,24-177,90,29,36,80.6,362,62,21,25,84.0,5,5,100.0,1,2,50.0,0,0.1,0.1,2,4,2,0,6,8
505,18,19,True,Destiny Udogie,13,it ITA,LB,21-326,87,36,41,87.8,567,115,19,21,90.5,16,17,94.1,1,1,100.0,1,0.7,0.5,3,2,1,0,5,8
489,18,19,True,Archie Gray,14,eng ENG,LB,18-221,3,11,13,84.6,150,29,7,9,77.8,4,4,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,8
