player_id,minutes,in_starting_xi,was_home,goals_scored,assists,goals_conceded,clean_sheets,xG,xA,xGC,xGI,total_points,gameweek,oppeonent_team_id,fixture,value
1,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,25,11,245,54
2,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,25,11,245,66
3,90,1,False,0,0,0,1,0.00,0.04,0.22,0.04,6,25,11,245,63
4,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,25,11,245,78
5,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,25,11,245,40
6,90,1,False,0,0,0,1,0.00,0.03,0.22,0.03,6,25,11,245,56
7,15,0,False,0,0,0,0,0.00,0.00,0.05,0.00,0,25,11,245,47
8,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,25,11,245,48
9,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,25,11,245,66
10,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,25,16,244,50
11,4,0,True,0,0,0,0,0.08,0.00,0.00,0.08,1,25,8,243,59
12,90,1,False,0,1,0,1,0.18,0.57,0.22,0.75,9,25,11,245,45
13,90,1,False,0,0,0,1,0.05,0.73,0.22,0.78,3,25,11,245,82
14,90,1,True,0,0,3,0,0.00,0.00,1.20,0.00,2,25,3,248,44
15,90,1,False,0,0,0,1,0.00,0.00,0.22,0.00,7,25,11,245,55
16,90,1,False,0,0,0,1,0.12,0.02,0.22,0.14,3,25,11,245,62
17,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,25,11,245,102
18,90,1,False,0,0,0,1,0.00,0.01,0.22,0.01,6,25,11,245,62
19,81,1,True,1,0,1,0,0.56,0.03,0.39,0.59,9,25,16,244,52
20,74,1,False,0,0,0,1,0.04,0.04,0.17,0.08,3,25,11,245,49
21,1,0,False,0,0,0,0,0.00,0.00,0.05,0.00,1,25,11,245,43
22,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,25,11,245,48
23,88,1,False,0,1,0,1,0.22,0.20,0.17,0.42,6,25,11,245,68
24,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,25,11,245,61
25,0,0,False,0,0,0,0,0.00,0.00,0.00,0.00,0,25,11,245,48
