player_id,minutes,in_starting_xi,was_home,goals_scored,assists,goals_conceded,clean_sheets,xG,xA,xGC,xGI,total_points,gameweek,opponent_team_id,fixture,value
1,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,12,81,54
2,5,0,True,0,0,0,0,0.18,0.00,0.00,0.18,0,9,12,81,68
3,53,1,True,0,0,1,0,0.00,0.00,0.39,0.00,1,9,12,81,63
4,90,1,True,0,0,2,0,0.17,0.47,0.85,0.64,2,9,12,81,82
5,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,12,81,40
6,75,1,True,0,0,1,0,0.00,0.02,0.54,0.02,2,9,12,81,55
7,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,12,81,48
8,36,0,True,0,0,1,0,0.00,0.00,0.45,0.00,1,9,12,81,48
9,84,1,True,0,0,2,0,0.06,0.39,0.85,0.45,2,9,12,81,70
10,22,0,False,0,0,1,0,0.00,0.04,0.45,0.04,1,9,8,87,50
11,23,0,True,0,0,0,0,0.00,0.01,0.04,0.01,1,9,18,86,59
12,5,0,True,0,0,0,0,0.00,0.00,0.00,0.00,1,9,12,81,45
13,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,12,81,82
14,90,1,False,0,0,1,0,0.00,0.00,2.95,0.00,4,9,13,89,44
15,90,1,True,0,0,2,0,0.00,0.00,0.85,0.00,0,9,12,81,57
16,90,1,True,0,1,2,0,0.00,0.20,0.85,0.20,5,9,12,81,63
17,84,1,True,1,0,2,0,0.23,0.01,0.85,0.24,9,9,12,81,100
18,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,12,81,60
19,78,1,False,0,1,0,1,0.34,0.02,0.34,0.36,6,9,8,87,57
20,90,1,True,0,0,2,0,0.00,0.02,0.85,0.02,2,9,12,81,50
21,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,12,81,43
22,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,12,81,48
23,90,1,True,0,0,2,0,0.00,0.04,0.85,0.04,2,9,12,81,69
24,90,1,True,0,1,2,0,0.00,0.01,0.85,0.01,4,9,12,81,63
25,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,12,81,48
26,71,1,False,0,0,1,0,0.00,0.02,0.70,0.02,1,9,11,88,44
27,86,1,False,0,0,1,0,0.10,0.05,2.42,0.15,2,9,13,89,50
28,19,0,True,0,1,1,0,0.00,0.16,0.12,0.16,4,9,3,82,63
29,45,0,True,1,0,1,0,0.52,0.01,0.12,0.53,5,9,3,82,52
30,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,3,82,49
31,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,3,82,53
32,90,1,True,0,0,1,0,0.00,0.14,0.31,0.14,1,9,3,82,44
33,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,3,82,45
34,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,3,82,65
35,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,3,82,45
36,70,1,True,0,0,0,1,0.00,0.41,0.18,0.41,7,9,3,82,46
37,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,3,82,50
38,33,0,True,0,0,1,0,0.29,0.00,0.12,0.29,1,9,3,82,62
39,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,3,82,40
40,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,3,82,40
41,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,3,82,54
42,8,0,True,0,0,1,0,0.00,0.00,0.10,0.00,1,9,3,82,50
43,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,3,82,40
44,90,1,True,0,0,1,0,0.07,0.11,0.31,0.18,2,9,3,82,45
45,19,0,True,0,0,1,0,0.00,0.04,0.12,0.04,1,9,3,82,48
46,0,0,True,0,0,0,0,0.00,0.00,0.00,0.00,0,9,3,82,40
47,90,1,True,0,0,1,0,0.00,0.00,0.31,0.00,2,9,3,82,50
