id,first_name,second_name,web_name,team,full_name
1,fabio,ferreira vieira,fabio vieira,1,fabio ferreira vieira
2,gabriel,fernando de jesus,gjesus,1,gabriel fernando de jesus
3,gabriel,dos santos magalhaes,gabriel,1,gabriel dos santos magalhaes
4,kai,havertz,havertz,1,kai havertz
5,karl,hein,hein,1,karl hein
6,jurrien,timber,jtimber,1,jurrien timber
7,jorge luiz,frello filho,jorginho,1,jorge luiz frello filho
8,jakub,kiwior,kiwior,1,jakub kiwior
9,gabriel,martinelli silva,martinelli,1,gabriel martinelli silva
12,ethan,nwaneri,nwaneri,1,ethan nwaneri
13,martin,odegaard,odegaard,1,martin odegaard
15,david,raya martin,raya,1,david raya martin
16,declan,rice,rice,1,declan rice
17,bukayo,saka,saka,1,bukayo saka
18,william,saliba,saliba,1,william saliba
20,thomas,partey,thomas,1,thomas partey
21,kieran,tierney,tierney,1,kieran tierney
22,tomiyasu,takehiro,tomiyasu,1,tomiyasu takehiro
23,leandro,trossard,trossard,1,leandro trossard
24,benjamin,white,white,1,benjamin white
25,oleksandr,zinchenko,zinchenko,1,oleksandr zinchenko
73,norberto,murara neto,neto,1,norberto murara neto
186,raheem,sterling,sterling,1,raheem sterling
578,riccardo,calafiori,calafiori,1,riccardo calafiori
597,myles,lewis-skelly,lewis-skelly,1,myles lewis-skelly
633,mikel,merino,merino,1,mikel merino
638,salah-eddine,oulad mhand,oulad mhand,1,salah-eddine oulad mhand
639,tommy,setford,setford,1,tommy setford
657,maldini,kacurri,kacurri,1,maldini kacurri
659,ismeal,kabia,kabia,1,ismeal kabia
662,josh,nichols,nichols,1,josh nichols
665,nathan,butler-oyedeji,butler-oyedeji,1,nathan butler-oyedeji
735,mikel,arteta,arteta,1,mikel arteta
756,jack,porter,porter,1,jack porter
790,jimi,gower,gower,1,jimi gower
793,jack,henry-francis,jack henry-francis,1,jack henry-francis
801,brayden,clarke,clarke,1,brayden clarke
28,leon,bailey,bailey,2,leon bailey
29,ross,barkley,barkley,2,ross barkley
30,enzo,barrenechea,barrenechea,2,enzo barrenechea
31,emiliano,buendia stati,buendia,2,emiliano buendia stati
32,matty,cash,cash,2,matty cash
33,leander,dendoncker,dendoncker,2,leander dendoncker
34,moussa,diaby,diaby,2,moussa diaby
35,diego carlos,santos silva,diego carlos,2,diego carlos santos silva
36,lucas,digne,digne,2,lucas digne
37,lewis,dobbin,dobbin,2,lewis dobbin
38,jhon,duran,duran,2,jhon duran
39,joe,gauci,gauci,2,joe gauci
40,kortney,hause,hause,2,kortney hause
41,samuel,iling-junior,iling jr,2,samuel iling-junior
42,boubacar,kamara,kamara,2,boubacar kamara
43,kaine,kesler-hayden,kesler-hayden,2,kaine kesler-hayden
44,ezri,konsa ngoyo,konsa,2,ezri konsa ngoyo
45,ian,maatsen,maatsen,2,ian maatsen
46,filip,marschall,marschall,2,filip marschall
47,emiliano,martinez romero,martinez,2,emiliano martinez romero
48,john,mcginn,mcginn,2,john mcginn
49,tyrone,mings,mings,2,tyrone mings
50,kosta,nedeljkovic,nedeljkovic,2,kosta nedeljkovic
51,robin,olsen,olsen,2,robin olsen
52,pau,torres,pau,2,pau torres
53,jacob,ramsey,ramsey,2,jacob ramsey
54,morgan,rogers,rogers,2,morgan rogers
55,viljami,sinisalo,sinisalo,2,viljami sinisalo
56,lino,da cruz sousa,sousa,2,lino da cruz sousa
57,youri,tielemans,tielemans,2,youri tielemans
58,ollie,watkins,watkins,2,ollie watkins
167,axel,disasi,disasi,2,axel disasi
233,amadou,onana,onana,2,amadou onana
385,marcus,rashford,rashford,2,marcus rashford
598,lamare,bogarde,bogarde,2,lamare bogarde
640,sil,swinkels,swinkels,2,sil swinkels
641,oliwier,zych,zych,2,oliwier zych
656,kadan,young,young,2,kadan young
679,ben,broggio,broggio,2,ben broggio
710,jamaldeen,jimoh,jimoh,2,jamaldeen jimoh
725,donyell,malen,malen,2,donyell malen
731,andres,garcia,a garcia,2,andres garcia
737,unai,emery,emery,2,unai emery
762,marco,asensio,masensio,2,marco asensio
59,max,aarons,aarons,3,max aarons
60,tyler,adams,adams,3,tyler adams
61,jaidon,anthony,anthony,3,jaidon anthony
62,david,brooks,brooks,3,david brooks
63,ryan,christie,christie,3,ryan christie
64,lewis,cook,cook,3,lewis cook
65,enes,unal,enes unal,3,enes unal
66,romain,faivre,faivre,3,romain faivre
67,hamed,traore,htraore,3,hamed traore
68,james,hill,hill,3,james hill
69,daniel,jebbison,jebbison,3,daniel jebbison
70,milos,kerkez,kerkez,3,milos kerkez
71,justin,kluivert,kluivert,3,justin kluivert
72,chris,mepham,mepham,3,chris mepham
74,dango,ouattara,odango,3,dango ouattara
75,alex,paulsen,paulsen,3,alex paulsen
76,philip,billing,philip,3,philip billing
77,alex,scott,scott,3,alex scott
78,antoine,semenyo,semenyo,3,antoine semenyo
79,marcos,senesi,senesi,3,marcos senesi
80,luis,sinisterra,sinisterra,3,luis sinisterra
81,adam,smith,smith,3,adam smith
83,marcus,tavernier,tavernier,3,marcus tavernier
84,mark,travers,travers,3,mark travers
85,illia,zabarnyi,zabarnyi,3,illia zabarnyi
152,kepa,arrizabalaga,arrizabalaga,3,kepa arrizabalaga
580,dean,huijsen,huijsen,3,dean huijsen
592,julian,araujo zuniga,jaraujo,3,julian araujo zuniga
599,will,dennis,dennis,3,will dennis
617,francisco evanilson,de lima barbosa,evanilson,3,francisco evanilson de lima barbosa
680,max,kinsey,kinsey,3,max kinsey
687,ben,winterburn,winterburn,3,ben winterburn
702,archie,harris,harris,3,archie harris
707,remy,rees-dottin,rees-dottin,3,remy rees-dottin
712,matai,akinmboni,akinmboni,3,matai akinmboni
713,julio,soler,soler,3,julio soler
722,daniel,adu-adjei,adu-adjei,3,daniel adu-adjei
723,dominic,sadi,sadi,3,dominic sadi
727,callan,mckenna,mckenna,3,callan mckenna
728,zain,silcott-duberry,silcott-duberry,3,zain silcott-duberry
738,andoni,iraola,iraola,3,andoni iraola
86,kristoffer,ajer,ajer,4,kristoffer ajer
87,ethan,brierley,brierley,4,ethan brierley
88,nathan,collins,collins,4,nathan collins
89,mikkel,damsgaard,damsgaard,4,mikkel damsgaard
90,josh,dasilva,dasilva,4,josh dasilva
91,mark,flekken,flekken,4,mark flekken
92,rico,henry,henry,4,rico henry
93,aaron,hickey,hickey,4,aaron hickey
94,vitaly,janelt,janelt,4,vitaly janelt
95,mathias,jensen,jensen,4,mathias jensen
96,kim,ji-soo,ji-soo,4,kim ji-soo
97,yunus emre,konak,konak,4,yunus emre konak
98,keane,lewis-potter,lewis-potter,4,keane lewis-potter
99,bryan,mbeumo,mbeumo,4,bryan mbeumo
100,ben,mee,mee,4,ben mee
101,christian,norgaard,norgaard,4,christian norgaard
102,frank,onyeka,onyeka,4,frank onyeka
103,myles,peart-harris,peart-harris,4,myles peart-harris
104,ethan,pinnock,pinnock,4,ethan pinnock
105,mads,roerslev rasmussen,roerslev,4,mads roerslev rasmussen
106,kevin,schade,schade,4,kevin schade
107,igor thiago,nascimento rodrigues,thiago,4,igor thiago nascimento rodrigues
108,ivan,toney,toney,4,ivan toney
109,hakon,valdimarsson,valdimarsson,4,hakon valdimarsson
110,yoane,wissa,wissa,4,yoane wissa
111,yehor,yarmoliuk,yarmoliuk,4,yehor yarmoliuk
112,mathias,jorgensen,zanka,4,mathias jorgensen
314,fabio,freitas gouveia carvalho,carvalho,4,fabio freitas gouveia carvalho
338,sepp,van den berg,van den berg,4,sepp van den berg
602,ryan,trevitt,trevitt,4,ryan trevitt
634,gustavo,nunes fernandes gomes,gnunes,4,gustavo nunes fernandes gomes
649,jayden,meghoma,meghoma,4,jayden meghoma
661,tony,yogane,yogane,4,tony yogane
674,paris,maghoma,maghoma,4,paris maghoma
705,benjamin,arthur,arthur,4,benjamin arthur
752,thomas,frank,frank,4,thomas frank
757,michael,kayode,kayode,4,michael kayode
759,julian,eyestone,eyestone,4,julian eyestone
780,iwan,morgan,morgan,4,iwan morgan
786,benjamin,fredrick,benjamin fredrick,4,benjamin fredrick
113,simon,adingra,adingra,5,simon adingra
114,benicio,baker-boaitey,baker-boaitey,5,benicio baker-boaitey
115,carlos,baleba,baleba,5,carlos baleba
116,valentin,barco,barco,5,valentin barco
118,amario,cozier-duberry,cozier-duberry,5,amario cozier-duberry
119,mahmoud,dahoud,dahoud,5,mahmoud dahoud
120,lewis,dunk,dunk,5,lewis dunk
122,pervis,estupinan,estupinan,5,pervis estupinan
124,billy,gilmour,gilmour,5,billy gilmour
125,pascal,gross,gross,5,pascal gross
126,jack,hinshelwood,hinshelwood,5,jack hinshelwood
127,ibrahim,osman,iosman,5,ibrahim osman
128,igor julio,dos santos de paulo,igor,5,igor julio dos santos de paulo
129,joao pedro,junqueira de jesus,joao pedro,5,joao pedro junqueira de jesus
130,kacper,kozlowski,kozlowski,5,kacper kozlowski
131,tariq,lamptey,lamptey,5,tariq lamptey
132,solly,march,march,5,solly march
133,adrian,mazilu,mazilu,5,adrian mazilu
134,james,milner,milner,5,james milner
135,yankuba,minteh,minteh,5,yankuba minteh
136,mitoma,kaoru,mitoma,5,mitoma kaoru
137,jakub,moder,moder,5,jakub moder
138,mark,omahony,omahony,5,mark omahony
139,odeluga,offiah,offiah,5,odeluga offiah
140,cameron,peupion,peupion,5,cameron peupion
141,jeremy,sarmiento morante,sarmiento,5,jeremy sarmiento morante
142,jason,steele,steele,5,jason steele
143,deniz,undav,undav,5,deniz undav
144,jan paul,van hecke,van hecke,5,jan paul van hecke
145,joel,veltman,veltman,5,joel veltman
146,bart,verbruggen,verbruggen,5,bart verbruggen
147,adam,webster,webster,5,adam webster
148,danny,welbeck,welbeck,5,danny welbeck
149,mats,wieffer,wieffer,5,mats wieffer
595,brajan,gruda,gruda,5,brajan gruda
600,yasin,ayari,ayari,5,yasin ayari
601,andrew,moran,moran,5,andrew moran
615,carl,rushworth,rushworth,5,carl rushworth
618,georginio,rutter,georginio,5,georginio rutter
628,ferdi,kadioglu,fkadioglu,5,ferdi kadioglu
629,matt,oriley,oriley,5,matt oriley
663,imari,samuels,samuels,5,imari samuels
668,killian,cahill,cahill,5,killian cahill
681,ruairi,mcconville,mcconville,5,ruairi mcconville
685,jacob,slater,slater,5,jacob slater
714,diego,gomez,gomez,5,diego gomez
739,fabian,hurzeler,hurzeler,5,fabian hurzeler
758,joe,knight,knight,5,joe knight
763,eiran,cashin,cashin,5,eiran cashin
791,charlie,tasker,charlie tasker,5,charlie tasker
794,freddie,simmonds,freddie simmonds,5,freddie simmonds
795,harry,howell,harry howell,5,harry howell
150,andrey,nascimento dos santos,andrey santos,6,andrey nascimento dos santos
151,angelo gabriel,borges damaceno,angelo,6,angelo gabriel borges damaceno
153,benoit,badiashile,bbadiashile,6,benoit badiashile
154,lucas,bergstrom,bergstrom,6,lucas bergstrom
155,marcus,bettinelli,bettinelli,6,marcus bettinelli
157,moises,caicedo corozo,caicedo,6,moises caicedo corozo
158,cesare,casadei,casadei,6,cesare casadei
159,trevoh,chalobah,chalobah,6,trevoh chalobah
161,carney,chukwuemeka,chukwuemeka,6,carney chukwuemeka
162,levi,colwill,colwill,6,levi colwill
163,marc,cucurella saseta,cucurella,6,marc cucurella saseta
164,david datro,fofana,ddfofana,6,david datro fofana
165,deivid washington,de souza eugenio,deivid,6,deivid washington de souza eugenio
166,kiernan,dewsbury-hall,dewsbury-hall,6,kiernan dewsbury-hall
168,enzo,fernandez,enzo,6,enzo fernandez
169,conor,gallagher,gallagher,6,conor gallagher
170,alfie,gilchrist,gilchrist,6,alfie gilchrist
171,malo,gusto,gusto,6,malo gusto
172,reece,james,james,6,reece james
173,omari,kellyman,kellyman,6,omari kellyman
174,romeo,lavia,lavia,6,romeo lavia
175,romelu,lukaku bolingoli,lukaku,6,romelu lukaku bolingoli
176,malang,sarr,msarr,6,malang sarr
177,noni,madueke,madueke,6,noni madueke
178,marc,guiu paz,marc guiu,6,marc guiu paz
179,mykhailo,mudryk,mudryk,6,mykhailo mudryk
180,nicolas,jackson,njackson,6,nicolas jackson
181,christopher,nkunku,nkunku,6,christopher nkunku
182,cole,palmer,palmer,6,cole palmer
183,dorde,petrovic,petrovic,6,dorde petrovic
184,renato,palma veiga,renato veiga,6,renato palma veiga
185,robert,sanchez,sanchez,6,robert sanchez
187,tosin,adarabioyo,tosin,6,tosin adarabioyo
189,wesley,fofana,wfofana,6,wesley fofana
386,jadon,sancho,sancho,6,jadon sancho
560,pedro,lomba neto,neto,6,pedro lomba neto
575,caleb,wiley,wiley,6,caleb wiley
581,filip,jorgensen,jorgensen,6,filip jorgensen
621,joao,felix sequeira,joao felix,6,joao felix sequeira
695,samuel,rak-sakyi,rak-sakyi,6,samuel rak-sakyi
696,tyrique,george,george,6,tyrique george
697,josh,acheampong,acheampong,6,josh acheampong
740,enzo,maresca,maresca,6,enzo maresca
771,mathis,amougou,amougou,6,mathis amougou
774,aaron,anselmino,anselmino,6,aaron anselmino
781,shumaira,mheuka,mheuka,6,shumaira mheuka
782,ishe,samuels-smith,samuels-smith,6,ishe samuels-smith
787,genesis,antwi,genesis antwi,6,genesis antwi
11,eddie,nketiah,nketiah,7,eddie nketiah
160,ben,chilwell,chilwell,7,ben chilwell
190,naouirou,ahamada,ahamada,7,naouirou ahamada
193,cheick,doucoure,cdoucoure,7,cheick doucoure
194,chris,richards,crichards,7,chris richards
195,chadi,riad dnanou,chadi riad,7,chadi riad dnanou
196,nathaniel,clyne,clyne,7,nathaniel clyne
197,malcolm,ebiowei,ebiowei,7,malcolm ebiowei
199,eberechi,eze,eze,7,eberechi eze
200,marc,guehi,guehi,7,marc guehi
201,dean,henderson,henderson,7,dean henderson
202,rob,holding,holding,7,rob holding
203,will,hughes,hughes,7,will hughes
205,daichi,kamada,kamada,7,daichi kamada
206,jefferson,lerma solis,lerma,7,jefferson lerma solis
207,jean-philippe,mateta,mateta,7,jean-philippe mateta
208,matheus,franca de oliveira,mfranca,7,matheus franca de oliveira
209,remi,matthews,matthews,7,remi matthews
210,tyrick,mitchell,mitchell,7,tyrick mitchell
211,daniel,munoz,munoz,7,daniel munoz
212,david,ozoh,ozoh,7,david ozoh
213,jesurun,rak-sakyi,rak-sakyi,7,jesurun rak-sakyi
214,jeffrey,schlupp,schlupp,7,jeffrey schlupp
215,joel,ward,ward,7,joel ward
216,adam,wharton,wharton,7,adam wharton
445,matt,turner,turner,7,matt turner
585,ismaila,sarr,isarr,7,ismaila sarr
644,franco,umeh-chibueze,umeh-chibueze,7,franco umeh-chibueze
645,justin,devenny,devenny,7,justin devenny
646,asher,agbinone,agbinone,7,asher agbinone
647,kaden,rodney,rodney,7,kaden rodney
650,maxence,lacroix,lacroix,7,maxence lacroix
666,caleb,kporha,kporha,7,caleb kporha
676,zach,marsh,marsh,7,zach marsh
730,romain,esse,esse,7,romain esse
741,oliver,glasner,glasner,7,oliver glasner
156,armando,broja,broja,8,armando broja
217,abdoulaye,doucoure,adoucoure,8,abdoulaye doucoure
218,norberto bercique,gomes betuncal,beto,8,norberto bercique gomes betuncal
219,jarrad,branthwaite,branthwaite,8,jarrad branthwaite
220,dominic,calvert-lewin,calvert-lewin,8,dominic calvert-lewin
221,seamus,coleman,coleman,8,seamus coleman
222,idrissa,gueye,gana,8,idrissa gueye
223,james,garner,garner,8,james garner
224,jack,harrison,harrison,8,jack harrison
225,mason,holgate,holgate,8,mason holgate
226,tim,iroegbunam,iroegbunam,8,tim iroegbunam
227,joao,neves virginia,jvirginia,8,joao neves virginia
228,michael,keane,keane,8,michael keane
229,neal,maupay,maupay,8,neal maupay
230,dwight,mcneil,mcneil,8,dwight mcneil
231,vitalii,mykolenko,mykolenko,8,vitalii mykolenko
232,iliman,ndiaye,ndiaye,8,iliman ndiaye
234,nathan,patterson,patterson,8,nathan patterson
235,jordan,pickford,pickford,8,jordan pickford
236,james,tarkowski,tarkowski,8,james tarkowski
237,youssef,ramalho chermiti,y chermiti,8,youssef ramalho chermiti
238,ashley,young,young,8,ashley young
450,carlos,alcaraz duran,alcaraz,8,carlos alcaraz duran
577,jesper,lindstrom,lindstrom,8,jesper lindstrom
582,jake,obrien,obrien,8,jake obrien
603,harrison,armstrong,armstrong,8,harrison armstrong
614,jenson,metcalfe,metcalfe,8,jenson metcalfe
624,asmir,begovic,begovic,8,asmir begovic
627,roman,dixon,dixon,8,roman dixon
651,orel,mangala,mangala,8,orel mangala
678,callum,bates,bates,8,callum bates
724,martin,sherif,sherif,8,martin sherif
742,david,moyes,moyes,8,david moyes
773,isaac,heath,heath,8,isaac heath
775,coby,ebere,coby ebere,8,coby ebere
10,reiss,nelson,nelson,9,reiss nelson
19,emile,smith rowe,smith rowe,9,emile smith rowe
191,joachim,andersen,andersen,9,joachim andersen
