player_id,web_name,team_id,element_type,points_per_game,total_points,minutes,starts,goals_scored,assists,yellow_cards,red_cards,clean_sheets,goals_conceded,saves,bps,penalties_saved,penalties_missed,own_goals,goals_conceded_per_90,xG,xA,xGC,xGI,xG_per90,xA_per90,xGC_per90,xGI_per90
1,fabio vieira,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,gjesus,1,4,2.5,42,600,6,3,2,4,0,2,5,0,152,0,0,0,0.75,3.05,0.52,5.82,3.57,0.46,0.08,0.87,0.54
3,gabriel,1,2,4.2,117,2363,28,3,2,4,0,10,22,0,459,0,0,0,0.84,2.7,1.21,23.09,3.91,0.1,0.05,0.88,0.15
4,havertz,1,4,4.2,97,1872,21,9,3,5,0,7,20,0,343,0,0,0,0.96,9.53,1.65,19.32,11.18,0.46,0.08,0.93,0.54
5,hein,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,jtimber,1,2,3.8,114,2415,27,1,3,7,0,11,21,0,426,0,0,0,0.78,1.23,1.3,21.09,2.53,0.05,0.05,0.79,0.1
7,jorginho,1,3,1.3,20,701,9,0,0,5,0,2,7,0,112,0,0,0,0.9,0.06,0.59,6.05,0.65,0.01,0.08,0.78,0.09
8,kiwior,1,2,2.5,43,1117,10,1,0,1,0,3,15,0,178,0,0,0,1.21,0.17,0.29,14.71,0.46,0.01,0.02,1.19,0.03
9,martinelli,1,3,3.8,125,2284,25,8,4,1,0,10,25,0,422,0,0,0,0.99,7.13,4.46,26.22,11.59,0.28,0.18,1.03,0.46
12,nwaneri,1,3,2.5,66,882,11,4,2,1,0,4,4,0,251,0,0,0,0.41,1.19,1.78,5.38,2.97,0.12,0.18,0.55,0.3
13,odegaard,1,3,3.9,116,2321,26,3,9,4,0,11,21,0,529,0,0,0,0.81,4.85,6.68,22.16,11.53,0.19,0.26,0.86,0.45
15,raya,1,1,3.7,142,3420,38,0,0,3,0,13,34,86,555,0,0,0,0.89,0.0,0.03,35.03,0.03,0.0,0.0,0.92,0.0
16,rice,1,3,3.6,127,2823,33,4,7,5,1,11,29,0,627,0,0,0,0.92,3.51,5.64,27.13,9.14,0.11,0.18,0.86,0.29
17,saka,1,3,5.1,127,1724,20,6,11,3,0,7,21,0,508,0,0,0,1.1,6.87,7.78,17.72,14.65,0.36,0.41,0.93,0.77
18,saliba,1,2,3.7,130,3039,35,2,0,2,1,12,29,0,564,0,0,0,0.86,2.42,1.28,30.32,3.7,0.07,0.04,0.9,0.11
20,thomas,1,3,3.1,108,2793,31,4,3,4,0,9,30,0,567,0,0,0,0.97,2.27,2.64,30.83,4.91,0.07,0.09,0.99,0.16
21,tierney,1,2,2.1,27,250,2,1,0,0,0,1,1,0,99,0,0,0,0.36,0.38,0.54,2.69,0.92,0.14,0.19,0.97,0.33
22,tomiyasu,1,2,1.0,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.18,0.0,0.04,0.18,2.7,0.0,0.6,2.7
23,trossard,1,3,4.0,152,2546,28,8,8,2,1,11,27,0,561,0,0,0,0.95,6.74,4.12,24.76,10.86,0.24,0.15,0.88,0.39
24,white,1,2,2.9,50,1195,13,0,2,2,0,5,13,0,211,0,0,0,0.98,0.46,1.3,16.88,1.76,0.03,0.1,1.27,0.13
25,zinchenko,1,2,2.7,40,518,5,0,1,1,0,4,1,0,141,0,0,0,0.17,0.65,0.52,3.21,1.17,0.11,0.09,0.56,0.2
73,neto,1,1,3.5,7,180,2,0,0,0,0,0,2,11,30,0,0,0,1.0,0.0,0.0,2.91,0.0,0.0,0.0,1.46,0.0
186,sterling,1,3,1.5,26,490,7,0,2,1,0,1,4,0,64,0,0,0,0.73,1.43,0.48,4.33,1.91,0.26,0.09,0.8,0.35
578,calafiori,1,2,2.1,39,978,11,2,1,4,0,1,12,0,142,0,0,0,1.1,0.86,0.69,10.28,1.55,0.08,0.06,0.95,0.14
597,lewis-skelly,1,3,1.6,37,1362,15,1,0,3,2,5,16,0,237,0,0,0,1.06,0.16,0.51,16.65,0.67,0.01,0.03,1.1,0.04
633,merino,1,3,3.3,92,1575,17,7,2,2,1,4,17,0,326,0,0,0,0.97,5.75,1.18,15.71,6.93,0.33,0.07,0.9,0.4
638,oulad mhand,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
639,setford,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,kacurri,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,kabia,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,nichols,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,butler-oyedeji,1,4,1.0,1,6,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.07,0.0,0.04,0.07,1.05,0.0,0.6,1.05
735,arteta,1,5,0.0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
756,porter,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
790,gower,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
793,jack henry-francis,1,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
801,clarke,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,bailey,2,3,2.0,47,1132,14,1,2,3,0,2,19,0,174,0,0,0,1.51,1.73,2.92,13.91,4.65,0.14,0.23,1.11,0.37
29,barkley,2,3,2.2,44,567,3,3,1,3,0,1,10,0,166,0,0,0,1.59,1.79,0.43,6.32,2.22,0.28,0.07,1.0,0.35
30,barrenechea,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,buendia,2,3,0.9,11,89,0,0,0,1,0,0,2,0,37,0,0,0,2.02,0.65,0.03,2.27,0.68,0.66,0.03,2.3,0.69
32,cash,2,2,2.8,76,2069,24,1,1,7,0,7,22,0,286,0,0,0,0.96,0.48,1.23,28.64,1.71,0.02,0.05,1.25,0.07
33,dendoncker,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,diaby,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,diego carlos,2,2,2.1,21,828,8,0,0,1,0,2,15,0,69,0,0,0,1.63,0.64,0.08,11.88,0.72,0.07,0.01,1.29,0.08
36,digne,2,2,2.8,89,2348,28,0,5,4,0,6,36,0,383,0,0,0,1.38,0.8,3.97,34.94,4.77,0.03,0.15,1.34,0.18
37,dobbin,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,duran,2,4,2.6,53,622,4,7,0,3,1,2,14,0,222,0,0,0,2.03,5.11,0.24,9.94,5.35,0.74,0.03,1.44,0.77
39,gauci,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,hause,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,iling jr,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,kamara,2,3,2.2,57,1720,20,1,0,2,0,6,22,0,296,0,0,0,1.15,0.82,0.83,23.03,1.65,0.04,0.04,1.21,0.08
43,kesler-hayden,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,konsa,2,2,3.0,103,2936,33,2,0,1,0,8,45,0,448,0,0,0,1.38,1.29,0.61,43.82,1.9,0.04,0.02,1.34,0.06
45,maatsen,2,2,2.0,57,1125,10,1,2,2,0,3,16,0,204,0,0,0,1.28,0.87,2.43,17.31,3.3,0.07,0.19,1.38,0.26
46,marschall,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,martinez,2,1,3.0,111,3195,37,0,0,5,1,8,47,100,457,1,0,0,1.32,0.0,0.02,44.99,0.02,0.0,0.0,1.27,0.0
48,mcginn,2,3,2.3,78,2217,27,1,4,7,0,8,34,0,360,0,0,0,1.38,3.1,2.7,35.03,5.8,0.13,0.11,1.42,0.24
49,mings,2,2,3.4,47,1119,12,0,1,1,0,4,11,0,207,0,0,0,0.88,0.88,0.23,13.2,1.11,0.07,0.02,1.06,0.09
50,nedeljkovic,2,2,1.0,5,121,0,0,0,0,0,0,4,0,11,0,0,0,2.98,0.0,0.02,2.23,0.02,0.0,0.01,1.66,0.01
51,olsen,2,1,2.2,9,225,1,0,0,0,0,1,6,8,23,0,0,0,2.4,0.0,0.0,5.5,0.0,0.0,0.0,2.2,0.0
52,pau,2,2,2.3,55,2019,23,0,0,2,0,5,33,0,254,0,0,0,1.47,0.51,0.43,29.69,0.94,0.02,0.02,1.32,0.04
53,ramsey,2,3,2.3,66,1616,19,1,4,2,1,5,26,0,265,0,0,0,1.45,1.59,2.18,23.99,3.77,0.09,0.12,1.34,0.21
54,rogers,2,3,4.4,161,3115,37,8,11,10,0,10,40,0,534,0,0,0,1.16,6.49,5.24,43.7,11.73,0.19,0.15,1.26,0.34
55,sinisalo,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,sousa,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,tielemans,2,3,3.4,121,3025,35,3,7,4,0,7,46,0,686,0,1,0,1.37,3.31,5.83,43.87,9.14,0.1,0.17,1.31,0.27
58,watkins,2,4,4.9,186,2593,31,16,8,2,0,10,40,0,631,0,0,0,1.39,15.12,2.07,38.62,17.19,0.52,0.07,1.34,0.59
167,disasi,2,2,2.5,33,851,9,1,0,3,0,3,12,0,133,0,0,0,1.27,0.37,0.37,16.7,0.74,0.04,0.04,1.77,0.08
233,onana,2,3,2.5,65,1613,20,3,0,4,0,6,23,0,324,0,0,0,1.28,2.12,0.84,23.66,2.96,0.12,0.05,1.32,0.17
385,rashford,2,3,3.8,95,1414,16,6,4,2,0,7,15,0,333,0,0,0,0.95,4.67,3.43,21.68,8.1,0.3,0.22,1.38,0.52
598,bogarde,2,2,0.8,6,473,5,0,0,2,0,0,11,0,22,0,0,0,2.09,0.04,0.13,9.28,0.17,0.01,0.02,1.77,0.03
640,swinkels,2,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641,zych,2,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656,young,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
679,broggio,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
710,jimoh,2,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
725,malen,2,3,2.4,34,296,2,3,0,0,0,0,6,0,112,0,0,0,1.82,2.15,0.15,4.77,2.3,0.65,0.05,1.45,0.7
731,a garcia,2,2,1.1,8,316,5,0,0,0,0,0,5,0,26,0,0,0,1.42,0.04,0.49,6.49,0.53,0.01,0.14,1.85,0.15
737,emery,2,5,0.0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
762,masensio,2,3,3.4,44,740,9,3,2,2,0,3,8,0,158,0,2,0,0.97,4.43,1.16,11.11,5.59,0.54,0.14,1.35,0.68
59,aarons,3,2,2.7,8,84,1,0,0,0,0,1,0,0,31,0,0,0,0.0,0.0,0.01,0.28,0.01,0.0,0.01,0.3,0.01
60,adams,3,3,2.1,58,1959,21,0,3,7,0,6,30,0,315,0,0,0,1.38,1.33,0.76,29.26,2.09,0.06,0.03,1.34,0.09
61,anthony,3,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,brooks,3,3,1.8,52,941,9,2,1,3,0,3,12,0,204,0,0,0,1.15,2.58,2.02,15.03,4.6,0.25,0.19,1.44,0.44
