web_name,gw,SiB,player_id
M.Salah,1,4,328
Haaland,1,2,351
Semenyo,1,2,78
Isak,1,0,401
Watkins,1,0,58
Raúl,1,0,252
N.Jackson,1,1,180
Wissa,1,2,110
Madueke,1,0,177
Palmer,1,0,182
Garnacho,1,1,372
Evanilson,1,,617
Bowen,1,0,514
Mbeumo,1,1,99
Solanke,1,3,82
Luis Díaz,1,2,327
Johnson,1,2,275
Strand Larsen,1,1,566
Cunha,1,1,541
Vardy,1,2,306
Souček,1,5,530
Kudus,1,2,525
Wood,1,1,447
O.Dango,1,1,74
Saka,1,4,17
Mateta,1,0,207
Trossard,1,0,23
Mitoma,1,4,136
Havertz,1,5,4
Schade,1,1,106
Delap,1,0,268
Barnes,1,0,392
Calvert-Lewin,1,0,220
Diogo J.,1,3,317
I.Sarr,1,0,585
Eze,1,4,199
Iwobi,1,1,247
Martinelli,1,1,9
Gordon,1,0,398
Gakpo,1,0,321
Rogers,1,1,54
Son,1,0,503
Kluivert,1,0,71
Muniz,1,2,251
Kulusevski,1,0,492
Georginio,1,,618
João Pedro,1,0,129
Beto,1,0,218
Welbeck,1,2,148
Szoboszlai,1,2,336
Joelinton,1,2,403
Onuachu,1,0,470
Savinho,1,0,571
Neto,1,1,73
Adama,1,1,239
Nketiah,1,0,11
B.Fernandes,1,3,366
Gvardiol,1,1,350
Gibbs-White,1,1,433
Muñoz,1,0,211
Aït-Nouri,1,0,533
Merino,1,,633
Amad,1,0,364
Enzo,1,2,168
Elanga,1,0,432
Smith Rowe,1,0,19
Darwin,1,0,316
Rice,1,1,16
Minteh,1,0,135
Bernardo,1,2,342
A.Doucoure,1,1,217
Archer,1,1,27
Ndiaye,1,0,232
Zirkzee,1,1,389
Maddison,1,1,494
Duran,1,2,38
Hudson-Odoi,1,1,434
Foden,1,0,348
Lacroix,1,,650
Milenković,1,0,573
Nørgaard,1,0,101
Ødegaard,1,0,13
J.Murphy,1,0,402
Tavernier,1,2,83
M.Fernandes,1,,623
Rashford,1,0,385
Virgil,1,0,339
Bruno G.,1,0,394
L.Paquetá,1,1,527
Højlund,1,0,375
Mac Allister,1,0,329
Buonanotte,1,0,117
Damsgaard,1,0,89
Marmoush,1,,755
De Bruyne,1,0,345
Jones,1,0,324
Harrison,1,3,224
Ndidi,1,2,300
Nkunku,1,1,181
J.Ayew,1,1,192
Adingra,1,2,113
Gabriel,1,1,3
Armstrong,1,4,603
J.Gomes,1,0,553
Tielemans,1,0,57
Wilson,1,0,259
N.Williams,1,1,437
Burn,1,0,395
G.Jesus,1,0,2
Sancho,1,0,386
Harwood-Bellis,1,0,461
Szmodics,1,0,611
McGinn,1,2,48
Bailey,1,1,28
Justin,1,1,295
De Ligt,1,0,593
O'Shea,1,,630
Tel,1,,768
Konaté,1,0,326
Kamaldeen,1,0,462
Doku,1,1,346
Yates,1,2,449
Tete,1,1,257
Jota Silva,1,0,596
Mavididi,1,0,298
Richarlison,1,1,497
Ayari,1,0,600
Anderson,1,0,423
Dalot,1,0,369
Van den Berg,1,0,338
Dibling,1,0,608
Romero,1,1,498
Enciso,1,0,121
Hutchinson,1,2,274
