web_name,gw,cc,player_id
B.Fernandes,1,0,366
M.Salah,1,2,328
Palmer,1,2,182
Enzo,1,0,168
Mbeumo,1,3,99
Kulusevski,1,0,492
Damsgaard,1,0,89
Ødegaard,1,2,13
Tielemans,1,3,57
Andreas,1,6,240
Rice,1,1,16
Iwobi,1,0,247
Luis Díaz,1,3,327
Pedro Porro,1,4,495
Eze,1,0,199
Davis,1,0,267
Szoboszlai,1,3,336
Son,1,2,503
De Bruyne,1,1,345
Cunha,1,1,541
Saka,1,5,17
Gordon,1,1,398
Alexander-Arnold,1,3,311
Gibbs-White,1,3,433
Bowen,1,1,514
Rogers,1,2,54
Bruno G.,1,0,394
Cook,1,1,64
Bernardo,1,3,342
Semenyo,1,0,78
Hudson-Odoi,1,3,434
Elanga,1,2,432
Mac Allister,1,0,329
Kluivert,1,0,71
Foden,1,0,348
Neto,1,2,73
Robinson,1,0,255
Savinho,1,3,571
Maddison,1,3,494
Christie,1,0,63
Isak,1,1,401
Amad,1,1,364
Muñoz,1,1,211
I.Sarr,1,0,585
Adama,1,0,239
Trossard,1,0,23
Mitchell,1,2,210
Robertson,1,1,335
Sancho,1,0,386
J.Murphy,1,0,402
Martinelli,1,3,9
L.Paquetá,1,1,527
Gündogan,1,,625
El Khannouss,1,,635
Tavernier,1,3,83
Garnacho,1,2,372
Mitoma,1,0,136
Digne,1,1,36
Aït-Nouri,1,0,533
O.Dango,1,0,74
Anderson,1,0,423
Manning,1,0,467
Hall,1,1,399
McNeil,1,1,230
Gakpo,1,1,321
Kerkez,1,1,70
Harrison,1,1,224
Madueke,1,0,177
M.Fernandes,1,,623
João Pedro,1,1,129
Kudus,1,2,525
Wan-Bissaka,1,0,388
Kovačić,1,0,354
Hughes,1,1,203
Doku,1,1,346
Caicedo,1,1,157
McGinn,1,0,48
N.Jackson,1,2,180
Rashford,1,1,385
Mateta,1,0,207
Ayari,1,0,600
Wharton,1,0,216
Haaland,1,0,351
Dalot,1,0,369
Gvardiol,1,0,350
Hutchinson,1,0,274
A.Doucoure,1,0,217
Gravenberch,1,0,323
Estupiñan,1,0,122
Bellegarde,1,0,535
Eriksen,1,0,370
Lukić,1,1,249
Buonanotte,1,1,117
Grealish,1,0,349
Wissa,1,1,110
Watkins,1,0,58
Minteh,1,3,135
Lewis-Potter,1,0,98
Walker-Peters,1,0,476
Joelinton,1,0,403
J.Clarke,1,,631
Evanilson,1,,617
Mavididi,1,1,298
Barnes,1,0,392
Livramento,1,0,409
Raúl,1,0,252
Willock,1,0,420
Matheus N.,1,0,356
J.Gomes,1,0,553
N.Semedo,1,0,559
Gusto,1,0,171
Tonali,1,0,417
Casemiro,1,3,368
Ramsey,1,1,53
Mykolenko,1,0,231
Dibling,1,1,608
Baleba,1,0,115
Delap,1,2,268
Schade,1,0,106
Georginio,1,,618
Young,1,1,656
Jones,1,0,324
Lindstrøm,1,0,577
Gana,1,0,222
Cucurella,1,0,163
Kamada,1,2,205
Wood,1,0,447
Welbeck,1,2,148
Johnson,1,1,275
Morsy,1,1,278
Smith Rowe,1,0,19
Kristiansen,1,0,296
Vardy,1,0,306
Trippier,1,0,418
Mazraoui,1,0,594
Maatsen,1,1,45
Wilson,1,0,259
Ward-Prowse,1,0,531
Nørgaard,1,1,101
Thomas,1,4,20
J.Timber,1,0,6
Ndiaye,1,0,232
