web_name,gw,npxG,player_id
Haaland,1,0.3,351
Wissa,1,0.9,110
Isak,1,0.0,401
M.Salah,1,0.7,328
Watkins,1,0.0,58
Palmer,1,0.1,182
N.Jackson,1,0.6,180
Luis Díaz,1,0.5,327
Mateta,1,0.0,207
Evanilson,1,,617
Wood,1,0.7,447
Solanke,1,0.3,82
I.Sarr,1,0.0,585
Johnson,1,0.1,275
Strand Larsen,1,0.1,566
Havertz,1,0.4,4
Semenyo,1,0.4,78
Madueke,1,0.0,177
Eze,1,0.4,199
Mitoma,1,1.1,136
Raúl,1,0.0,252
Vardy,1,0.8,306
O.Dango,1,0.4,74
Welbeck,1,0.2,148
Schade,1,0.1,106
Delap,1,0.0,268
Cunha,1,0.1,541
Diogo J.,1,0.9,317
Trossard,1,0.0,23
Bowen,1,0.0,514
Mbeumo,1,0.1,99
B.Fernandes,1,1.0,366
Garnacho,1,0.7,372
Gakpo,1,0.0,321
Szoboszlai,1,0.2,336
Barnes,1,0.0,392
Martinelli,1,0.0,9
Kudus,1,0.1,525
Gordon,1,0.0,398
Calvert-Lewin,1,0.0,220
Enzo,1,0.2,168
Beto,1,0.0,218
J.Murphy,1,0.0,402
Souček,1,0.9,530
Saka,1,0.4,17
Rogers,1,0.2,54
Muniz,1,0.1,251
Merino,1,,633
Tavernier,1,0.6,83
Maddison,1,0.0,494
Nketiah,1,0.0,11
Foden,1,0.0,348
Kluivert,1,0.0,71
Darwin,1,0.0,316
João Pedro,1,0.0,129
Son,1,0.0,503
Gibbs-White,1,0.1,433
Zirkzee,1,0.1,389
Højlund,1,0.0,375
Savinho,1,0.0,571
Muñoz,1,0.0,211
Georginio,1,,618
Marmoush,1,,755
Nkunku,1,0.2,181
Duran,1,0.4,38
Elanga,1,0.0,432
De Bruyne,1,0.1,345
Smith Rowe,1,0.0,19
Amad,1,0.0,364
Iwobi,1,0.0,247
Tonali,1,0.0,417
Gvardiol,1,0.0,350
Kulusevski,1,0.0,492
Jones,1,0.0,324
Archer,1,0.2,27
Minteh,1,0.0,135
Ødegaard,1,0.0,13
Bruno G.,1,0.0,394
Bernardo,1,0.1,342
M.Fernandes,1,,623
Buonanotte,1,0.0,117
Wilson,1,0.0,259
A.Doucoure,1,0.1,217
Adama,1,0.1,239
Joelinton,1,0.2,403
Richarlison,1,0.2,497
Rashford,1,0.0,385
Ndiaye,1,0.0,232
Nørgaard,1,0.0,101
P.M.Sarr,1,0.0,499
Lacroix,1,,650
Szmodics,1,0.0,611
Onuachu,1,0.0,470
Harrison,1,0.1,224
Neto,1,0.0,73
L.Paquetá,1,0.0,527
Milenković,1,0.0,573
Rice,1,0.1,16
G.Jesus,1,0.0,2
Sarabia,1,0.1,565
Baleba,1,0.0,115
Munetsi,1,,770
McAtee,1,0.0,357
M.Asensio,1,,762
Mac Allister,1,0.1,329
Gabriel,1,0.1,3
Dibling,1,0.0,608
Aït-Nouri,1,0.0,533
Damsgaard,1,0.0,89
Gündogan,1,,625
Schär,1,0.0,415
Aribo,1,0.1,452
Carvalho,1,0.0,314
Ayari,1,0.0,600
Saliba,1,0.0,18
Enes Ünal,1,0.0,65
J.Gomes,1,0.0,553
Andreas,1,0.0,240
J.Ayew,1,0.3,192
Hudson-Odoi,1,0.1,434
Mount,1,0.4,382
Guedes,1,0.0,548
Cucurella,1,0.0,163
McGinn,1,0.2,48
De Ligt,1,0.0,593
Hutchinson,1,0.3,274
Yates,1,0.3,449
Enciso,1,0.0,121
Jaden,1,0.0,569
Chalobah,1,0.0,159
Adingra,1,0.1,113
Lewis-Potter,1,0.0,98
Virgil,1,0.0,339
Onana,1,0.6,233
Collins,1,0.1,88
N.Williams,1,0.0,437
Tielemans,1,0.2,57
Antonio,1,0.2,512
Armstrong,1,0.7,603
Van den Berg,1,0.0,338
Thomas,1,0.1,20
Mavididi,1,0.0,298
Awoniyi,1,0.1,424
Ings,1,0.3,523
Dalot,1,0.0,369
O'Riley,1,,629
Ndidi,1,0.1,300
Emerson,1,0.0,520
Brooks,1,0.0,62
Lindstrøm,1,0.0,577
Jota Silva,1,0.0,596
João Félix,1,,621
Anderson,1,0.0,423
Kovačić,1,0.1,354
Sancho,1,0.0,386
Hirst,1,0.0,272
Alexander-Arnold,1,0.1,311
Guéhi,1,0.0,200
Harwood-Bellis,1,0.0,461
Füllkrug,1,0.0,589
Christie,1,0.0,63
Konaté,1,0.0,326
Bailey,1,0.2,28
Romero,1,0.1,498
Burn,1,0.0,395
Huijsen,1,0.0,580
Maguire,1,0.0,377
C.Soler,1,,654
Ramsey,1,0.1,53
Malen,1,,725
Willock,1,0.0,420
Casemiro,1,0.1,368
Gusto,1,0.0,171
Dominguez,1,0.0,431
Pedro Porro,1,0.1,495
Faes,1,0.0,291
Sessegnon,1,0.0,579
Summerville,1,0.0,587
Alcaraz,1,0.1,450
Mavropanos,1,0.0,528
Barkley,1,0.0,29
Kilman,1,0.0,524
Broadhead,1,0.0,262
O'Shea,1,,630
Lewis,1,0.0,355
Murillo,1,0.0,436
Rúben,1,0.0,361
Bentancur,1,0.3,480
Mario Jr.,1,0.0,557
Tarkowski,1,0.0,236
Adams,1,0.0,60
Hinshelwood,1,0.0,126
Tel,1,,768
Colwill,1,0.0,162
Daka,1,0.0,289
Justin,1,0.1,295
El Khannouss,1,,635
Van Hecke,1,0.0,144
Robertson,1,0.0,335
Sinisterra,1,0.2,80
Akanji,1,0.0,340
Nelson,1,0.0,10
Zabarnyi,1,0.0,85
Bellegarde,1,0.1,535
McNeil,1,0.0,230
Chaplin,1,0.0,265
Nwaneri,1,0.0,12
Martinez,1,0.0,47
Odobert,1,0.0,612
Grealish,1,0.0,349
O’Reilly,1,0.0,607
Ugarte,1,,652
Tosin,1,0.0,187
Gruda,1,0.0,595
Sosa,1,,620
Pinnock,1,0.0,104
Kamaldeen,1,0.0,462
Bassey,1,0.1,241
Tete,1,0.1,257
Wan-Bissaka,1,0.0,388
C.Richards,1,0.0,194
Branthwaite,1,0.0,219
Doherty,1,0.1,543
Andersen,1,0.1,191
Kamada,1,0.0,205
Sterling,1,0.0,186
Ferguson,1,0.0,123
Mangala,1,,651
Doku,1,0.1,346
Gravenberch,1,0.0,323
Burgess,1,0.0,263
Lerma,1,0.0,206
Janelt,1,0.1,94
Cook,1,0.0,64
Gómez,1,,714
Lukić,1,0.0,249
Gana,1,0.0,222
Brereton Díaz,1,0.3,584
Estupiñan,1,0.0,122
Werner,1,0.0,509
Konsa,1,0.1,44
Hughes,1,0.0,203
