web_name,gw,npxgi,player_id
M.Salah,1,1.2,328
Haaland,1,0.3,351
Palmer,1,0.2,182
Isak,1,0.2,401
Wissa,1,1.0,110
I.Sarr,1,0.0,585
Watkins,1,0.0,58
N.Jackson,1,0.9,180
Luis Díaz,1,0.8,327
Cunha,1,0.2,541
Semenyo,1,0.4,78
B.Fernandes,1,1.0,366
Mbeumo,1,0.4,99
Eze,1,0.4,199
J.Murphy,1,0.0,402
Szoboszlai,1,0.6,336
O.Dango,1,0.4,74
Rogers,1,0.4,54
Trossard,1,0.0,23
Mitoma,1,1.1,136
Mateta,1,0.0,207
Saka,1,0.8,17
Bowen,1,0.1,514
Solanke,1,0.4,82
Enzo,1,0.2,168
Son,1,0.2,503
Madueke,1,0.0,177
Wood,1,0.7,447
Havertz,1,0.5,4
De Bruyne,1,0.1,345
Johnson,1,0.3,275
Evanilson,1,,617
Raúl,1,0.0,252
Strand Larsen,1,0.1,566
Savinho,1,0.2,571
Vardy,1,0.8,306
Martinelli,1,0.4,9
Schade,1,0.1,106
Garnacho,1,1.0,372
Gordon,1,0.0,398
Iwobi,1,0.0,247
Damsgaard,1,0.0,89
Kulusevski,1,0.0,492
Barnes,1,0.0,392
João Pedro,1,0.2,129
Gakpo,1,0.0,321
Gibbs-White,1,0.2,433
Kluivert,1,0.0,71
Foden,1,0.0,348
Rice,1,0.1,16
Welbeck,1,0.3,148
Muñoz,1,0.1,211
Elanga,1,0.1,432
Delap,1,0.2,268
Bruno G.,1,0.0,394
Tielemans,1,0.9,57
Ødegaard,1,0.1,13
Maddison,1,0.2,494
Kudus,1,0.5,525
Diogo J.,1,0.9,317
Neto,1,0.2,73
Minteh,1,1.0,135
Amad,1,0.1,364
Tavernier,1,0.8,83
Alexander-Arnold,1,0.8,311
Adama,1,0.1,239
Bernardo,1,0.5,342
Rashford,1,0.7,385
Aït-Nouri,1,0.0,533
Merino,1,,633
Mac Allister,1,0.1,329
Georginio,1,,618
Andreas,1,0.2,240
Harrison,1,0.2,224
Nketiah,1,0.0,11
Mitchell,1,0.2,210
Beto,1,0.0,218
Calvert-Lewin,1,0.0,220
Nkunku,1,0.2,181
Marmoush,1,,755
Souček,1,1.0,530
Darwin,1,0.0,316
Muniz,1,0.2,251
Buonanotte,1,0.4,117
M.Fernandes,1,,623
Zirkzee,1,0.1,389
L.Paquetá,1,0.0,527
Højlund,1,0.0,375
Joelinton,1,0.2,403
Pedro Porro,1,0.3,495
Smith Rowe,1,0.0,19
Robertson,1,0.2,335
Gvardiol,1,0.0,350
El Khannouss,1,,635
Doku,1,0.1,346
McGinn,1,0.2,48
A.Doucoure,1,0.1,217
Hutchinson,1,0.3,274
Tonali,1,0.0,417
Lewis-Potter,1,0.0,98
Gündogan,1,,625
Davis,1,0.0,267
Ndiaye,1,0.0,232
Kovačić,1,0.1,354
Cook,1,0.4,64
Digne,1,0.2,36
Ayari,1,0.0,600
P.M.Sarr,1,0.1,499
McNeil,1,0.0,230
Christie,1,0.0,63
Sancho,1,0.0,386
Jones,1,0.0,324
Hudson-Odoi,1,0.2,434
Jota Silva,1,0.0,596
Adingra,1,0.1,113
Duran,1,0.4,38
Matheus N.,1,0.0,356
Anderson,1,0.0,423
Sarabia,1,0.1,565
Wilson,1,0.0,259
Richarlison,1,0.2,497
Wan-Bissaka,1,0.0,388
Robinson,1,0.0,255
Munetsi,1,,770
Nørgaard,1,0.1,101
Archer,1,0.2,27
Mavididi,1,0.0,298
Hall,1,0.0,399
Cucurella,1,0.0,163
Kerkez,1,0.0,70
Bellegarde,1,0.1,535
Collins,1,0.1,88
Tarkowski,1,0.0,236
Lacroix,1,,650
Dalot,1,0.0,369
Hughes,1,0.0,203
Baleba,1,0.0,115
Thomas,1,0.2,20
Milenković,1,0.0,573
N.Williams,1,0.1,437
Lindstrøm,1,0.0,577
Onuachu,1,0.0,470
Dibling,1,0.0,608
Chalobah,1,0.0,159
Gravenberch,1,0.0,323
Aribo,1,0.7,452
O'Riley,1,,629
Brooks,1,0.0,62
Wharton,1,0.1,216
Enciso,1,0.0,121
Ndidi,1,0.1,300
Armstrong,1,0.8,603
Ramsey,1,0.2,53
Huijsen,1,0.0,580
Szmodics,1,0.0,611
M.Asensio,1,,762
G.Jesus,1,0.0,2
J.Gomes,1,0.0,553
Guedes,1,0.0,548
J.Ayew,1,0.3,192
Willock,1,0.0,420
Casemiro,1,0.9,368
Saliba,1,0.0,18
Guéhi,1,0.0,200
Eriksen,1,0.0,370
Werner,1,0.0,509
Antonio,1,0.2,512
Yates,1,0.3,449
McAtee,1,0.0,357
Gabriel,1,0.1,3
Summerville,1,0.3,587
Ings,1,0.3,523
N.Semedo,1,0.0,559
Bailey,1,0.3,28
Füllkrug,1,0.0,589
Walker-Peters,1,0.1,476
Roerslev,1,0.0,105
Maatsen,1,0.0,45
Estupiñan,1,0.0,122
Lukić,1,0.0,249
Janelt,1,0.1,94
Caicedo,1,0.0,157
Grealish,1,0.0,349
Alcaraz,1,0.2,450
Schär,1,0.0,415
Tel,1,,768
Manning,1,0.0,467
Carvalho,1,0.0,314
Enes Ünal,1,0.0,65
Ward-Prowse,1,0.0,531
Emerson,1,0.0,520
Harwood-Bellis,1,0.0,461
Mount,1,0.5,382
J.Clarke,1,,631
Virgil,1,0.0,339
Gusto,1,0.0,171
Kamada,1,0.1,205
Livramento,1,0.0,409
Jaden,1,0.0,569
Van den Berg,1,0.0,338
Van Hecke,1,0.0,144
De Ligt,1,0.0,593
Gruda,1,0.0,595
João Félix,1,,621
C.Soler,1,,654
Konaté,1,0.0,326
Hinshelwood,1,0.0,126
Sinisterra,1,0.2,80
Burn,1,0.0,395
Doherty,1,0.1,543
Colwill,1,0.0,162
Dominguez,1,0.0,431
Lerma,1,0.3,206
Murillo,1,0.0,436
Onana,1,0.6,233
Sugawara,1,0.2,474
Sessegnon,1,0.0,579
Kilman,1,0.0,524
Nwaneri,1,0.0,12
Gana,1,0.0,222
Nelson,1,0.0,10
Romero,1,0.1,498
Mario Jr.,1,0.0,557
Spence,1,0.0,504
Martinez,1,0.0,47
Tsimikas,1,0.0,337
Maguire,1,0.0,377
Pinnock,1,0.0,104
Hirst,1,0.0,272
Ugarte,1,,652
Barkley,1,0.0,29
Odobert,1,0.0,612
Mavropanos,1,0.0,528
Burns,1,0.0,264
Awoniyi,1,0.1,424
Adams,1,0.0,60
Mainoo,1,0.1,378
Young,1,0.0,656
Broadhead,1,0.0,262
Tete,1,0.1,257
Mazraoui,1,0.0,594
Kamaldeen,1,0.0,462
Chaplin,1,0.0,265
O'Shea,1,,630
A.Fatawu,1,0.5,570
De Cordova-Reid,1,0.1,290
Ajer,1,0.2,86
Ugochukwu,1,0.0,188
Mykolenko,1,0.0,231
Wieffer,1,0.1,149
Zabarnyi,1,0.0,85
Van de Ven,1,0.0,506
Justin,1,0.1,295
Lewis,1,0.0,355
Bentancur,1,0.3,480
Rúben,1,0.0,361
Faes,1,0.0,291
Ederson M.,1,0.0,347
J.Timber,1,0.0,6
Yarmoliuk,1,0.0,111
Kamara,1,0.0,42
