web_name,gw,tpa,player_id
M.Salah,1,10,328
Isak,1,2,401
Haaland,1,2,351
Semenyo,1,5,78
Garnacho,1,3,372
Martinelli,1,10,9
Madueke,1,0,177
Watkins,1,1,58
Mbeumo,1,1,99
Raúl,1,0,252
Mitoma,1,7,136
Kulusevski,1,8,492
Luis Díaz,1,9,327
Savinho,1,3,571
Bowen,1,0,514
Trossard,1,0,23
Doku,1,8,346
Saka,1,12,17
Wissa,1,4,110
N.Jackson,1,5,180
Palmer,1,1,182
Schade,1,2,106
Rogers,1,3,54
Bernardo,1,5,342
I.Sarr,1,0,585
O.Dango,1,3,74
Gordon,1,1,398
Minteh,1,3,135
Kudus,1,6,525
Amad,1,3,364
Cunha,1,1,541
João Pedro,1,3,129
Johnson,1,7,275
Evanilson,1,,617
Kluivert,1,3,71
Son,1,10,503
Barnes,1,0,392
Solanke,1,8,82
Sancho,1,0,386
Iwobi,1,4,247
Neto,1,2,73
Vardy,1,3,306
Ødegaard,1,4,13
Havertz,1,9,4
Strand Larsen,1,4,566
Szoboszlai,1,4,336
Muñoz,1,3,211
Elanga,1,1,432
Souček,1,7,530
Wood,1,3,447
Gvardiol,1,2,350
Gakpo,1,3,321
Welbeck,1,3,148
Diogo J.,1,10,317
Eze,1,6,199
Mateta,1,2,207
Aït-Nouri,1,0,533
J.Murphy,1,0,402
Delap,1,3,268
Adama,1,4,239
Calvert-Lewin,1,3,220
Gibbs-White,1,3,433
Joelinton,1,3,403
Foden,1,0,348
Georginio,1,,618
Bruno G.,1,0,394
Ndiaye,1,1,232
Merino,1,,633
Beto,1,0,218
Enzo,1,6,168
Hutchinson,1,3,274
Rice,1,3,16
De Bruyne,1,1,345
Damsgaard,1,0,89
B.Fernandes,1,3,366
Maddison,1,6,494
Cucurella,1,1,163
Ramsey,1,2,53
Grealish,1,0,349
Robinson,1,1,255
Hudson-Odoi,1,3,434
Bailey,1,3,28
Lewis-Potter,1,0,98
Darwin,1,0,316
Onuachu,1,0,470
Dalot,1,0,369
Højlund,1,0,375
Adingra,1,4,113
Nketiah,1,0,11
Rashford,1,4,385
Collins,1,1,88
Harrison,1,6,224
Kerkez,1,1,70
Anderson,1,4,423
J.Timber,1,2,6
Ndidi,1,3,300
A.Doucoure,1,1,217
Mavididi,1,0,298
Gündogan,1,,625
Mac Allister,1,2,329
Marmoush,1,,755
Walker-Peters,1,2,476
Milenković,1,0,573
L.Paquetá,1,1,527
Tarkowski,1,1,236
Smith Rowe,1,0,19
Nkunku,1,5,181
Zirkzee,1,1,389
Muniz,1,4,251
Kamaldeen,1,0,462
Jones,1,0,324
Matheus N.,1,0,356
Wilson,1,2,259
Burn,1,1,395
Robertson,1,2,335
McGinn,1,5,48
Willock,1,0,420
Tavernier,1,4,83
Archer,1,3,27
Nørgaard,1,0,101
O'Shea,1,,630
Armstrong,1,6,603
Udogie,1,4,505
G.Jesus,1,0,2
M.Fernandes,1,,623
Virgil,1,2,339
Wan-Bissaka,1,0,388
J.Ayew,1,1,192
Duran,1,3,38
Hall,1,1,399
Lewis,1,4,355
Bellegarde,1,0,535
Jota Silva,1,0,596
Christie,1,1,63
Alexander-Arnold,1,1,311
Aribo,1,3,452
Lacroix,1,,650
Ayari,1,0,600
Van den Berg,1,0,338
Andreas,1,1,240
Mitchell,1,1,210
Maatsen,1,0,45
O'Riley,1,,629
Sessegnon,1,0,579
Gusto,1,3,171
J.Gomes,1,0,553
Tielemans,1,0,57
Lindstrøm,1,0,577
Tonali,1,0,417
Buonanotte,1,0,117
Maguire,1,0,377
Gabriel,1,1,3
Harwood-Bellis,1,3,461
Yates,1,2,449
N.Williams,1,2,437
Casemiro,1,4,368
Nwaneri,1,0,12
Dibling,1,0,608
Guéhi,1,0,200
Cash,1,1,32
Enciso,1,0,121
Sterling,1,0,186
Davis,1,0,267
Justin,1,1,295
Ajer,1,1,86
Mainoo,1,0,378
Summerville,1,2,587
Bradley,1,3,313
Antonio,1,2,512
Colwill,1,0,162
Füllkrug,1,0,589
Livramento,1,0,409
Nelson,1,0,10
Brooks,1,0,62
Tete,1,1,257
Werner,1,2,509
Szmodics,1,0,611
Gruda,1,0,595
Schär,1,1,415
Castagne,1,0,244
Jaden,1,1,569
Kilman,1,1,524
Pedro Porro,1,3,495
Janelt,1,1,94
Odobert,1,0,612
Estupiñan,1,0,122
El Khannouss,1,,635
Tel,1,,768
Munetsi,1,,770
Guedes,1,0,548
João Félix,1,,621
De Ligt,1,0,593
Dominguez,1,2,431
J.Clarke,1,,631
Kamada,1,2,205
Richarlison,1,1,497
Huijsen,1,0,580
Van Hecke,1,0,144
Thomas,1,0,20
Mykolenko,1,1,231
Ings,1,1,523
Digne,1,0,36
Sugawara,1,1,474
Calafiori,1,0,578
Hinshelwood,1,2,126
Emerson,1,1,520
Lerma,1,0,206
Doherty,1,2,543
R.Gomes,1,4,563
Mazraoui,1,0,594
P.M.Sarr,1,2,499
Daka,1,0,289
Faes,1,0,291
M.Asensio,1,,762
N.Semedo,1,0,559
A.Fatawu,1,1,570
Branthwaite,1,0,219
Rúben,1,0,361
Enes Ünal,1,0,65
Hirst,1,0,272
Gravenberch,1,0,323
Burgess,1,0,263
Dorgu,1,,766
Pinnock,1,1,104
Bentancur,1,3,480
McAteer,1,1,299
Chalobah,1,0,159
Spence,1,0,504
Hee Chan,1,2,550
Konaté,1,0,326
Sarabia,1,1,565
Ugochukwu,1,0,188
Mavropanos,1,0,528
Romero,1,1,498
Sinisterra,1,3,80
McNeil,1,0,230
Malen,1,,725
Mount,1,5,382
Murillo,1,0,436
Onana,1,1,233
C.Soler,1,,654
Carvalho,1,0,314
Awoniyi,1,2,424
Bergvall,1,1,481
McAtee,1,0,357
White,1,0,24
Andersen,1,0,191
Longstaff,1,2,410
Manning,1,0,467
Dunk,1,2,120
Brereton Díaz,1,4,584
Konsa,1,1,44
Aina,1,0,422
Cook,1,0,64
Alcaraz,1,2,450
Roerslev,1,0,105
Gana,1,1,222
Elliott,1,0,319
Greaves,1,2,270
Mario Jr.,1,0,557
Broja,1,0,156
Martinez,1,0,47
B.Soumaré,1,0,285
Bassey,1,2,241
Broadhead,1,0,262
Burns,1,1,264
Scott,1,0,77
Saliba,1,0,18
Barkley,1,0,29
Downes,1,2,518
O'Brien,1,0,582
Zinchenko,1,2,25
C.Richards,1,0,194
Kovačić,1,0,354
Adams,1,0,60
O’Reilly,1,0,607
Lukić,1,0,249
Ferguson,1,0,123
Keane,1,1,228
Sosa,1,,620
Mings,1,0,49
Pau,1,0,52
Caicedo,1,0,157
Toti,1,1,567
Hughes,1,2,203
Akanji,1,0,340
Ugarte,1,,652
Eriksen,1,0,370
Yarmoliuk,1,0,111
De Cordova-Reid,1,1,290
Cairney,1,2,243
Kristiansen,1,0,296
Forbs,1,,655
Davies,1,0,669
Zabarnyi,1,0,85
Bednarek,1,1,455
Smallbone,1,9,471
Lewis-Skelly,1,0,597
Dawson,1,0,542
Edouard,1,2,198
Wieffer,1,0,149
Álvarez,1,0,511
Tosin,1,0,187
Yoro,1,0,572
Mangala,1,,651
Chaplin,1,1,265
Diop,1,0,245
Moore,1,0,610
Philip,1,1,76
Kayode,1,,757
Baleba,1,0,115
Tsimikas,1,0,337
Berge,1,,622
Trippier,1,0,418
Dragusin,1,0,486
Iroegbunam,1,3,226
Cajuste,1,,619
Senesi,1,0,79
Stephens,1,2,472
Wharton,1,0,216
Coufal,1,0,516
Lamptey,1,0,131
W.Fofana,1,1,189
Bree,1,0,457
Vestergaard,1,0,307
Okoli,1,0,301
Todibo,1,0,591
Jebbison,1,1,69
Ward-Prowse,1,0,531
Jensen,1,0,95
Garner,1,0,223
Veltman,1,0,145
F.Kadıoğlu,1,,628
Almirón,1,0,391
Al-Hamadi,1,1,260
Young,1,0,656
Edozie,1,7,459
Van de Ven,1,0,506
Coady,1,0,288
N.Gonzalez,1,,765
Alex Moreno,1,0,26
Antony,1,0,365
Obi,1,,776
Webster,1,1,147
Kamara,1,0,42
George,1,,696
Taylor,1,0,281
Danso,1,,767
Hill,1,0,68
King,1,0,604
Mosquera,1,0,558
Devenny,1,,645
Gómez,1,,714
Scarles,1,,677
Willian,1,,772
Esse,1,,730
Skipp,1,0,501
Dewsbury-Hall,1,0,166
Disasi,1,0,167
Sangaré,1,2,442
Lallana,1,0,463
Godo,1,0,605
Ogbene,1,,632
Diego Carlos,1,0,35
Stewart,1,0,473
S.Bueno,1,0,564
James,1,0,172
Smith,1,0,81
Miley,1,0,411
Phillips,1,0,359
Schlupp,1,0,214
Botman,1,0,393
Mudryk,1,0,179
Tuanzebe,1,1,282
Townsend,1,0,583
Quansah,1,0,333
Aké,1,0,341
Walker,1,0,363
Patterson,1,0,234
Bissouma,1,0,482
March,1,0,132
Amass,1,,670
Ricardo,1,0,302
Chiesa,1,,636
Milner,1,2,134
Kiwior,1,0,8
Doyle,1,0,544
André,1,,642
L.Guilherme,1,0,526
Kelly,1,0,404
Krafth,1,2,405
Stones,1,0,362
Shaw,1,0,387
Reed,1,0,254
Maghoma,1,,674
Tierney,1,0,21
Agbadou,1,,720
Coulibaly,1,,726
C.Doucouré,1,0,193
Morsy,1,1,278
Bogarde,1,0,598
Osula,1,0,590
M.França,1,0,208
Renato Veiga,1,0,184
Jorginho,1,0,7
Fraser,1,0,397
Mee,1,0,100
Pedro Lima,1,0,561
Woolfenden,1,1,284
Lindelof,1,0,376
Reguilón,1,0,496
Clyne,1,0,196
Buendia,1,0,31
Choudhury,1,0,287
Collyer,1,0,613
Welington,1,,718
Harness,1,2,271
G.Rodríguez,1,0,588
Thiago,1,0,107
Y. Chermiti,1,0,237
Marc Guiu,1,0,178
Endo,1,0,320
Acheampong,1,,697
Orford,1,,701
Gray,1,0,489
Vinicius,1,0,258
Toffolo,1,2,444
Evans,1,0,371
Monga,1,,792
Cornet,1,0,515
Morato,1,,653
H.Clarke,1,0,266
J.Araujo,1,0,592
Coleman,1,0,221
Chilwell,1,0,160
A. Garcia,1,,731
Tomiyasu,1,0,22
Mubama,1,,698
Henderson,1,0,201
Mheuka,1,,781
Arrizabalaga,1,0,152
Lavia,1,0,174
Scarlett,1,0,500
Winterburn,1,,687
Boly,1,1,425
Igor,1,0,128
Amo-Ameyaw,1,1,451
Chiquinho,1,1,537
Moder,1,0,137
G.Nunes,1,,634
Godfrey,1,,715
J.Cuenca,1,0,586
Luongo,1,0,277
Cresswell,1,0,517
Fredricson,1,,777
Winks,1,0,309
Butler-Oyedeji,1,,665
Bella-Kotchap,1,0,456
Simpson-Pusey,1,,672
Khusanov,1,,732
McTominay,1,0,381
Grønbæk,1,,734
Jay Robinson,1,,798
Heaven,1,,658
I.Osman,1,0,127
Marsh,1,,676
Gross,1,0,125
Wilson-Esbrand,1,,675
Wright,1,,671
Bates,1,,678
Fitzgerald,1,,673
Lankshear,1,0,609
Brierley,1,0,87
Travers,1,0,84
Paulsen,1,0,75
Bettinelli,1,0,155
Bergström,1,0,154
B.Badiashile,1,0,153
Ângelo,1,0,151
Andrey Santos,1,0,150
Verbruggen,1,0,146
Nichols,1,,662
Jørgensen,1,0,581
Casadei,1,0,158
Konak,1,0,97
Alves,1,0,606
Trevitt,1,0,602
Moran,1,0,601
Dennis,1,0,599
Barco,1,0,116
Baker-Boaitey,1,0,114
Undav,1,0,143
Gilmour,1,0,124
Dahoud,1,0,119
Cozier-Duberry,1,0,118
Dixon,1,,627
Kaboré,1,,626
Begovic,1,,624
Rushworth,1,0,615
Metcalfe,1,0,614
Dasilva,1,0,90
Mepham,1,0,72
H.Traorè,1,0,67
Faivre,1,0,66
Swinkels,1,,640
Setford,1,,639
Oulad M'hand,1,,638
Meupiyou,1,,637
Hickey,1,0,93
Henry,1,0,92
Flekken,1,0,91
Raya,1,0,15
Genesis Antwi,1,,787
Benjamin Fredrick,1,,786
Echeverri,1,,785
Mané,1,,784
Graczyk,1,,783
Samuels-Smith,1,,782
Olabade Aluko,1,,796
Harry Howell,1,,795
Freddie Simmonds,1,,794
Casey,1,,643
Charlie Tasker,1,,791
Gower,1,,790
Neave,1,,789
Rodrigo,1,0,360
Ortega Moreno,1,0,358
João Cancelo,1,0,353
Tom Taylor,1,,800
Boniface,1,,799
Jake Evans,1,,797
Heaton,1,0,374
Hannibal,1,0,373
Jack Henry-Francis,1,,793
Kayi Sanda,1,,719
Yang,1,,717
Kinsky,1,,716
Soler,1,,713
Akinmboni,1,,712
Ajayi,1,,729
Silcott-Duberry,1,,728
McKenna,1,,727
Sherif,1,,724
Sadi,1,,723
Adu-Adjei,1,,722
Dobbin,1,0,37
Diaby,1,0,34
Dendoncker,1,0,33
Guardiola,1,,736
Arteta,1,,735
Vitor Reis,1,,733
Ramsdale,1,0,14
Marschall,1,0,46
Kesler-Hayden,1,0,43
Iling Jr,1,0,41
Hause,1,0,40
Gauci,1,0,39
Hennessey,1,,721
Rees-Dottin,1,,707
Abbott,1,,706
Arthur,1,,705
Brits,1,,704
Wheatley,1,,648
Rodney,1,,647
Agbinone,1,,646
Umeh-Chibueze,1,,644
Zanka,1,0,112
Zych,1,,641
Ji-soo,1,0,96
Bayindir,1,0,367
Jaros,1,,660
Kabia,1,,659
Kacurri,1,,657
Meghoma,1,,649
Cahill,1,,668
Fletcher,1,,667
Kporha,1,,666
Pond,1,,664
Samuels,1,,663
Yogane,1,,661
Mayers,1,,686
Slater,1,,685
Hardy,1,,684
Olusesi,1,,683
McConville,1,,681
Kinsey,1,,680
Broggio,1,,679
Cartwright,1,,694
O'Brien-Whitmarsh,1,,693
Nallo,1,,692
Wilson-Brown,1,,708
Amissah,1,,690
Williams-Barnett,1,,689
Nyoni,1,,688
Alleyne,1,,703
Harris,1,,702
Dorrington,1,,699
Rak-Sakyi,1,,695
Okoduwa,1,,711
Jimoh,1,,710
Danns,1,,709
Kukonki,1,,691
Panzo,1,0,441
N.Phillips,1,0,332
Morton,1,0,331
McConnell,1,0,330
Kelleher,1,0,325
Pellistri,1,0,384
J.Alvarez,1,0,352
Ederson M.,1,0,347
Carson,1,0,344
Sarmiento,1,0,141
R.Williams,1,0,334
Kuol,1,0,406
Hayden,1,0,400
Dúbravka,1,0,396
A.Murphy,1,0,390
Golding,1,0,292
Targett,1,0,416
Ruddy,1,0,414
Pope,1,0,413
Odysseas,1,0,412
Bobb,1,0,343
Souttar,1,0,303
Marcal,1,0,297
Iversen,1,0,294
Hermansen,1,0,293
Bowler,1,0,426
Doak,1,0,318
Clark,1,0,315
Bajcetic,1,0,312
A.Becker,1,0,310
Sels,1,0,443
O.Richards,1,0,438
Mighten,1,0,435
Danilo,1,0,429
Da Silva Moreira,1,0,428
C.Miguel,1,0,427
Baggott,1,0,261
Worrall,1,0,448
Ui-jo,1,0,446
Turner,1,0,445
Omobamidele,1,0,440
Cashin,1,,763
Cassanova,1,,760
Eyestone,1,,759
Knight,1,,758
Porter,1,,756
Hein,1,0,5
Fábio Vieira,1,0,1
Clarke,1,,801
Dermot Mee,1,,788
Lascelles,1,0,407
Iraola,1,,738
Malacia,1,0,379
Morgan,1,,780
Koné,1,,779
Moorhouse,1,,778
Coby Ebere,1,,775
Anselmino,1,,774
Heath,1,,773
Amougou,1,,771
Djiga,1,,769
Barrenechea,1,0,30
Emery,1,,737
Anthony,1,0,61
Aarons,1,0,59
Sousa,1,0,56
Sinisalo,1,0,55
Olsen,1,0,51
Nedeljkovic,1,0,50
Howe,1,,746
Amorim,1,,745
Slot,1,,744
Glasner,1,,741
Maresca,1,,740
Hürzeler,1,,739
Van Nistelrooy,1,,754
Silva,1,,753
Frank,1,,752
Pereira,1,,751
Potter,1,,750
Postecoglou,1,,749
Rusk,1,,748
Nuno,1,,747
Moyes,1,,742
Peupion,1,0,140
Offiah,1,0,139
O’Mahony,1,0,138
Mazilu,1,0,133
Areola,1,0,513
Ward,1,0,215
Ozoh,1,0,212
Matthews,1,0,209
B.Traore,1,0,534
Stolarczyk,1,0,304
N.Aguerd,1,0,529
Foderingham,1,0,522
Fabianski,1,0,521
Earthy,1,0,519
D.D.Fofana,1,0,164
Chukwuemeka,1,0,161
Cundle,1,0,540
Chiwome,1,0,539
Chirewa,1,0,538
Bentley,1,0,536
M.Sarr,1,0,176
Zouma,1,0,532
Valdimarsson,1,0,109
Toney,1,0,108
Peart-Harris,1,0,103
Onyeka,1,0,102
Fábio Silva,1,0,545
Ahamada,1,0,190
Sánchez,1,0,185
Petrović,1,0,183
Steele,1,0,142
