player_id,team_join_date
1,
2,2022-07-04
3,2020-09-01
4,2023-06-28
5,
6,2023-07-14
7,2023-01-31
8,2023-01-23
9,2019-07-15
12,2022-09-17
13,2021-08-20
15,2024-07-04
16,2023-07-15
17,2018-11-28
18,2019-07-25
20,2020-10-05
21,2019-08-08
22,2021-08-31
23,2023-01-20
24,2021-07-30
25,2022-07-22
73,2024-08-30
186,2024-08-30
578,2024-07-29
597,2022-12-04
633,2024-08-27
638,2021-10-25
639,2024-07-24
657,2024-09-14
659,2024-09-14
662,2024-07-24
665,2024-09-18
735,2019-12-22
756,2024-09-18
790,2024-07-24
793,2021-07-12
801,2025-05-02
28,2021-08-04
29,2024-07-01
30,
31,2021-06-10
32,2020-09-03
33,
34,
35,2022-06-10
36,2022-01-13
37,
38,2023-01-23
39,2024-02-01
40,2019-07-01
41,
42,2022-06-11
43,
44,2019-07-11
45,2024-06-28
46,
47,2020-09-16
48,2018-08-08
49,2019-07-08
50,2024-01-22
51,2022-06-10
52,2023-07-12
53,2019-02-12
54,2024-02-01
55,
56,
57,2023-06-14
58,2020-09-09
167,2025-02-03
233,2024-07-22
385,2025-02-02
598,2021-01-07
640,2021-01-07
641,2021-01-07
656,2022-12-10
679,2024-09-23
710,2024-09-23
725,2025-01-14
731,2025-01-21
737,2022-11-01
762,2025-02-03
59,2023-08-10
60,2023-08-20
61,
62,2018-07-01
63,2021-08-31
64,2016-07-08
65,2024-07-01
66,
67,
68,2022-01-05
69,2024-07-10
70,2023-07-20
71,2023-07-01
72,
74,2023-01-19
75,
76,2019-07-29
77,2023-08-10
78,2023-01-27
79,2022-08-08
80,2024-06-14
81,2014-01-28
83,2022-08-01
84,2018-07-01
85,2023-01-31
152,2024-08-29
580,2024-07-30
592,2024-08-13
599,2019-08-01
617,2024-08-16
680,2023-02-03
687,2024-11-29
702,2024-12-25
707,2024-12-28
712,2025-01-03
713,2025-01-07
722,2022-12-19
723,2022-08-22
727,2024-02-01
728,2025-01-17
738,2023-07-01
86,2021-07-21
87,
88,2023-07-04
89,2022-08-10
90,2018-08-21
91,2023-07-01
92,2016-08-31
93,2022-07-09
94,2020-10-03
95,2019-07-10
96,2023-07-20
97,2024-01-11
98,2022-07-12
99,2019-08-05
100,2022-07-21
101,2019-07-01
102,
103,
104,2019-07-02
105,2019-10-27
106,2023-07-01
107,2024-07-01
108,
109,2024-01-26
110,2021-08-10
111,2022-10-28
112,
314,2024-08-12
338,2024-08-22
602,2024-01-08
634,2024-08-28
649,2024-08-30
661,2024-07-19
674,2020-08-01
705,2024-03-08
752,2018-10-16
757,2025-01-24
759,2024-08-08
780,2024-07-19
786,2024-01-05
113,2022-06-24
114,
115,2023-08-29
116,
118,
119,
120,2009-07-01
122,2022-07-16
124,
125,
126,2022-12-30
127,
128,2023-07-26
129,2023-06-14
130,
131,2020-01-31
132,2012-07-01
133,
134,2023-07-01
135,2024-07-01
136,2021-08-09
137,2020-10-05
138,
139,
140,2022-08-23
141,
142,2018-07-01
143,
144,2020-09-10
145,2020-07-29
146,2023-07-03
147,2019-08-03
148,2020-10-18
149,2024-07-06
595,2024-08-14
600,2023-01-30
601,
615,2023-07-01
618,2024-08-19
628,2024-08-27
629,2024-08-26
663,2023-05-17
668,2024-08-24
681,2024-11-22
685,2024-11-28
714,2025-01-01
739,2024-06-15
758,2025-01-31
763,2025-01-31
791,2025-03-28
794,2024-07-01
795,2025-04-11
150,
151,
153,2023-01-05
154,2021-07-27
155,2021-07-28
157,2023-08-14
158,2022-08-19
159,2018-02-16
161,2022-08-04
162,2022-07-01
163,2022-08-05
164,2023-01-01
165,2023-08-24
166,2024-07-02
168,2023-01-31
169,
170,
171,2023-01-28
172,2019-05-15
173,2024-06-29
174,2023-08-18
175,
176,
177,2023-01-20
178,2024-07-01
179,2023-01-15
180,2023-07-01
181,2023-07-01
182,2023-09-01
183,
184,2024-07-12
185,2023-08-05
187,2024-07-01
189,2022-08-31
386,2024-08-30
560,2024-08-11
575,
581,2024-07-30
621,2024-08-21
695,2024-10-23
696,2024-04-15
697,2024-03-10
740,2024-06-03
771,2025-02-03
774,2024-08-08
781,2024-10-23
782,2023-08-28
787,2025-02-08
11,2024-08-30
160,2025-02-03
190,
193,2022-07-11
194,2022-07-27
195,2024-07-02
196,2020-10-14
197,2022-07-01
199,2020-08-28
200,2021-07-18
201,2023-08-31
202,2023-09-01
203,2021-08-28
205,2024-07-01
206,2023-07-01
207,2022-01-31
208,2023-08-05
209,2021-07-13
210,2019-12-15
211,2024-01-30
212,
213,
214,2017-01-13
215,2012-05-29
216,2024-02-01
445,2024-08-30
585,2024-08-01
644,2024-02-18
645,2024-03-13
646,2024-07-30
647,2022-07-08
650,2024-08-30
666,2024-07-30
676,2023-07-18
730,2025-01-18
741,2024-02-20
156,2024-08-30
217,2020-09-08
218,2023-08-29
219,2020-06-20
220,2016-10-01
221,2009-02-02
222,2022-09-01
223,2022-09-01
224,2023-08-14
225,
226,2024-06-22
227,2018-08-27
228,2017-07-03
229,
230,2022-07-28
231,2022-01-01
232,2024-07-03
234,2022-01-04
235,2017-07-01
236,2022-07-01
237,2023-08-11
238,2023-07-13
450,2025-02-03
577,2024-07-26
582,2024-07-30
603,2024-08-09
614,
624,2024-08-23
627,2024-08-09
651,2024-08-30
678,2024-11-08
724,2024-09-16
742,2025-01-11
773,2025-02-07
775,2025-02-14
803,2021-04-11
10,2024-08-30
19,2024-08-02
191,2024-08-23
239,2023-08-12
240,2022-07-11
241,2023-07-28
242,2023-08-30
243,2015-07-07
244,2023-08-29
245,2022-08-10
246,
247,2023-09-01
248,2022-08-02
249,2023-01-31
250,
251,2021-08-20
252,2023-07-25
253,
254,2020-08-30
255,2020-08-20
256,
257,2020-09-10
258,2022-09-01
259,2021-07-24
579,2024-07-26
586,2024-08-03
604,2024-02-02
605,2022-08-22
622,2024-08-22
690,2023-07-19
753,2021-07-01
772,2025-02-06
121,2025-01-23
260,2024-01-29
261,
262,2023-01-09
263,2021-08-15
264,2021-06-09
265,2021-07-27
266,2023-01-19
267,2022-07-25
268,2024-07-13
269,2021-07-27
270,2024-07-12
271,
272,2023-07-13
273,
274,2024-07-01
275,2024-07-01
276,
277,2023-01-05
278,2021-08-31
279,
280,2023-07-08
281,2023-06-26
282,2023-09-08
283,2022-01-19
284,2017-08-07
359,2024-08-16
568,2024-07-17
569,2025-01-15
583,2024-08-01
611,2024-08-16
619,2024-08-19
630,2024-08-25
631,2024-08-24
632,2024-08-28
715,2025-01-05
743,2021-12-16
764,2025-02-03
799,2025-04-19
800,2025-03-02
117,2024-08-10
192,2024-08-23
198,2024-08-30
285,2021-07-02
286,2023-09-01
287,2017-09-18
288,2023-07-01
289,2021-07-01
290,2024-07-05
291,2022-09-01
292,2024-07-07
293,2023-07-18
294,2019-07-15
295,2019-06-28
296,2023-01-20
297,
298,2023-07-31
299,2021-12-01
300,2017-01-03
301,2024-07-09
302,2018-06-09
303,2023-01-31
304,2020-09-04
305,2020-07-15
306,2012-07-01
307,2021-08-13
308,2018-07-20
309,2023-07-01
501,2024-08-19
570,2024-07-16
606,2024-02-09
616,
635,2024-08-29
694,2024-12-13
708,2022-07-08
726,2025-01-15
754,2024-12-01
792,2025-02-06
796,2025-04-11
797,2025-04-11
802,2025-05-24
310,2018-07-19
311,2015-07-01
312,
313,2023-09-25
315,
316,2022-06-14
317,2020-09-19
318,
319,2019-07-28
320,2023-08-18
321,2023-01-01
322,2015-06-20
323,2023-09-01
324,2018-04-06
325,2016-08-06
326,2021-07-01
327,2022-01-30
328,2017-07-01
329,2023-06-14
330,2023-07-18
331,2021-07-22
332,
333,2021-12-18
334,2020-09-23
335,2017-07-21
336,2023-07-02
337,2020-08-10
339,2018-01-01
636,2024-08-29
660,2019-07-10
669,2021-03-09
688,2023-11-11
692,2024-02-27
709,2024-02-20
744,2024-06-01
340,2022-09-01
341,2020-08-05
342,2017-07-01
343,2022-01-06
344,2021-07-20
345,2015-08-30
346,2023-08-24
347,2017-07-01
348,2016-12-05
349,2021-08-05
350,2023-08-05
351,2022-07-01
352,
353,
354,2023-06-27
355,2022-07-16
356,2023-09-01
357,2021-07-26
358,2022-07-01
360,2019-07-04
361,2020-09-29
362,2016-08-09
363,2017-07-14
571,2024-07-18
607,2022-12-16
625,2024-08-23
626,
671,2024-01-06
672,2024-07-23
675,2021-09-17
698,2024-12-15
703,2022-12-16
704,2024-12-25
732,2025-01-20
733,2025-01-21
736,2016-07-01
755,2025-01-23
765,2025-02-03
785,2024-01-25
364,2021-01-07
365,2022-09-01
366,2020-01-30
367,2023-09-01
368,2022-08-22
369,2018-06-08
370,2022-07-15
371,2023-07-18
372,2022-04-15
373,
374,2021-07-02
375,2023-08-05
376,2017-07-01
377,2019-08-05
378,2022-10-15
379,2022-07-05
380,2022-07-17
381,
382,2023-07-05
