web_name,gw,npg,player_id
Isak,1,0.0,401
M.Salah,1,1.0,328
Haaland,1,1.0,351
Wood,1,1.0,447
Wissa,1,1.0,110
Cunha,1,0.0,541
Mbeumo,1,1.0,99
Strand Larsen,1,0.0,566
Watkins,1,0.0,58
Mateta,1,0.0,207
Luis Díaz,1,0.0,327
Johnson,1,0.0,275
Palmer,1,0.0,182
N.Jackson,1,0.0,180
Delap,1,0.0,268
Mitoma,1,1.0,136
Maddison,1,0.0,494
Barnes,1,0.0,392
Gakpo,1,0.0,321
Havertz,1,1.0,4
Iwobi,1,0.0,247
Evanilson,1,,617
Semenyo,1,1.0,78
Welbeck,1,1.0,148
Souček,1,0.0,530
Bowen,1,0.0,514
Schade,1,0.0,106
Solanke,1,0.0,82
Rogers,1,0.0,54
Muniz,1,0.0,251
Trossard,1,0.0,23
J.Murphy,1,0.0,402
O.Dango,1,0.0,74
Kulusevski,1,0.0,492
I.Sarr,1,0.0,585
Duran,1,1.0,38
Foden,1,0.0,348
Martinelli,1,0.0,9
Madueke,1,0.0,177
Raúl,1,0.0,252
Smith Rowe,1,0.0,19
Diogo J.,1,1.0,317
Vardy,1,1.0,306
Marmoush,1,,755
Amad,1,0.0,364
Merino,1,,633
Kluivert,1,0.0,71
Beto,1,0.0,218
Son,1,0.0,503
Kovačić,1,1.0,354
Elanga,1,0.0,432
Enzo,1,0.0,168
B.Fernandes,1,0.0,366
Hudson-Odoi,1,0.0,434
Rashford,1,0.0,385
Nørgaard,1,0.0,101
João Pedro,1,0.0,129
Minteh,1,0.0,135
Georginio,1,,618
Darwin,1,0.0,316
Gvardiol,1,0.0,350
Szoboszlai,1,0.0,336
Mac Allister,1,0.0,329
Garnacho,1,0.0,372
Gibbs-White,1,0.0,433
Gordon,1,0.0,398
Wilson,1,0.0,259
Ndiaye,1,0.0,232
Saka,1,1.0,17
Neto,1,0.0,73
Kudus,1,0.0,525
Onuachu,1,0.0,470
Milenković,1,0.0,573
Aït-Nouri,1,0.0,533
Richarlison,1,0.0,497
Bruno G.,1,0.0,394
Joelinton,1,1.0,403
Thomas,1,0.0,20
Eze,1,0.0,199
Nwaneri,1,0.0,12
Mavididi,1,0.0,298
Schär,1,0.0,415
Muñoz,1,0.0,211
Buonanotte,1,0.0,117
Sessegnon,1,0.0,579
Højlund,1,0.0,375
Cucurella,1,0.0,163
Szmodics,1,0.0,611
Bernardo,1,0.0,342
McAtee,1,0.0,357
A.Doucoure,1,0.0,217
Jones,1,0.0,324
Nkunku,1,0.0,181
J.Ayew,1,0.0,192
Sancho,1,0.0,386
Zirkzee,1,1.0,389
Guéhi,1,0.0,200
Calvert-Lewin,1,0.0,220
Hutchinson,1,0.0,274
Barkley,1,0.0,29
Malen,1,,725
Chalobah,1,0.0,159
P.M.Sarr,1,0.0,499
J.Gomes,1,0.0,553
Jota Silva,1,0.0,596
Aribo,1,0.0,452
Baleba,1,0.0,115
Sarabia,1,0.0,565
Tonali,1,0.0,417
Füllkrug,1,0.0,589
Tavernier,1,0.0,83
