web_name,gw,shots,player_id
M.Salah,1,4.0,328
Semenyo,1,5.0,78
Palmer,1,2.0,182
Haaland,1,2.0,351
Cunha,1,1.0,541
Eze,1,7.0,199
Isak,1,0.0,401
Raúl,1,0.0,252
B.Fernandes,1,6.0,366
Garnacho,1,2.0,372
Watkins,1,0.0,58
Wissa,1,2.0,110
Bowen,1,0.0,514
Mbeumo,1,1.0,99
N.Jackson,1,1.0,180
Madueke,1,0.0,177
Kudus,1,2.0,525
Trossard,1,0.0,23
Luis Díaz,1,3.0,327
Delap,1,0.0,268
Szoboszlai,1,4.0,336
Evanilson,1,0.0,617
O.Dango,1,1.0,74
Iwobi,1,1.0,247
Mateta,1,0.0,207
Solanke,1,3.0,82
Kluivert,1,0.0,71
Gordon,1,0.0,398
Wood,1,1.0,447
Saka,1,5.0,17
Son,1,1.0,503
Mitoma,1,4.0,136
Savinho,1,0.0,571
Strand Larsen,1,1.0,566
Gibbs-White,1,2.0,433
Johnson,1,2.0,275
Barnes,1,0.0,392
Rogers,1,2.0,54
Welbeck,1,2.0,148
Foden,1,0.0,348
Vardy,1,2.0,306
Havertz,1,5.0,4
Neto,1,1.0,73
Georginio,1,0.0,618
Souček,1,5.0,530
Gakpo,1,0.0,321
Enzo,1,3.0,168
Tavernier,1,5.0,83
I.Sarr,1,0.0,585
De Bruyne,1,2.0,345
João Pedro,1,1.0,129
Calvert-Lewin,1,0.0,220
Diogo J.,1,3.0,317
Martinelli,1,1.0,9
Kulusevski,1,0.0,492
Schade,1,1.0,106
Joelinton,1,2.0,403
Alexander-Arnold,1,1.0,311
Ødegaard,1,1.0,13
Rice,1,1.0,16
J.Murphy,1,0.0,402
Muniz,1,2.0,251
Enciso,1,0.0,121
Baleba,1,0.0,115
Amad,1,0.0,364
L.Paquetá,1,1.0,527
Maddison,1,1.0,494
Bruno G.,1,0.0,394
M.Fernandes,1,0.0,623
Mac Allister,1,2.0,329
Elanga,1,1.0,432
Kovačić,1,2.0,354
Pedro Porro,1,1.0,495
Hudson-Odoi,1,2.0,434
Tielemans,1,2.0,57
Gvardiol,1,1.0,350
Andreas,1,0.0,240
Marmoush,1,0.0,755
Nketiah,1,0.0,11
Adama,1,3.0,239
Hutchinson,1,3.0,274
Anderson,1,0.0,423
Beto,1,0.0,218
Rashford,1,0.0,385
Smith Rowe,1,0.0,19
Buonanotte,1,0.0,117
Nørgaard,1,0.0,101
Ndiaye,1,0.0,232
N.Williams,1,1.0,437
Christie,1,0.0,63
J.Gomes,1,0.0,553
Onuachu,1,0.0,470
Damsgaard,1,0.0,89
Aït-Nouri,1,1.0,533
Yates,1,3.0,449
Merino,1,0.0,633
Muñoz,1,0.0,211
Darwin,1,0.0,316
Jones,1,0.0,324
Duran,1,2.0,38
P.M.Sarr,1,1.0,499
Tonali,1,0.0,417
A.Doucoure,1,1.0,217
Wilson,1,0.0,259
Schär,1,1.0,415
Bernardo,1,2.0,342
Lindstrøm,1,0.0,577
Dibling,1,0.0,608
J.Ayew,1,1.0,192
Minteh,1,0.0,135
Casemiro,1,3.0,368
Bailey,1,3.0,28
Archer,1,2.0,27
Zirkzee,1,1.0,389
Lewis-Potter,1,0.0,98
Harrison,1,3.0,224
Gana,1,1.0,222
Milenković,1,0.0,573
Armstrong,1,5.0,603
Mavididi,1,0.0,298
Adingra,1,2.0,113
McGinn,1,2.0,48
Lacroix,1,0.0,650
Højlund,1,0.0,375
Nkunku,1,1.0,181
Kamaldeen,1,0.0,462
Ayari,1,0.0,600
Gündogan,1,0.0,625
Justin,1,1.0,295
Lerma,1,0.0,206
Doku,1,2.0,346
C.Soler,1,0.0,654
Tete,1,2.0,257
Thomas,1,1.0,20
Dalot,1,0.0,369
Sancho,1,0.0,386
Murillo,1,0.0,436
Virgil,1,0.0,339
McNeil,1,0.0,230
El Khannouss,1,0.0,635
Cucurella,1,0.0,163
Gabriel,1,1.0,3
Nwaneri,1,0.0,12
Gusto,1,0.0,171
Brooks,1,0.0,62
Jota Silva,1,0.0,596
Estupiñan,1,0.0,122
Bentancur,1,3.0,480
Szmodics,1,0.0,611
G.Jesus,1,0.0,2
Ndidi,1,2.0,300
Walker-Peters,1,2.0,476
Alcaraz,1,1.0,450
João Félix,1,0.0,621
O'Riley,1,0.0,629
Bellegarde,1,1.0,535
Antonio,1,2.0,512
Guedes,1,0.0,548
Enes Ünal,1,0.0,65
O'Shea,1,0.0,630
M.Asensio,1,0.0,762
Tel,1,0.0,768
Harwood-Bellis,1,0.0,461
Jaden,1,1.0,569
Hughes,1,0.0,203
Dominguez,1,0.0,431
Caicedo,1,1.0,157
Mavropanos,1,1.0,528
Burn,1,0.0,395
Gravenberch,1,0.0,323
Ugarte,1,0.0,652
De Ligt,1,0.0,593
Konaté,1,0.0,326
Ramsey,1,1.0,53
Kerkez,1,0.0,70
Martinez,1,0.0,47
Chalobah,1,0.0,159
Aribo,1,1.0,452
Rúben,1,0.0,361
Mario Jr.,1,0.0,557
Collins,1,1.0,88
Kamada,1,0.0,205
Taylor,1,1.0,281
Sarabia,1,1.0,565
Onana,1,1.0,233
Andersen,1,1.0,191
Willock,1,0.0,420
Colwill,1,0.0,162
Huijsen,1,0.0,580
Van Hecke,1,0.0,144
Emerson,1,1.0,520
Robinson,1,0.0,255
Romero,1,1.0,498
Mangala,1,0.0,651
Maatsen,1,0.0,45
Grealish,1,0.0,349
Van den Berg,1,0.0,338
Wan-Bissaka,1,0.0,388
Richarlison,1,1.0,497
N.Semedo,1,0.0,559
Daka,1,0.0,289
Munetsi,1,0.0,770
Barkley,1,0.0,29
Lukić,1,0.0,249
Tarkowski,1,1.0,236
Hinshelwood,1,0.0,126
Bassey,1,2.0,241
Summerville,1,0.0,587
Cook,1,0.0,64
Janelt,1,2.0,94
J.Clarke,1,0.0,631
J.Timber,1,1.0,6
Davis,1,0.0,267
Ings,1,1.0,523
Guéhi,1,0.0,200
A.Fatawu,1,0.0,570
Füllkrug,1,0.0,589
Sugawara,1,0.0,474
Mazraoui,1,0.0,594
Robertson,1,0.0,335
Digne,1,0.0,36
Mainoo,1,1.0,378
Sinisterra,1,2.0,80
Scott,1,0.0,77
Sessegnon,1,0.0,579
Ferguson,1,0.0,123
Chaplin,1,0.0,265
Maguire,1,0.0,377
Malen,1,0.0,725
Mykolenko,1,0.0,231
Dunk,1,1.0,120
Carvalho,1,0.0,314
McAtee,1,0.0,357
Tosin,1,0.0,187
Wharton,1,3.0,216
Sosa,1,0.0,620
Faes,1,0.0,291
Kilman,1,0.0,524
Mitchell,1,1.0,210
Brereton Díaz,1,2.0,584
Elliott,1,0.0,319
Bergvall,1,1.0,481
Nelson,1,0.0,10
Hall,1,0.0,399
Álvarez,1,0.0,511
Cash,1,0.0,32
Mount,1,1.0,382
Odobert,1,0.0,612
Bissouma,1,0.0,482
Akanji,1,0.0,340
Spence,1,0.0,504
C.Richards,1,0.0,194
Zabarnyi,1,0.0,85
Pinnock,1,1.0,104
Winks,1,0.0,309
Broadhead,1,0.0,262
Cajuste,1,0.0,619
Downes,1,1.0,518
Doherty,1,2.0,543
Calafiori,1,0.0,578
Lewis,1,0.0,355
Phillips,1,0.0,359
Awoniyi,1,1.0,424
Eriksen,1,0.0,370
Sterling,1,0.0,186
Morsy,1,0.0,278
Mings,1,0.0,49
Dorgu,1,0.0,766
Aina,1,1.0,422
Doyle,1,0.0,544
Ugochukwu,1,0.0,188
Yarmoliuk,1,0.0,111
Burgess,1,0.0,263
Hirst,1,0.0,272
Bradley,1,2.0,313
Konsa,1,1.0,44
Ward-Prowse,1,0.0,531
James,1,0.0,172
McAteer,1,1.0,299
Greaves,1,2.0,270
Werner,1,0.0,509
Adams,1,0.0,60
André,1,0.0,642
Devenny,1,0.0,645
Ajer,1,1.0,86
Pau,1,0.0,52
Keane,1,1.0,228
Wieffer,1,0.0,149
Branthwaite,1,0.0,219
Castagne,1,0.0,244
G.Rodríguez,1,1.0,588
N.Gonzalez,1,0.0,765
De Cordova-Reid,1,1.0,290
Garner,1,0.0,223
B.Soumaré,1,0.0,285
Burns,1,0.0,264
Kamara,1,0.0,42
Willian,1,0.0,772
Matheus N.,1,0.0,356
Manning,1,0.0,467
Johnson,1,0.0,275
Toti,1,0.0,567
C.Doucouré,1,0.0,193
White,1,2.0,24
Danso,1,0.0,767
Longstaff,1,0.0,410
Saliba,1,0.0,18
Van de Ven,1,0.0,506
Jensen,1,0.0,95
Agbadou,1,0.0,720
Young,1,0.0,656
Almirón,1,0.0,391
Smallbone,1,4.0,471
O’Reilly,1,0.0,607
Antony,1,0.0,365
Alex Moreno,1,0.0,26
Zinchenko,1,0.0,25
Hill,1,0.0,68
Lamptey,1,0.0,131
R.Gomes,1,1.0,563
S.Bueno,1,0.0,564
Veltman,1,0.0,145
Philip,1,0.0,76
Dragusin,1,0.0,486
Cairney,1,0.0,243
Iroegbunam,1,2.0,226
Hee Chan,1,0.0,550
O'Brien,1,0.0,582
Buendia,1,0.0,31
Walker,1,0.0,363
Edouard,1,1.0,198
Livramento,1,0.0,409
Udogie,1,0.0,505
Davies,1,0.0,669
Gómez,1,0.0,714
Wilson,1,0.0,259
Dawson,1,0.0,542
Bednarek,1,0.0,455
Roerslev,1,0.0,105
Yoro,1,0.0,572
Diop,1,0.0,245
Coufal,1,0.0,516
Schlupp,1,0.0,214
Skipp,1,0.0,501
Tsimikas,1,0.0,337
Diego Carlos,1,0.0,35
F.Kadıoğlu,1,0.0,628
Chiesa,1,0.0,636
Okoli,1,0.0,301
Gruda,1,0.0,595
Disasi,1,0.0,167
Tuanzebe,1,1.0,282
Stephens,1,0.0,472
Irving,1,0.0,576
Broja,1,0.0,156
Al-Hamadi,1,0.0,260
Bree,1,0.0,457
Todibo,1,0.0,591
Scarles,1,0.0,677
Miley,1,0.0,411
Aké,1,0.0,341
Gomez,1,0.0,714
Kelly,1,0.0,404
George,1,0.0,696
Welington,1,0.0,718
Smith,1,0.0,81
M.França,1,0.0,208
Lallana,1,0.0,463
Y. Chermiti,1,0.0,237
W.Fofana,1,1.0,189
Reed,1,0.0,254
Stewart,1,0.0,473
Vestergaard,1,0.0,307
Thomas,1,0.0,20
Renato Veiga,1,0.0,184
Osula,1,0.0,590
L.Guilherme,1,0.0,526
Cresswell,1,0.0,517
Kristiansen,1,0.0,296
Trippier,1,0.0,418
Moore,1,0.0,610
Kiwior,1,0.0,8
A. Garcia,1,0.0,731
Grønbæk,1,0.0,734
Milner,1,0.0,134
Berge,1,0.0,622
Jebbison,1,0.0,69
Jorginho,1,0.0,7
Ricardo,1,0.0,302
Stones,1,0.0,362
Wood,1,0.0,447
