web_name,gw,tpa,player_id
M.Salah,1,10.0,328
Semenyo,1,5.0,78
Isak,1,2.0,401
Haaland,1,2.0,351
Garnacho,1,3.0,372
Martinelli,1,10.0,9
Madueke,1,0.0,177
Mitoma,1,7.0,136
Watkins,1,1.0,58
Kulusevski,1,8.0,492
Luis Díaz,1,9.0,327
Savinho,1,3.0,571
Mbeumo,1,1.0,99
Raúl,1,0.0,252
Bowen,1,0.0,514
N.Jackson,1,5.0,180
Wissa,1,4.0,110
Saka,1,12.0,17
Trossard,1,0.0,23
Rogers,1,3.0,54
Palmer,1,1.0,182
O.Dango,1,3.0,74
Bernardo,1,5.0,342
Schade,1,2.0,106
Doku,1,8.0,346
Gordon,1,1.0,398
João Pedro,1,3.0,129
Minteh,1,3.0,135
Johnson,1,7.0,275
I.Sarr,1,0.0,585
Kudus,1,6.0,525
Son,1,10.0,503
Cunha,1,1.0,541
Solanke,1,8.0,82
Kluivert,1,3.0,71
Evanilson,1,0.0,617
Amad,1,3.0,364
Sancho,1,0.0,386
Iwobi,1,4.0,247
Strand Larsen,1,4.0,566
Havertz,1,9.0,4
Ødegaard,1,4.0,13
Vardy,1,3.0,306
Neto,1,2.0,73
Szoboszlai,1,4.0,336
Barnes,1,0.0,392
Souček,1,7.0,530
Elanga,1,1.0,432
Welbeck,1,3.0,148
Diogo J.,1,10.0,317
Muñoz,1,3.0,211
Wood,1,3.0,447
Gakpo,1,3.0,321
Adama,1,4.0,239
Gvardiol,1,2.0,350
Eze,1,6.0,199
Mateta,1,2.0,207
Delap,1,3.0,268
Joelinton,1,3.0,403
Calvert-Lewin,1,3.0,220
Gibbs-White,1,3.0,433
Aït-Nouri,1,0.0,533
J.Murphy,1,0.0,402
Georginio,1,0.0,618
Foden,1,0.0,348
Ndiaye,1,1.0,232
Merino,1,0.0,633
Maddison,1,6.0,494
Bruno G.,1,0.0,394
Rice,1,3.0,16
B.Fernandes,1,3.0,366
Hutchinson,1,3.0,274
Enzo,1,6.0,168
Grealish,1,0.0,349
Damsgaard,1,0.0,89
Hudson-Odoi,1,3.0,434
Bailey,1,3.0,28
Cucurella,1,1.0,163
Robinson,1,1.0,255
Dalot,1,0.0,369
Lewis-Potter,1,0.0,98
