web_name,gw,shots
M.Salah,1,4
Semenyo,1,5
Palmer,1,2
Haaland,1,2
Cunha,1,1
Eze,1,7
Isak,1,0
Raúl,1,0
B.Fernandes,1,6
Garnacho,1,2
Watkins,1,0
Wissa,1,2
Bowen,1,0
Mbeumo,1,1
N.Jackson,1,1
Madueke,1,0
Kudus,1,2
Trossard,1,0
Luis Díaz,1,3
Delap,1,0
Szoboszlai,1,4
Evanilson,1,
O.Dango,1,1
Iwobi,1,1
Mateta,1,0
Solanke,1,3
Kluivert,1,0
Gordon,1,0
Wood,1,1
Saka,1,5
Son,1,1
Mitoma,1,4
Savinho,1,0
Strand Larsen,1,1
Gibbs-White,1,2
Johnson,1,2
Barnes,1,0
Rogers,1,2
Welbeck,1,2
Foden,1,0
Vardy,1,2
Havertz,1,5
Neto,1,1
Georginio,1,
Souček,1,5
Gakpo,1,0
Enzo,1,3
Tavernier,1,5
I.Sarr,1,0
De Bruyne,1,2
João Pedro,1,1
Calvert-Lewin,1,0
Diogo J.,1,3
Martinelli,1,1
Kulusevski,1,0
Schade,1,1
Joelinton,1,2
Alexander-Arnold,1,1
Ødegaard,1,1
Rice,1,1
J.Murphy,1,0
Muniz,1,2
Enciso,1,0
Baleba,1,0
Amad,1,0
L.Paquetá,1,1
Maddison,1,1
Bruno G.,1,0
M.Fernandes,1,
Mac Allister,1,2
Elanga,1,1
Kovačić,1,2
Pedro Porro,1,1
Hudson-Odoi,1,2
Tielemans,1,2
Gvardiol,1,1
Andreas,1,0
Marmoush,1,
Nketiah,1,0
Adama,1,3
Hutchinson,1,3
Anderson,1,0
Beto,1,0
Rashford,1,0
Smith Rowe,1,0
Buonanotte,1,0
Nørgaard,1,0
Ndiaye,1,0
N.Williams,1,1
Christie,1,0
J.Gomes,1,0
Onuachu,1,0
Damsgaard,1,0
Aït-Nouri,1,1
Yates,1,3
Merino,1,
Muñoz,1,0
Darwin,1,0
Jones,1,0
Duran,1,2
P.M.Sarr,1,1
Tonali,1,0
A.Doucoure,1,1
Wilson,1,0
Schär,1,1
Bernardo,1,2
Lindstrøm,1,0
Dibling,1,0
J.Ayew,1,1
Minteh,1,0
Casemiro,1,3
Bailey,1,3
Archer,1,2
Zirkzee,1,1
Lewis-Potter,1,0
Harrison,1,3
Gana,1,1
Milenković,1,0
Armstrong,1,5
Mavididi,1,0
Adingra,1,2
McGinn,1,2
Lacroix,1,
Højlund,1,0
Nkunku,1,1
Kamaldeen,1,0
Ayari,1,0
Gündogan,1,
Justin,1,1
Lerma,1,0
Doku,1,2
C.Soler,1,
Tete,1,2
Thomas,1,1
Dalot,1,0
Sancho,1,0
Murillo,1,0
Virgil,1,0
McNeil,1,0
El Khannouss,1,
Cucurella,1,0
Gabriel,1,1
Nwaneri,1,0
Gusto,1,0
Brooks,1,0
Jota Silva,1,0
Estupiñan,1,0
Bentancur,1,3
Szmodics,1,0
G.Jesus,1,0
Ndidi,1,2
Walker-Peters,1,2
Alcaraz,1,1
João Félix,1,
O'Riley,1,
Bellegarde,1,1
Antonio,1,2
Guedes,1,0
Enes Ünal,1,0
O'Shea,1,
M.Asensio,1,
Tel,1,
Harwood-Bellis,1,0
Jaden,1,1
Hughes,1,0
Dominguez,1,0
Caicedo,1,1
Mavropanos,1,1
Burn,1,0
Gravenberch,1,0
Ugarte,1,
De Ligt,1,0
Konaté,1,0
Ramsey,1,1
Kerkez,1,0
Martinez,1,0
Chalobah,1,0
Aribo,1,1
Rúben,1,0
Mario Jr.,1,0
Collins,1,1
Kamada,1,0
Taylor,1,1
Sarabia,1,1
Onana,1,1
Andersen,1,1
Willock,1,0
Colwill,1,0
Huijsen,1,0
Van Hecke,1,0
Emerson,1,1
Robinson,1,0
Romero,1,1
Mangala,1,
Maatsen,1,0
Grealish,1,0
Van den Berg,1,0
Wan-Bissaka,1,0
Richarlison,1,1
N.Semedo,1,0
Daka,1,0
Munetsi,1,
Barkley,1,0
Lukić,1,0
Tarkowski,1,1
Hinshelwood,1,0
Bassey,1,2
Summerville,1,0
Cook,1,0
Janelt,1,2
J.Clarke,1,
J.Timber,1,1
Davis,1,0
Ings,1,1
Guéhi,1,0
A.Fatawu,1,0
Füllkrug,1,0
Sugawara,1,0
Mazraoui,1,0
Robertson,1,0
Digne,1,0
Mainoo,1,1
Sinisterra,1,2
Scott,1,0
Sessegnon,1,0
Ferguson,1,0
Chaplin,1,0
Maguire,1,0
Malen,1,
Mykolenko,1,0
Dunk,1,1
Carvalho,1,0
McAtee,1,0
Tosin,1,0
Wharton,1,3
Sosa,1,
Faes,1,0
Kilman,1,0
Mitchell,1,1
Brereton Díaz,1,2
Elliott,1,0
Bergvall,1,1
Nelson,1,0
Hall,1,0
Álvarez,1,0
Cash,1,0
Mount,1,1
Odobert,1,0
Bissouma,1,0
Akanji,1,0
Spence,1,0
C.Richards,1,0
Zabarnyi,1,0
Pinnock,1,1
Winks,1,0
Broadhead,1,0
Cajuste,1,
Downes,1,1
Doherty,1,2
Calafiori,1,0
Lewis,1,0
Phillips,1,0
Awoniyi,1,1
Eriksen,1,0
Sterling,1,0
Morsy,1,0
Mings,1,0
Dorgu,1,
Aina,1,1
Doyle,1,0
Ugochukwu,1,0
Yarmoliuk,1,0
Burgess,1,0
Hirst,1,0
Bradley,1,2
Konsa,1,1
Ward-Prowse,1,0
James,1,0
McAteer,1,1
Greaves,1,2
Werner,1,0
Adams,1,0
André,1,
Devenny,1,
Ajer,1,1
Pau,1,0
Keane,1,1
Wieffer,1,0
Branthwaite,1,0
Castagne,1,0
G.Rodríguez,1,1
N.Gonzalez,1,
De Cordova-Reid,1,1
Garner,1,0
B.Soumaré,1,0
Burns,1,0
Kamara,1,0
Willian,1,
Matheus N.,1,0
Manning,1,0
Johnson,1,0
Toti,1,0
C.Doucouré,1,0
White,1,2
Danso,1,
Longstaff,1,0
Saliba,1,0
Van de Ven,1,0
Jensen,1,0
Agbadou,1,
Young,1,0
Almirón,1,0
Smallbone,1,4
O’Reilly,1,0
Antony,1,0
Alex Moreno,1,0
Zinchenko,1,0
Hill,1,0
Lamptey,1,0
R.Gomes,1,1
S.Bueno,1,0
Veltman,1,0
Philip,1,0
Dragusin,1,0
Cairney,1,0
Iroegbunam,1,2
Hee Chan,1,0
O'Brien,1,0
Buendia,1,0
Walker,1,0
Edouard,1,1
Livramento,1,0
Udogie,1,0
Davies,1,0
Gómez,1,
Wilson,1,0
Dawson,1,0
Bednarek,1,0
Roerslev,1,0
Yoro,1,0
Diop,1,0
Coufal,1,0
Schlupp,1,0
Skipp,1,0
Tsimikas,1,0
Diego Carlos,1,0
F.Kadıoğlu,1,
Chiesa,1,
Okoli,1,0
Gruda,1,0
Disasi,1,0
Tuanzebe,1,1
Stephens,1,0
Irving,1,0
Broja,1,0
Al-Hamadi,1,0
Bree,1,0
Todibo,1,0
Scarles,1,
Miley,1,0
Aké,1,0
Gomez,1,0
Kelly,1,0
George,1,
Welington,1,
Smith,1,0
M.França,1,0
Lallana,1,0
Y. Chermiti,1,0
W.Fofana,1,1
Reed,1,0
Stewart,1,0
Vestergaard,1,0
Thomas,1,0
Renato Veiga,1,0
Osula,1,0
L.Guilherme,1,0
Cresswell,1,0
Kristiansen,1,0
Trippier,1,0
Moore,1,0
Kiwior,1,0
A. Garcia,1,
Grønbæk,1,
Milner,1,0
Berge,1,
Jebbison,1,0
Jorginho,1,0
Ricardo,1,0
Stones,1,0
Wood,1,0
Coulibaly,1,
Acheampong,1,
March,1,0
Chilwell,1,0
Obi,1,
Clyne,1,0
Lewis-Skelly,1,0
Forbs,1,
Morato,1,
Mosquera,1,0
Toffolo,1,1
Dewsbury-Hall,1,0
Coady,1,0
Sangaré,1,0
Lavia,1,0
Reguilón,1,0
Cornet,1,0
Mheuka,1,
Senesi,1,0
McTominay,1,0
Evans,1,0
Boly,1,1
Scarlett,1,0
Butler-Oyedeji,1,
Bella-Kotchap,1,0
Maghoma,1,
Amo-Ameyaw,1,1
Vinicius,1,0
Agbinone,1,
Gray,1,0
Henderson,1,0
Patterson,1,0
Collyer,1,0
Igor,1,0
H.Clarke,1,0
Mubama,1,
Gilmour,1,0
Quansah,1,0
Woolfenden,1,0
Orford,1,
Amass,1,
Webster,1,0
Tierney,1,0
Tomiyasu,1,0
King,1,0
Khusanov,1,
Pedro Lima,1,0
