web_name,gw,npxgi,player_id
M.Salah,1,1.2,328
Haaland,1,0.3,351
Palmer,1,0.2,182
Isak,1,0.2,401
Wissa,1,1.0,110
Watkins,1,0.0,58
I.Sarr,1,0.0,585
N.Jackson,1,0.9,180
Semenyo,1,0.4,78
Cunha,1,0.2,541
Mbeumo,1,0.4,99
Luis Díaz,1,0.8,327
B.Fernandes,1,1.0,366
O.Dango,1,0.4,74
Mitoma,1,1.1,136
Solanke,1,0.4,82
Rogers,1,0.4,54
J.Murphy,1,0.0,402
Enzo,1,0.2,168
Bowen,1,0.1,514
Son,1,0.2,503
Eze,1,0.4,199
Mateta,1,0.0,207
Trossard,1,0.0,23
Saka,1,0.8,17
Havertz,1,0.5,4
Szoboszlai,1,0.6,336
Madueke,1,0.0,177
Johnson,1,0.3,275
Evanilson,1,,617
Wood,1,0.7,447
De Bruyne,1,0.1,345
Strand Larsen,1,0.1,566
Savinho,1,0.2,571
Raúl,1,0.0,252
Vardy,1,0.8,306
Martinelli,1,0.4,9
Garnacho,1,1.0,372
Gordon,1,0.0,398
Schade,1,0.1,106
Iwobi,1,0.0,247
Kulusevski,1,0.0,492
Damsgaard,1,0.0,89
João Pedro,1,0.2,129
Barnes,1,0.0,392
Kluivert,1,0.0,71
Foden,1,0.0,348
Rice,1,0.1,16
Delap,1,0.2,268
Welbeck,1,0.3,148
Gakpo,1,0.0,321
Tielemans,1,0.9,57
Gibbs-White,1,0.2,433
Bruno G.,1,0.0,394
Maddison,1,0.2,494
Elanga,1,0.1,432
Diogo J.,1,0.9,317
Neto,1,0.2,73
Ødegaard,1,0.1,13
Minteh,1,1.0,135
Kudus,1,0.5,525
Muñoz,1,0.1,211
Tavernier,1,0.8,83
Adama,1,0.1,239
Alexander-Arnold,1,0.8,311
Amad,1,0.1,364
Rashford,1,0.7,385
Bernardo,1,0.5,342
Aït-Nouri,1,0.0,533
Mac Allister,1,0.1,329
Georginio,1,,618
Andreas,1,0.2,240
Harrison,1,0.2,224
Mitchell,1,0.2,210
Calvert-Lewin,1,0.0,220
Nketiah,1,0.0,11
Nkunku,1,0.2,181
Merino,1,,633
Beto,1,0.0,218
Darwin,1,0.0,316
Marmoush,1,,755
Muniz,1,0.2,251
Zirkzee,1,0.1,389
Buonanotte,1,0.4,117
M.Fernandes,1,,623
L.Paquetá,1,0.0,527
Joelinton,1,0.2,403
Souček,1,1.0,530
Gvardiol,1,0.0,350
Smith Rowe,1,0.0,19
McGinn,1,0.2,48
A.Doucoure,1,0.1,217
Pedro Porro,1,0.3,495
El Khannouss,1,,635
Doku,1,0.1,346
Lewis-Potter,1,0.0,98
Gündogan,1,,625
Davis,1,0.0,267
Ndiaye,1,0.0,232
Cook,1,0.4,64
Robertson,1,0.2,335
Kovačić,1,0.1,354
Ayari,1,0.0,600
Christie,1,0.0,63
Hutchinson,1,0.3,274
Hudson-Odoi,1,0.2,434
Sancho,1,0.0,386
Digne,1,0.2,36
Jota Silva,1,0.0,596
McNeil,1,0.0,230
Højlund,1,0.0,375
Jones,1,0.0,324
Duran,1,0.4,38
Matheus N.,1,0.0,356
Tonali,1,0.0,417
Sarabia,1,0.1,565
Richarlison,1,0.2,497
P.M.Sarr,1,0.1,499
Nørgaard,1,0.1,101
Mavididi,1,0.0,298
Robinson,1,0.0,255
Anderson,1,0.0,423
Archer,1,0.2,27
Cucurella,1,0.0,163
Kerkez,1,0.0,70
Hall,1,0.0,399
Wilson,1,0.0,259
Wan-Bissaka,1,0.0,388
Munetsi,1,,770
Collins,1,0.1,88
Bellegarde,1,0.1,535
Dalot,1,0.0,369
Tarkowski,1,0.0,236
Thomas,1,0.2,20
Adingra,1,0.1,113
Baleba,1,0.0,115
Dibling,1,0.0,608
Milenković,1,0.0,573
Lindstrøm,1,0.0,577
Onuachu,1,0.0,470
Aribo,1,0.7,452
N.Williams,1,0.1,437
Chalobah,1,0.0,159
Hughes,1,0.0,203
Lacroix,1,,650
Gravenberch,1,0.0,323
Enciso,1,0.0,121
Ndidi,1,0.1,300
O'Riley,1,,629
Wharton,1,0.1,216
Brooks,1,0.0,62
Armstrong,1,0.8,603
G.Jesus,1,0.0,2
Szmodics,1,0.0,611
Huijsen,1,0.0,580
J.Gomes,1,0.0,553
Casemiro,1,0.9,368
M.Asensio,1,,762
Saliba,1,0.0,18
Willock,1,0.0,420
J.Ayew,1,0.3,192
Werner,1,0.0,509
Antonio,1,0.2,512
Ramsey,1,0.2,53
Guéhi,1,0.0,200
Gabriel,1,0.1,3
Summerville,1,0.3,587
Ings,1,0.3,523
Bailey,1,0.3,28
Füllkrug,1,0.0,589
Roerslev,1,0.0,105
N.Semedo,1,0.0,559
Maatsen,1,0.0,45
Walker-Peters,1,0.1,476
Yates,1,0.3,449
Estupiñan,1,0.0,122
Caicedo,1,0.0,157
Lukić,1,0.0,249
Janelt,1,0.1,94
Grealish,1,0.0,349
McAtee,1,0.0,357
Eriksen,1,0.0,370
Emerson,1,0.0,520
Carvalho,1,0.0,314
Guedes,1,0.0,548
Manning,1,0.0,467
Enes Ünal,1,0.0,65
Schär,1,0.0,415
Harwood-Bellis,1,0.0,461
Virgil,1,0.0,339
Gusto,1,0.0,171
Tel,1,,768
Jaden,1,0.0,569
J.Clarke,1,,631
Kamada,1,0.1,205
Alcaraz,1,0.2,450
De Ligt,1,0.0,593
Van Hecke,1,0.0,144
João Félix,1,,621
Van den Berg,1,0.0,338
C.Soler,1,,654
Livramento,1,0.0,409
Hinshelwood,1,0.0,126
Sinisterra,1,0.2,80
Ward-Prowse,1,0.0,531
Konaté,1,0.0,326
Mount,1,0.5,382
Doherty,1,0.1,543
Colwill,1,0.0,162
Onana,1,0.6,233
Burn,1,0.0,395
Nwaneri,1,0.0,12
Murillo,1,0.0,436
Gana,1,0.0,222
Sugawara,1,0.2,474
Sessegnon,1,0.0,579
Nelson,1,0.0,10
Kilman,1,0.0,524
Dominguez,1,0.0,431
Pinnock,1,0.0,104
Mario Jr.,1,0.0,557
Tsimikas,1,0.0,337
Martinez,1,0.0,47
Romero,1,0.1,498
Spence,1,0.0,504
Lerma,1,0.3,206
Ugarte,1,,652
Barkley,1,0.0,29
Burns,1,0.0,264
Broadhead,1,0.0,262
Mavropanos,1,0.0,528
Adams,1,0.0,60
Awoniyi,1,0.1,424
Gruda,1,0.0,595
Mazraoui,1,0.0,594
Odobert,1,0.0,612
Hirst,1,0.0,272
Kamaldeen,1,0.0,462
Chaplin,1,0.0,265
Tete,1,0.1,257
O'Shea,1,,630
A.Fatawu,1,0.5,570
Mainoo,1,0.1,378
De Cordova-Reid,1,0.1,290
Wieffer,1,0.1,149
Ajer,1,0.2,86
Ugochukwu,1,0.0,188
Mykolenko,1,0.0,231
Van de Ven,1,0.0,506
Zabarnyi,1,0.0,85
Lewis,1,0.0,355
Justin,1,0.1,295
Bentancur,1,0.3,480
Young,1,0.0,656
Philip,1,0.0,76
Ederson M.,1,0.0,347
Sosa,1,,620
J.Timber,1,0.0,6
Mangala,1,,651
Yarmoliuk,1,0.0,111
Malen,1,,725
Jensen,1,0.0,95
