web_name,gw,shots,player_id
M.Salah,1,4,328
Palmer,1,2,182
Semenyo,1,5,78
Haaland,1,2,351
Cunha,1,1,541
Eze,1,7,199
Isak,1,0,401
Raúl,1,0,252
B.Fernandes,1,6,366
Garnacho,1,2,372
Wissa,1,2,110
Watkins,1,0,58
Bowen,1,0,514
Mbeumo,1,1,99
Madueke,1,0,177
N.Jackson,1,1,180
Trossard,1,0,23
Kudus,1,2,525
Evanilson,1,,617
Delap,1,0,268
Luis Díaz,1,3,327
Iwobi,1,1,247
Szoboszlai,1,4,336
O.Dango,1,1,74
Mateta,1,0,207
Kluivert,1,0,71
Solanke,1,3,82
Saka,1,5,17
Wood,1,1,447
Gordon,1,0,398
Son,1,1,503
Barnes,1,0,392
Vardy,1,2,306
Savinho,1,0,571
Neto,1,1,73
Mitoma,1,4,136
Johnson,1,2,275
Gibbs-White,1,2,433
Rogers,1,2,54
Strand Larsen,1,1,566
Welbeck,1,2,148
Havertz,1,5,4
Foden,1,0,348
Souček,1,5,530
Gakpo,1,0,321
Enzo,1,3,168
Georginio,1,,618
I.Sarr,1,0,585
Tavernier,1,5,83
Schade,1,1,106
De Bruyne,1,2,345
Martinelli,1,1,9
Diogo J.,1,3,317
Calvert-Lewin,1,0,220
João Pedro,1,1,129
Enciso,1,0,121
Kulusevski,1,0,492
Joelinton,1,2,403
Rice,1,1,16
Ødegaard,1,1,13
Amad,1,0,364
Alexander-Arnold,1,1,311
J.Murphy,1,0,402
Baleba,1,0,115
Kovačić,1,2,354
Muniz,1,2,251
Elanga,1,1,432
L.Paquetá,1,1,527
Beto,1,0,218
M.Fernandes,1,,623
Maddison,1,1,494
Tielemans,1,2,57
Bruno G.,1,0,394
Nketiah,1,0,11
Mac Allister,1,2,329
Marmoush,1,,755
Hudson-Odoi,1,2,434
Anderson,1,0,423
Adama,1,3,239
Pedro Porro,1,1,495
N.Williams,1,1,437
Gvardiol,1,1,350
Hutchinson,1,3,274
Andreas,1,0,240
Nørgaard,1,0,101
Rashford,1,0,385
Smith Rowe,1,0,19
Onuachu,1,0,470
Buonanotte,1,0,117
Ndiaye,1,0,232
Aït-Nouri,1,1,533
Muñoz,1,0,211
Darwin,1,0,316
Christie,1,0,63
J.Gomes,1,0,553
Damsgaard,1,0,89
Merino,1,,633
Yates,1,3,449
P.M.Sarr,1,1,499
Wilson,1,0,259
Tonali,1,0,417
Duran,1,2,38
Schär,1,1,415
Jones,1,0,324
Minteh,1,0,135
J.Ayew,1,1,192
A.Doucoure,1,1,217
Lacroix,1,,650
Archer,1,2,27
El Khannouss,1,,635
Dibling,1,0,608
Casemiro,1,3,368
Bailey,1,3,28
Lindstrøm,1,0,577
Bernardo,1,2,342
Zirkzee,1,1,389
Lewis-Potter,1,0,98
Harrison,1,3,224
Gana,1,1,222
Milenković,1,0,573
McGinn,1,2,48
Adingra,1,2,113
Armstrong,1,5,603
Kamaldeen,1,0,462
Mavididi,1,0,298
Virgil,1,0,339
Højlund,1,0,375
Ayari,1,0,600
Gündogan,1,,625
Nkunku,1,1,181
Doku,1,2,346
Sancho,1,0,386
Justin,1,1,295
Lerma,1,0,206
C.Soler,1,,654
