player_id,team_id,player_name,player_number,nation,pos,age,minutes,total_completed_passes,total_attempted_passes,total_pass_completion_percentage,total_passing_distance,progressive_passing_distance,short_completed_passes,short_attempted_passes,short_pass_completion_percentage,medium_completed_passes,medium_attempted_passes,medium_pass_completion_percentage,long_completed_passes,long_attempted_passes,long_pass_completion_percentage,assists,xAG,xA,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
366,14,Bruno Fernandes,8,pt POR,"FW,AM",29-343,90,43,60,71.7,693,229,21,22,95.5,14,19,73.7,4,9,44.4,0,0.0,0.0,0,4,0,0,6
385,14,Marcus Rashford,10,eng ENG,LW,26-290,90,22,30,73.3,240,92,15,17,88.2,2,8,25.0,1,1,100.0,0,0.7,0.1,1,2,1,0,2
364,14,Amad Diallo,16,ci CIV,RW,22-036,60,28,33,84.8,312,66,17,17,100.0,6,7,85.7,1,3,33.3,0,0.1,0.1,1,1,0,0,1
372,14,Alejandro Garnacho,17,ar ARG,RW,20-046,30,10,11,90.9,132,19,7,7,100.0,3,4,75.0,0,0,,1,0.2,0.1,2,0,1,1,0
382,14,Mason Mount,7,eng ENG,AM,25-219,60,11,15,73.3,106,12,8,10,80.0,1,2,50.0,0,0,,0,0.1,0.0,2,1,0,0,1
389,14,Joshua Zirkzee,11,nl NED,FW,23-086,30,8,9,88.9,75,26,5,6,83.3,1,1,100.0,0,0,,0,0.0,0.0,0,1,0,0,1
378,14,Kobbie Mainoo,37,eng ENG,DM,19-119,83,37,41,90.2,512,94,21,23,91.3,7,8,87.5,3,3,100.0,0,0.0,0.0,0,3,0,0,5
381,14,Scott McTominay,39,sct SCO,DM,27-252,7,4,4,100.0,73,54,3,3,100.0,0,0,,1,1,100.0,0,0.0,0.0,0,1,0,0,0
368,14,Casemiro,18,br BRA,DM,32-175,90,44,57,77.2,702,227,17,21,81.0,21,24,87.5,3,3,100.0,0,1.0,0.5,3,2,3,1,4
369,14,Diogo Dalot,20,pt POR,"LB,RB",25-151,90,49,60,81.7,760,117,23,27,85.2,15,18,83.3,6,9,66.7,0,0.0,0.0,0,1,0,0,3
380,14,Lisandro Martínez,6,ar ARG,"CB,LB",26-211,90,55,62,88.7,979,371,19,22,86.4,30,32,93.8,5,7,71.4,0,0.0,0.0,1,5,1,0,9
377,14,Harry Maguire,5,eng ENG,CB,31-164,80,50,60,83.3,889,299,18,19,94.7,26,32,81.3,4,7,57.1,0,0.0,0.0,0,5,1,0,8
371,14,Jonny Evans,35,nir NIR,CB,36-226,10,4,6,66.7,78,30,1,1,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0
594,14,Noussair Mazraoui,3,ma MAR,RB,26-276,80,41,45,91.1,505,215,27,31,87.1,14,14,100.0,0,0,,0,0.0,0.0,0,5,0,0,3
593,14,Matthijs de Ligt,4,nl NED,CB,25-004,10,2,2,100.0,41,20,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
383,14,André Onana,24,cm CMR,GK,28-136,90,22,29,75.9,503,310,5,5,100.0,13,13,100.0,4,11,36.4,0,0.0,0.0,0,0,0,0,0
